name,phone,company,postcode,area,pms,segment,tier,adg_corporate,adg_group,bda_good_practice,website,notes
St Albans Smile Studio,0780 1827115,St Albans Smile Studio,AL1 1UJ,St Albans & Hatfield (AL1),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.stalbanssmilestudio.co.uk/,
St Peter's Lodge Dental Practice,01727 853160,St Peter's Lodge Dental Practice,AL3 5DA,St Albans & Hatfield (AL3),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.stpeterslodgedentalpractice.co.uk,
Visage Dental Spa,0797 1608227,Visage Dental Spa,AL5 2TG,St Albans & Hatfield (AL5),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.visagedentalspa.co.uk,
Peartree Clinic Welwyn Limited,01707 321071,Peartree Clinic Welwyn Limited,AL7 3UA,St Albans & Hatfield (AL7),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.peartreeclinic.com,
Dental Beauty Welwyn Garden City,01707 328008,Dental Beauty Welwyn Garden City,AL8 6BQ,St Albans & Hatfield (AL8),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.dentalbeautywgc.co.uk,
St Albans Orthodontic Centre,01727 238590,St Albans Orthodontic Centre,AL1 1ER,St Albans & Hatfield (AL1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.ortho-centre.co.uk,
Priory Park Dentalcare,01727 812800,Priory Park Dentalcare,AL1 1PU,St Albans & Hatfield (AL1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
Family Dental Practice,01727 815375,Family Dental Practice,AL1 2PG,St Albans & Hatfield (AL1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Aviva Dentistry Ltd,01727 854429,Aviva Dentistry Ltd,AL1 3EN,St Albans & Hatfield (AL1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.avivacosmeticdentistry.com,website unreachable
Alexander House Dental Practice,01727 869471,Alexander House Dental Practice,AL1 3ET,St Albans & Hatfield (AL1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
The Maltings Dental Surgery,01727 837376,The Maltings Dental Surgery,AL1 3HL,St Albans & Hatfield (AL1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.themaltingsdentalsurgery.com,
St Albans Orthodontics,01727 833304,St Albans Orthodontics,AL1 3RU,St Albans & Hatfield (AL1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,https://www.stalbansorthodontics.com,
Dental Specialists - St Albans,01727 845706,Dental Specialists - St Albans,AL1 3TG,St Albans & Hatfield (AL1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Victoria Dental Clinic,01727 853300,Victoria Dental Clinic,AL1 3TJ,St Albans & Hatfield (AL1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Hatfield Dental,01707 266731,Hatfield Dental,AL10 0LN,St Albans & Hatfield (AL10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Birchwood Dental,01707 263270,Birchwood Dental,AL10 0PL,St Albans & Hatfield (AL10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Hilltop Dental Surgery,01707 264144,Hilltop Dental Surgery,AL10 8FH,St Albans & Hatfield (AL10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.experdental.com,website unreachable
Distinctly Dental,0794 7159310,Distinctly Dental,AL10 9JS,St Albans & Hatfield (AL10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
OMG Smiles,0750 0433668,OMG Smiles,AL2 1DL,St Albans & Hatfield (AL2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Gatrad and Associates Dental Surgery,01727 823356,Gatrad and Associates Dental Surgery,AL2 1QF,St Albans & Hatfield (AL2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.londoncolneydentist.co.uk,
UK Dental Specialists at Chiswell Green,01727 800372,UK Dental Specialists at Chiswell Green,AL2 3EA,St Albans & Hatfield (AL2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.ukdentalspecialists.co.uk,
Bricketwood Practice,01923 672773,Bricketwood Practice,AL2 3QB,St Albans & Hatfield (AL2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.bricketwoodpractice.co.uk,
Russell Avenue Dental Practice,01727 863056,Russell Avenue Dental Practice,AL3 5ES,St Albans & Hatfield (AL3),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
The Dental Practice - St Albans,01727 855469,The Dental Practice - St Albans,AL3 5ES,St Albans & Hatfield (AL3),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Grange Street Dental Practice,01727 844461,Grange Street Dental Practice,AL3 5NB,St Albans & Hatfield (AL3),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Divine Dental Care Ltd,01727 861668,Divine Dental Care Ltd,AL3 5RA,St Albans & Hatfield (AL3),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
High Oaks Dental Practice,01727 893430,High Oaks Dental Practice,AL3 6DL,St Albans & Hatfield (AL3),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
Redbourn Dental Practice,01582 793746,Redbourn Dental Practice,AL3 7LW,St Albans & Hatfield (AL3),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Wheathampstead Dental Surgery,01582 833232,Wheathampstead Dental Surgery,AL4 8AA,St Albans & Hatfield (AL4),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Jasmine Props Ltd,01582 833408,Jasmine Props Ltd,AL4 8AS,St Albans & Hatfield (AL4),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Marford Dental Practice,01582 833408,Marford Dental Practice,AL4 8AS,St Albans & Hatfield (AL4),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.marforddental.co.uk,
Happy Family Dental,01727 833418,Happy Family Dental,AL4 9RD,St Albans & Hatfield (AL4),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Wayside Dental Practice,01582 712470,Wayside Dental Practice,AL5 2EW,St Albans & Hatfield (AL5),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.waysidedental.co.uk,
The Hertfordshire Centre For Dentistry,01582 764931,The Hertfordshire Centre For Dentistry,AL5 2HU,St Albans & Hatfield (AL5),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Bramwell Dental Practice,01582 460452,Bramwell Dental Practice,AL5 2RU,St Albans & Hatfield (AL5),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.bramwelldentalpractice.com,
Harpenden Orthodontics,01582 465200,Harpenden Orthodontics,AL5 2SP,St Albans & Hatfield (AL5),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,https://www.harpendenorthodontics.com,
Aestcom - Harpenden,01582 763420,Aestcom - Harpenden,AL5 2TJ,St Albans & Hatfield (AL5),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.harpendensmiles.co.uk,website unreachable
Harpenden Dental Practice,0791 8458058,Harpenden Dental Practice,AL5 2TL,St Albans & Hatfield (AL5),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Pure Dentistry Limited,01582 713400,Pure Dentistry Limited,AL5 3NF,St Albans & Hatfield (AL5),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Vaughan Dental Practice,01582 461000,Vaughan Dental Practice,AL5 4ED,St Albans & Hatfield (AL5),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.vaughan-dental.co.uk,
Bowers Way Dental Surgery,01582 761609,Bowers Way Dental Surgery,AL5 4EP,St Albans & Hatfield (AL5),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Brace Orthodontics,01582 769955,Brace Orthodontics,AL5 4HX,St Albans & Hatfield (AL5),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Neel Dentistry Limited,01438 712713,Neel Dentistry Limited,AL6 9EE,St Albans & Hatfield (AL6),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.neeldentistry.com,
Welwyn Dental Practice,01438 715627,Welwyn Dental Practice,AL6 9EQ,St Albans & Hatfield (AL6),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Howard Court,01707 388145,Howard Court,AL7 1BW,St Albans & Hatfield (AL7),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.hct.nhs.uk,
