practice_name,also_known_as,address,postcode,area,phone,website,nhs_private,pms_detected,pms_confidence,pms_evidence,blast_segment,wisecall_tier,adg_corporate,adg_group,bda_good_practice,provider_name,source,notes
Ware Dental Practice,,"6 Star Street, Ware",SG12 7AA,Stevenage & Hertfordshire north (SG12),01920 465908,https://www.waredentalpractice.com,Unknown,Dentally,high,Dentally:dentr.net,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Ware Dentistry Ltd,CQC directory (auto-downloaded),
Stevenage Dental Practice,,"32/34 Market Place, Stevenage",SG1 1DB,Stevenage & Hertfordshire north (SG1),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr M.Esmail and Mr K.Velji,CQC directory (auto-downloaded),
Village Dental Practice,,"17 Market Place, Stevenage",SG1 1DH,Stevenage & Hertfordshire north (SG1),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr Jashan Jethwa,CQC directory (auto-downloaded),
Mr Adrian Yellon - Bedwell,,"62 Bedwell Crescent, Stevenage",SG1 1LX,Stevenage & Hertfordshire north (SG1),01438 354827,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr Adrian Yellon,CQC directory (auto-downloaded),
Symonds Green Dental Practice,,"188 Scarborough Avenue, Stevenage",SG1 2HW,Stevenage & Hertfordshire north (SG1),01438 316278,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr. Sanjiv Bhogaita,CQC directory (auto-downloaded),
No. 37 Dental & Implant Centre,,"37 High Street, Stevenage, Hertfordshire",SG1 3AR,Stevenage & Hertfordshire north (SG1),01438 318414,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Alliance Dental Care Limited,CQC directory (auto-downloaded),
Smilecraft Dental Care,,"64 High Street, Stevenage",SG1 3EA,Stevenage & Hertfordshire north (SG1),01438 351151,https://www.smilecraft.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr. Bradley Abrahams,CQC directory (auto-downloaded),
Bowling Green Dental Surgery,,"26 High Street, Stevenage",SG1 3EJ,Stevenage & Hertfordshire north (SG1),01438 355624,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr. Alan De Vos,CQC directory (auto-downloaded),
Inline Orthodontics,,"5 Letchmore Road, Stevenage",SG1 3JH,Stevenage & Hertfordshire north (SG1),01438 765390,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,Inline Ortho Limited,CQC directory (auto-downloaded),
John Woods Dental Practice,,"14 Walkern Road, Stevenage",SG1 3QX,Stevenage & Hertfordshire north (SG1),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Alliance Dental Care Limited,CQC directory (auto-downloaded),
