name,phone,company,postcode,area,pms,segment,tier,adg_corporate,adg_group,bda_good_practice,website,notes
Ware Dental Practice,01920 465908,Ware Dental Practice,SG12 7AA,Stevenage & Hertfordshire north (SG12),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.waredentalpractice.com,
Mr Adrian Yellon - Bedwell,01438 354827,Mr Adrian Yellon - Bedwell,SG1 1LX,Stevenage & Hertfordshire north (SG1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Symonds Green Dental Practice,01438 316278,Symonds Green Dental Practice,SG1 2HW,Stevenage & Hertfordshire north (SG1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
No. 37 Dental & Implant Centre,01438 318414,No. 37 Dental & Implant Centre,SG1 3AR,Stevenage & Hertfordshire north (SG1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Smilecraft Dental Care,01438 351151,Smilecraft Dental Care,SG1 3EA,Stevenage & Hertfordshire north (SG1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.smilecraft.co.uk,
Bowling Green Dental Surgery,01438 355624,Bowling Green Dental Surgery,SG1 3EJ,Stevenage & Hertfordshire north (SG1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Inline Orthodontics,01438 765390,Inline Orthodontics,SG1 3JH,Stevenage & Hertfordshire north (SG1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
Herts Special Care Dental Service,01727 897195,Herts Special Care Dental Service,SG1 4AB,Stevenage & Hertfordshire north (SG1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.hct.nhs.uk,
Exeter Close Dental Practice,01438 354590,Exeter Close Dental Practice,SG1 4PN,Stevenage & Hertfordshire north (SG1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Let's Smile Limited,01920 877745,Let's Smile Limited,SG12 8AA,Stevenage & Hertfordshire north (SG12),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Ware Dental Care,01920 462208,Ware Dental Care,SG12 9EE,Stevenage & Hertfordshire north (SG12),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Herts Orthodontics,01920 411066,Herts Orthodontics,SG12 9EF,Stevenage & Hertfordshire north (SG12),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,https://www.hertsorthodontics.com,
Dental Health Care,01992 582945,Dental Health Care,SG13 7ED,Stevenage & Hertfordshire north (SG13),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
The Perfect Smile Studios,01992 552115,The Perfect Smile Studios,SG14 1AZ,Stevenage & Hertfordshire north (SG14),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.theperfectsmile.co.uk,
Hertfordshire Dental Group,0797 4673561,Hertfordshire Dental Group,SG14 1DR,Stevenage & Hertfordshire north (SG14),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Hudson's Dental Care,01992 505828,Hudson's Dental Care,SG14 1DX,Stevenage & Hertfordshire north (SG14),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.hudsonsdentalcare.co.uk,
King Gaigher & Chastell,01992 583220,King Gaigher & Chastell,SG14 1JA,Stevenage & Hertfordshire north (SG14),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
St Andrew Street Dental Practice,01992 583220,St Andrew Street Dental Practice,SG14 1JA,Stevenage & Hertfordshire north (SG14),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.kgcdentalpractice.co.uk,
