practice_name,also_known_as,address,postcode,area,phone,website,nhs_private,pms_detected,pms_confidence,pms_evidence,blast_segment,wisecall_tier,adg_corporate,adg_group,bda_good_practice,provider_name,source,notes
Lint Riggs Dental Care,,"16 LINT RIGGS, FALKIRK",FK1 1DG,Stirling & Falkirk (FK1),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Clark & Watson,,"27 NEWMARKET STREET, FALKIRK",FK1 1JJ,Stirling & Falkirk (FK1),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Envisage Dental Health Falkirk,,"54/58 COW WYND, FALKIRK",FK1 1PU,Stirling & Falkirk (FK1),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Walldane Dental,,"6 WEIR STREET, FALKIRK",FK1 1RA,Stirling & Falkirk (FK1),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Falkirk Courtyard Dental,,"UNIT 4, CALLANDER BUSINESS PARK, FALKIRK",FK1 1XR,Stirling & Falkirk (FK1),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Lux Dental Care,,"8 UNION ROAD, CAMELON, FALKIRK",FK1 4PG,Stirling & Falkirk (FK1),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Falkirk Community Hospital,,"MAJOR'S LOAN, FALKIRK",FK1 5QE,Stirling & Falkirk (FK1),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Macdonald & Morson,,"26-28 DRYSDALE STREET, ALLOA",FK101JL,Stirling & Falkirk (FK10),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Stephen Short & Associates,,"5 SHILLINGHILL, ALLOA",FK101JT,Stirling & Falkirk (FK10),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
The Manor Dental,,"6 MANOR CRESCENT, TULLIBODY",FK102RJ,Stirling & Falkirk (FK10),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Kincardine Dental Practice,,"10 HIGH STREET, KINCARDINE",FK104RJ,Stirling & Falkirk (FK10),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Macdonald And Morson Dental Care Alva,,"99 STIRLING STREET, ALVA",FK125EF,Stirling & Falkirk (FK12),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Tillicoultry Dental Care,,"11 HIGH STREET, TILLICOULTRY",FK136AA,Stirling & Falkirk (FK13),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Dollar Dental Care Ltd,,"72 BRIDGE STREET, DOLLAR",FK147DQ,Stirling & Falkirk (FK14),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Beech Tree Dental Care,,"4 BEECH ROAD, DUNBLANE",FK150AA,Stirling & Falkirk (FK15),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Dunblane Dental Practice,,"PERTH ROAD, DUNBLANE",FK150HA,Stirling & Falkirk (FK15),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Infinityblu Dental Care & Implant Centre,,"171 MAIN STREET, CALLANDER",FK178BJ,Stirling & Falkirk (FK17),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
H. M. I. Forth Valley,,"BRIGHTONS, POLMONT",FK2 0AB,Stirling & Falkirk (FK2),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
