practice_name,also_known_as,address,postcode,area,phone,website,nhs_private,pms_detected,pms_confidence,pms_evidence,blast_segment,wisecall_tier,adg_corporate,adg_group,bda_good_practice,provider_name,source,notes
Paddock Dental Practice,,"Unit 23-24,  The Paddock Shopping Centre, Wilmslow Road,  Handforth, Wilmslow",SK9 3HQ,Stockport (SK9),01625 527600,https://www.paddockdental.co.uk,Unknown,Dentally,high,Dentally:dentr.net,Dentally confirmed,Tier 1 - Dentally integration ready,No,,Yes,SAIL Dental Group Limited,CQC directory (auto-downloaded),
The Mall Advanced Dental Care - Stockport,,"10 Vernon Street, Stockport",SK1 1TY,Stockport (SK1),01614 808040,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Portman Healthcare Limited,CQC directory (auto-downloaded),
The Ivy Dental Practice,,"161 Wellington Road South, Stockport",SK1 3UA,Stockport (SK1),01614 802913,https://www.theivydentalpractice.co.uk/,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,South Manchester Dental Emergency Cooperative Limited,CQC directory (auto-downloaded),
Turncroft Dental Practice,,"30 Turncroft Lane, Stockport",SK1 4AB,Stockport (SK1),01614 803822,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Turncroft Dental Partnership,CQC directory (auto-downloaded),
Offerton Dental Studio,,"180-182, Hall Street, Stockport",SK1 4JG,Stockport (SK1),01619 489708,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr Steven Woon Hang Lai,CQC directory (auto-downloaded),
Whalley Hayes Dental Practice,,"68 King Edward Street, Macclesfield",SK10 1AT,Stockport (SK10),01625 613322,https://www.baxdental.com,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr. Jonathan Bax,CQC directory (auto-downloaded),website unreachable
Janet Gledhill Orthodontic Practice,,"156 Cumberland Street, Macclesfield",SK10 1BP,Stockport (SK10),01625 431173,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Miss Janet Gledhill,CQC directory (auto-downloaded),
Macclesfield Dental,,"Top and Ground Floor,  156 Cumberland Street, Macclesfield",SK10 1BP,Stockport (SK10),01625 431073,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,R Wong Associates Ltd,CQC directory (auto-downloaded),
PR Partners,,"156 Cumberland Street, Macclesfield",SK10 1BP,Stockport (SK10),01625 431073,https://www.macclesfielddental.com,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,PR Partners,CQC directory (auto-downloaded),
West Park Dental Practice,,"156 Cumberland Street, Macclesfield",SK10 1BP,Stockport (SK10),01625 431063,https://www.paulsmithdentalcare.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Paul Smith Dental Care Ltd,CQC directory (auto-downloaded),
Fence House Dental,,"Fence House, 84 Buxton Road, Macclesfield",SK10 1JS,Stockport (SK10),0333 3034870,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Precision Dental Clinic Ltd,CQC directory (auto-downloaded),
