name,phone,company,postcode,area,pms,segment,tier,adg_corporate,adg_group,bda_good_practice,website,notes
Paddock Dental Practice,01625 527600,Paddock Dental Practice,SK9 3HQ,Stockport (SK9),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,Yes,https://www.paddockdental.co.uk,
The Mall Advanced Dental Care - Stockport,01614 808040,The Mall Advanced Dental Care - Stockport,SK1 1TY,Stockport (SK1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
The Ivy Dental Practice,01614 802913,The Ivy Dental Practice,SK1 3UA,Stockport (SK1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,https://www.theivydentalpractice.co.uk/,
Turncroft Dental Practice,01614 803822,Turncroft Dental Practice,SK1 4AB,Stockport (SK1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Offerton Dental Studio,01619 489708,Offerton Dental Studio,SK1 4JG,Stockport (SK1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Whalley Hayes Dental Practice,01625 613322,Whalley Hayes Dental Practice,SK10 1AT,Stockport (SK10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.baxdental.com,website unreachable
Janet Gledhill Orthodontic Practice,01625 431173,Janet Gledhill Orthodontic Practice,SK10 1BP,Stockport (SK10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Macclesfield Dental,01625 431073,Macclesfield Dental,SK10 1BP,Stockport (SK10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
PR Partners,01625 431073,PR Partners,SK10 1BP,Stockport (SK10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.macclesfielddental.com,
West Park Dental Practice,01625 431063,West Park Dental Practice,SK10 1BP,Stockport (SK10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.paulsmithdentalcare.co.uk,
Fence House Dental,0333 3034870,Fence House Dental,SK10 1JS,Stockport (SK10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Teeth & Co,0758 5424341,Teeth & Co,SK10 3BS,Stockport (SK10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Prestbury Dental Practice Limited,01625 827515,Prestbury Dental Practice Limited,SK10 4BW,Stockport (SK10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Visage Dental,0772 3082584,Visage Dental,SK10 4HP,Stockport (SK10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Bollington Dental Practice,01625 574609,Bollington Dental Practice,SK10 5EJ,Stockport (SK10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.bollingtondental.co.uk,
Macclesfield Orthodontics,01625 460998,Macclesfield Orthodontics,SK11 0LP,Stockport (SK11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Waters Green Dental and Implant Clinic,01625 838385,Waters Green Dental and Implant Clinic,SK11 6JL,Stockport (SK11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.watersgreendental.co.uk,
The Heathcote Dental & Implant Clinic,01625 425838,The Heathcote Dental & Implant Clinic,SK11 6PN,Stockport (SK11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://heathcotedentalpractice.co.uk,
Total Orthodontics Macclesfield,01625 429324,Total Orthodontics Macclesfield,SK11 6PN,Stockport (SK11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.cheshirecatorthodontics.com,website unreachable
Roe Street Dental Practice,0772 3082584,Roe Street Dental Practice,SK11 6UT,Stockport (SK11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
MAC Dental Centre Limited,01625 422502,MAC Dental Centre Limited,SK11 6XN,Stockport (SK11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,https://www.macdental.co.uk,
Crystal Dental Clinic Limited,01625 422439,Crystal Dental Clinic Limited,SK11 8AA,Stockport (SK11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Silk Dental Care,01625 424808,Silk Dental Care,SK11 8DG,Stockport (SK11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Revive Dental Care - Macclesfield,01625 669039,Revive Dental Care - Macclesfield,SK11 8SR,Stockport (SK11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Dr. karen Vardon,0770 3734279,Dr. karen Vardon,SK11 9GG,Stockport (SK11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Chester Road Dental Care Limited,01625 876900,Chester Road Dental Care Limited,SK12 1EU,Stockport (SK12),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Poynton Dental Practice,01625 850828,Poynton Dental Practice,SK12 1LA,Stockport (SK12),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Wish Wellness Private Healthcare,01625 874667,Wish Wellness Private Healthcare,SK12 1RD,Stockport (SK12),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Wish Dental 1,01625 874667,Wish Dental 1,SK12 1RE,Stockport (SK12),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Five Hearts Dental,01663 762555,Five Hearts Dental,SK12 2AA,Stockport (SK12),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.docdental.co.uk,website unreachable
Disley Dental Centre,01663 765583,Disley Dental Centre,SK12 2BB,Stockport (SK12),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Hadfield Dental Care Limited,01457 867635,Hadfield Dental Care Limited,SK13 1DL,Stockport (SK13),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.hdcare.co.uk,
Simmondley Dental Practice,01457 865693,Simmondley Dental Practice,SK13 6NN,Stockport (SK13),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
High Street Dental Clinic,01457 864069,High Street Dental Clinic,SK13 8BH,Stockport (SK13),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Station House Dental Practice,01457 852004,Station House Dental Practice,SK13 8BT,Stockport (SK13),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.shdp.co.uk,
Glossop Dental Centre,01457 850491,Glossop Dental Centre,SK13 8NN,Stockport (SK13),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Dental Surgery Offerton Health Centre,01614 800327,Dental Surgery Offerton Health Centre,SK2 5AR,Stockport (SK2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Bosden Farm Dental Practice,01614 568716,Bosden Farm Dental Practice,SK2 5JL,Stockport (SK2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.bosdenfarmdentalpractice.co.uk,website unreachable
212 dental studio,01614 298851,212 dental studio,SK2 6QZ,Stockport (SK2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Corra Linn Dental Practice,0777 2552376,Corra Linn Dental Practice,SK2 7DD,Stockport (SK2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Pearldent Dental Surgery,01614 833408,Pearldent Dental Surgery,SK2 7JB,Stockport (SK2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Cheadle Heath Dental Practice,01614 283024,Cheadle Heath Dental Practice,SK3 0LX,Stockport (SK3),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Precision Dental Clinic,161419928,Precision Dental Clinic,SK3 8PN,Stockport (SK3),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Edgeley Dental Practice Limited,01614 803083,Edgeley Dental Practice Limited,SK3 9ET,Stockport (SK3),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Castle Street Dental Practice,01614 805068,Castle Street Dental Practice,SK3 9JH,Stockport (SK3),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.castle-dentist.com,
Total Orthodontics Stockport,01614 808828,Total Orthodontics Stockport,SK3 9NG,Stockport (SK3),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.stockportorthodontist.co.uk,website unreachable
Ethos Dental Care,01614 775142,Ethos Dental Care,SK4 2LL,Stockport (SK4),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.ethosdental.co.uk,
Ethos Dental Care Limited,01614 775142,Ethos Dental Care Limited,SK4 2LL,Stockport (SK4),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.ethosdental.co.uk,
Heaton Mersey Orthodontic Centre Limited,01619 479900,Heaton Mersey Orthodontic Centre Limited,SK4 3BS,Stockport (SK4),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.hmorthoc.co.uk,
The Heaton Mersey Dental Practice,01614 426869,The Heaton Mersey Dental Practice,SK4 3BY,Stockport (SK4),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Space DP Limited- Manchester,01924 565955,Space DP Limited- Manchester,SK4 3GN,Stockport (SK4),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Heaton Moor Dental,0794 6582290,Heaton Moor Dental,SK4 4NX,Stockport (SK4),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
C Burke Dental Practice,01614 324768,C Burke Dental Practice,SK4 4QG,Stockport (SK4),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Bredbury Dental Centre,01614 305999,Bredbury Dental Centre,SK6 1DJ,Stockport (SK6),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Holly House Dental Practice,01614 948621,Holly House Dental Practice,SK6 1NB,Stockport (SK6),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Romiley Dental Practice,01614 303547,Romiley Dental Practice,SK6 4HT,Stockport (SK6),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
The Bridge Dental Care,01614 497080,The Bridge Dental Care,SK6 5AA,Stockport (SK6),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
Marple Dental Practice,01614 271366,Marple Dental Practice,SK6 6AB,Stockport (SK6),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Rosehill Dental Practice,01614 272255,Rosehill Dental Practice,SK6 6ES,Stockport (SK6),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.rosehilldentalpractice.co.uk,
Dental Care @ 62,01612 210062,Dental Care @ 62,SK6 7AD,Stockport (SK6),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
High Lane Partnership,01454 771570,High Lane Partnership,SK6 8DR,Stockport (SK6),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Bramcote Dental Practice,01614 400031,Bramcote Dental Practice,SK7 1AB,Stockport (SK7),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Bramhall Smile Clinic,01614 783450,Bramhall Smile Clinic,SK7 1AH,Stockport (SK7),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.bramhallsmileclinic.co.uk,
Kissdental Bramhall,01616 974889,Kissdental Bramhall,SK7 1PA,Stockport (SK7),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
White House Dental Practice,01614 394842,White House Dental Practice,SK7 2BE,Stockport (SK7),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Arundel Dental Practice,01614 392048,Arundel Dental Practice,SK7 2DN,Stockport (SK7),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.arundeldentalpractice.co.uk,
Mr E H Burke Surgery,01614 832099,Mr E H Burke Surgery,SK7 4PL,Stockport (SK7),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Charisma Clinic Ltd,01614 835433,Charisma Clinic Ltd,SK7 4RY,Stockport (SK7),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Stockport Orthodontics,01625 800333,Stockport Orthodontics,SK7 6DT,Stockport (SK7),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.stockportorthodontics.co.uk,
Cavendish Dental Surgery,01625 878750,Cavendish Dental Surgery,SK7 6HG,Stockport (SK7),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Cheadle Village Dental Practice,01614 282355,Cheadle Village Dental Practice,SK8 1AA,Stockport (SK8),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Excel Dental Centre,01614 281104,Excel Dental Centre,SK8 1HW,Stockport (SK8),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.exceldental.co.uk,
Cheadle Dental Centre,01612 825921,Cheadle Dental Centre,SK8 1PY,Stockport (SK8),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Campaigne Limited,01612 821367,Campaigne Limited,SK8 2DP,Stockport (SK8),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.cthedentist.com,
Oh My Smile Limited,01614 287226,Oh My Smile Limited,SK8 2JE,Stockport (SK8),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Long Lane Dental Practice,0749 1369367,Long Lane Dental Practice,SK8 3BG,Stockport (SK8),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Finney Lane Dental Care,01614 374040,Finney Lane Dental Care,SK8 3PX,Stockport (SK8),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Ringway Dental Care,01614 372029,Ringway Dental Care,SK8 3PX,Stockport (SK8),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Dental Lounge,01614 371250,Dental Lounge,SK8 3RL,Stockport (SK8),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.thedental-lounge.com,
Gatley Park Dental Practice,01614 283484,Gatley Park Dental Practice,SK8 4DN,Stockport (SK8),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
61 Dental,01614 282447,61 Dental,SK8 4NG,Stockport (SK8),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.61dental.co.uk,
Endo 61 Limited - Gatley,01614 957293,Endo 61 Limited - Gatley,SK8 4NG,Stockport (SK8),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.endo61.com,
Foxland Dental Surgery,01614 910022,Foxland Dental Surgery,SK8 4QB,Stockport (SK8),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,https://www.foxlanddental.co.uk,
Smile Club Cheadle Hulme,01614 851193,Smile Club Cheadle Hulme,SK8 5DB,Stockport (SK8),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
BeClear Orthodontics,01614 884885,BeClear Orthodontics,SK8 6RL,Stockport (SK8),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.beclearortho.co.uk,
Freedom Dental,01614 866821,Freedom Dental,SK8 7BG,Stockport (SK8),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
The Cottage Dental Practice,01618 458000,The Cottage Dental Practice,SK8 7EL,Stockport (SK8),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Trinity House Dental Care,01625 441663,Trinity House Dental Care,SK9 1BG,Stockport (SK9),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
The Dentist Wilmslow,01625 522200,The Dentist Wilmslow,SK9 1LS,Stockport (SK9),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.thedentistwilmslow.co.uk,
Wentworth Dental Practice,01625 523134,Wentworth Dental Practice,SK9 1PA,Stockport (SK9),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Westgate Dental Practice,01625 523432,Westgate Dental Practice,SK9 1PA,Stockport (SK9),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.westgatedentalpractice.com,
The Croft Dental Practice,01625 523524,The Croft Dental Practice,SK9 2JY,Stockport (SK9),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.croft-dental-practice.co.uk,website unreachable
The Willows Dental Surgery,01625 520818,The Willows Dental Surgery,SK9 3HX,Stockport (SK9),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.thewillowsdentalpractice.com,website unreachable
Laburnum NW Ltd,01625 522023,Laburnum NW Ltd,SK9 3LF,Stockport (SK9),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.smileatlaburnum.co.uk,
Handforth Dental Practice,01625 523096,Handforth Dental Practice,SK9 3LQ,Stockport (SK9),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
HMP Styal,01625 553300,HMP Styal,SK9 4HR,Stockport (SK9),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Clinic 334,01625 419700,Clinic 334,SK9 5DD,Stockport (SK9),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Wilmslow Dental Practice,01625 441763,Wilmslow Dental Practice,SK9 5HZ,Stockport (SK9),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Altrincham Road Dental Surgery,01625 522999,Altrincham Road Dental Surgery,SK9 5ND,Stockport (SK9),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
John Sullivan Dental Practice Limited,01625 527987,John Sullivan Dental Practice Limited,SK9 5ND,Stockport (SK9),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Transform Dental,01625 403673,Transform Dental,SK9 6EG,Stockport (SK9),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.knutsfordroaddental.co.uk,website unreachable
Kissdental Alderley Edge,01619 898125,Kissdental Alderley Edge,SK9 7DY,Stockport (SK9),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Alderley Dental,0742 5579228,Alderley Dental,SK9 7EG,Stockport (SK9),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
The Edge Dental Practice,01625 583311,The Edge Dental Practice,SK9 7EG,Stockport (SK9),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
The Edge Dental,0774 3189435,The Edge Dental,SK9 7JS,Stockport (SK9),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.theedgedental.co.uk,
Prestbury Road Dental Practice,01625 432300,Prestbury Road Dental Practice,SK10 1AU,Stockport (SK10),Unknown,Unknown PMS - manual check,Tier 4 - ADG corporate group (lower priority),Yes,A&U Dental,No,,
Mydentist - Brock Street - Macclesfield,01625 424524,Mydentist - Brock Street - Macclesfield,SK10 1DQ,Stockport (SK10),MyDentist corporate,Unknown PMS - manual check,Tier 4 - ADG corporate group (lower priority),Yes,mydentist,No,https://www.mydentist.co.uk,
"mydentist, First Avenue, Poynton",01204 799799,"mydentist, First Avenue, Poynton",SK12 1YP,Stockport (SK12),Unknown,Unknown PMS - manual check,Tier 4 - ADG corporate group (lower priority),Yes,mydentist,No,,
Mydentist - High Street West - Glossop,01457 865241,Mydentist - High Street West - Glossop,SK13 8HJ,Stockport (SK13),MyDentist corporate,Unknown PMS - manual check,Tier 4 - ADG corporate group (lower priority),Yes,mydentist,No,https://www.mydentist.co.uk,
Mydentist - Marple Road - Offerton,01614 833898,Mydentist - Marple Road - Offerton,SK2 5EH,Stockport (SK2),MyDentist corporate,Unknown PMS - manual check,Tier 4 - ADG corporate group (lower priority),Yes,mydentist,No,https://www.mydentist.co.uk,
Mydentist - Heaton Moor Road - Stockport,01614 327400,Mydentist - Heaton Moor Road - Stockport,SK4 4HS,Stockport (SK4),MyDentist corporate,Unknown PMS - manual check,Tier 4 - ADG corporate group (lower priority),Yes,mydentist,No,https://www.mydentist.co.uk,
Bupa Dental Care High Lane,01663 764924,Bupa Dental Care High Lane,SK6 8DR,Stockport (SK6),Unknown,Unknown PMS - manual check,Tier 4 - ADG corporate group (lower priority),Yes,Bupa Dental Care,No,,
Bupa Dental Care Bramhall,01614 392360,Bupa Dental Care Bramhall,SK7 3EP,Stockport (SK7),Unknown,Unknown PMS - manual check,Tier 4 - ADG corporate group (lower priority),Yes,Bupa Dental Care,No,https://www.bramhallparkdental.co.uk,website unreachable
Mydentist - High Street - Cheadle,01614 911936,Mydentist - High Street - Cheadle,SK8 1AX,Stockport (SK8),Unknown,Unknown PMS - manual check,Tier 4 - ADG corporate group (lower priority),Yes,mydentist,No,,
Handforth Dental Practice LLP,01625 523096,Handforth Dental Practice LLP,SK9 3LQ,Stockport (SK9),Unknown,Unknown PMS - manual check,Tier 4 - ADG corporate group (lower priority),Yes,SPA Dental,No,https://www.spadental.co.uk/handforth,
Bupa Dental Care Alderley Edge,01625 582244,Bupa Dental Care Alderley Edge,SK9 7NT,Stockport (SK9),Unknown,Unknown PMS - manual check,Tier 4 - ADG corporate group (lower priority),Yes,Bupa Dental Care,No,,
