practice_name,also_known_as,address,postcode,area,phone,website,nhs_private,pms_detected,pms_confidence,pms_evidence,blast_segment,wisecall_tier,adg_corporate,adg_group,bda_good_practice,provider_name,source,notes
Complete Smiles Stafford,,"5 Small Lane, Eccleshall, Stafford",ST21 6AD,Stoke-on-Trent (ST21),01785 334822,https://www.completesmiles.co.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,CS Birmingham Ltd,CQC directory (auto-downloaded),
Newcastle Dental and Implant Clinic,,"65 George Street, Newcastle",ST5 1JT,Stoke-on-Trent (ST5),01782 631355,https://www.newcastledentalimplant.co.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,SJO Clinical Limited,CQC directory (auto-downloaded),
The Dentist At Chesterton,,"74 Crackley Bank, Chesterton, Newcastle",ST5 7AA,Stoke-on-Trent (ST5),0330 0568626,https://www.dentistatchesterton.com,Unknown,Dentally,high,Dentally:dentr.net,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Chesterton Practice Ltd,CQC directory (auto-downloaded),
Synergy Dental Care Burslem,,"58 Newcastle Street, Stoke-on-trent",ST6 3QF,Stoke-on-Trent (ST6),01782 837641,https://www.synergydental.co.uk,Unknown,Dentally,high,Dentally:dentr.net,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Synergy Dental Care Ltd,CQC directory (auto-downloaded),
Synergy Dental Care - Biddulph,,"106 Tunstall Road, Biddulph, Stoke On Trent",ST8 6HN,Stoke-on-Trent (ST8),01782 513237,https://www.synergydental.co.uk,Unknown,Dentally,high,Dentally:dentr.net,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Synergy Dental Care Ltd,CQC directory (auto-downloaded),
Pall Mall Dental Practice,,"10 Pall Mall, Hanley, Stoke On Trent",ST1 1ER,Stoke-on-Trent (ST1),01782 287857,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Pall Mall Dental Limited,CQC directory (auto-downloaded),
NIGHT AND DAY EMERGENCY DENTIST,,"44 Marsh Street South, Stoke-on-trent",ST1 1JD,Stoke-on-Trent (ST1),741584989,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,S M Rahman Limited,CQC directory (auto-downloaded),
Hanley Health Centre (Dental Services),,"Upper Huntbach Street, Stoke-on-trent",ST1 2BN,Stoke-on-Trent (ST1),0300 7907000,https://www.sssft.nhs.uk,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Midlands Partnership University NHS Foundation Trust,CQC directory (auto-downloaded),website unreachable
Bhandal Dental Practice - Unit 7 Whittle Court,,"Unit 7,  Whittle Court, Town Road,  Hanley, Stoke On Trent",ST1 2QE,Stoke-on-Trent (ST1),01782 279110,https://www.bhandaldentalpractices.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,"Balbir Singh Bhandal, Amrik Singh Bhandal & Baljit Singh Bhandal",CQC directory (auto-downloaded),
The Dental Centre,,"7 Birch Terrace, Hanley, Stoke-on-trent",ST1 3JN,Stoke-on-Trent (ST1),01782 281920,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,Birch Terrace Dental Ltd,CQC directory (auto-downloaded),
Abbey House Dental - Festival Park,,"1 Canal Arm,  Festival Park, Stoke-on-trent",ST1 5UR,Stoke-on-Trent (ST1),01782 649217,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Abbey House Dental Practice Limited,CQC directory (auto-downloaded),
The247dentist Emergency Dentist – Stoke-on-Trent,,"1 Canal Arm,  Festival Park, Stoke-on-trent",ST1 5UR,Stoke-on-Trent (ST1),0330 1759995,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,247 Dental Limited,CQC directory (auto-downloaded),
Diana Dental and Implant Suite,,"14 Diana Road, Birches Head, Stoke-on-trent",ST1 6RS,Stoke-on-Trent (ST1),0844 3756699,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Portman Healthcare Limited,CQC directory (auto-downloaded),
The Avenue Dentistry,,"Dental Surgery, 2 The Avenue,  Cheadle, Stoke-on-trent",ST10 1EG,Stoke-on-Trent (ST10),01538 753737,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr Emma Louise Noble,CQC directory (auto-downloaded),
Millennium Dentistry,,"40-42 Tape Street, Cheadle, Stoke-on-trent",ST10 1EP,Stoke-on-Trent (ST10),01538 755153,https://www.millenniumdentistry.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr Sanraj Stefan Singh Dulay,CQC directory (auto-downloaded),
The Riley Dental Studio Limited,,"7 Old Road, Barlaston, Stoke on Trent",ST12 9EQ,Stoke-on-Trent (ST12),01782 374330,https://therileydentalstudio.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,The Riley Dental Studio Limited,CQC directory (auto-downloaded),
St Edward Street Dental Practice Limited,,"47 St. Edward Street, Leek",ST13 5DN,Stoke-on-Trent (ST13),01513 390406,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,St Edward Street Dental Practice Limited,CQC directory (auto-downloaded),
St. Edward Street Dental Practice,Allen Dental Care & Implant Centre @ St Edward Street Dental Practice,"47 St. Edward Street, Leek",ST13 5DN,Stoke-on-Trent (ST13),01538 399288,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr Vipin Allen,CQC directory (auto-downloaded),
Russell Street Dental Practice,,"7 Russell Street, Leek",ST13 5JF,Stoke-on-Trent (ST13),01538 388822,https://www.russell-street.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr Samuel Stephen Chapman,CQC directory (auto-downloaded),
PARK DENTAL PRACTICE PD23 LIMITED,,"16 Ball Haye Road, Leek",ST13 6AF,Stoke-on-Trent (ST13),01538 387862,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Prestige Dental Care Group,CQC directory (auto-downloaded),
Park Dental Practice PD23,,"16 Ball Haye Road, Leek",ST13 6AF,Stoke-on-Trent (ST13),01538 387862,https://WWW.PRESTIGEDENTALCARE.CO.UK,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,PD23 Limited,CQC directory (auto-downloaded),
TLC 4 Smiles - Leek,,"131-135 Ball Haye Green, Leek",ST13 6BH,Stoke-on-Trent (ST13),01538 371003,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,TLC 4 Smiles Limited,CQC directory (auto-downloaded),
Waterer Dental Care Leek,,"31 Stockwell Street, Leek",ST13 6DH,Stoke-on-Trent (ST13),01538 399897,https://www.waterer-dental-care.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Waterer Dental Care Limited,CQC directory (auto-downloaded),
Derby Street Dental,,"17 Derby Street, Leek",ST13 6HN,Stoke-on-Trent (ST13),153838210,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr Alexander Steven Wright,CQC directory (auto-downloaded),
The Staffordshire Dental Clinic,,"Church Street, Uttoxeter",ST14 8AF,Stoke-on-Trent (ST14),01889 562109,https://www.staffordshireclinic.co.uk,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr Irfan Khan,CQC directory (auto-downloaded),website unreachable
Uttoxeter Dental Practice,,"Town Meadows Way, Uttoxeter",ST14 8AZ,Stoke-on-Trent (ST14),01889 564565,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr. Paul Bason,CQC directory (auto-downloaded),
HMP Dovegate,,"Moreton Lane, Uttoxeter",ST14 8XR,Stoke-on-Trent (ST14),01283 829400,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Time for Teeth Limited,CQC directory (auto-downloaded),
Fillybrook House Dental Practice,,"8 The Fillybrooks, Stone",ST15 0DJ,Stoke-on-Trent (ST15),01785 812412,https://www.fillybrookhouse.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Fillybrook House Limited,CQC directory (auto-downloaded),
Regency House Dental Practice - Stone,,"Station Road, Stone",ST15 8JP,Stoke-on-Trent (ST15),01785 815818,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Regency House Dental Practice Limited,CQC directory (auto-downloaded),
