name,phone,company,postcode,area,pms,segment,tier,adg_corporate,adg_group,bda_good_practice,website,notes
Complete Smiles Stafford,01785 334822,Complete Smiles Stafford,ST21 6AD,Stoke-on-Trent (ST21),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.completesmiles.co.uk,
Newcastle Dental and Implant Clinic,01782 631355,Newcastle Dental and Implant Clinic,ST5 1JT,Stoke-on-Trent (ST5),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.newcastledentalimplant.co.uk,
The Dentist At Chesterton,0330 0568626,The Dentist At Chesterton,ST5 7AA,Stoke-on-Trent (ST5),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.dentistatchesterton.com,
Synergy Dental Care Burslem,01782 837641,Synergy Dental Care Burslem,ST6 3QF,Stoke-on-Trent (ST6),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.synergydental.co.uk,
Synergy Dental Care - Biddulph,01782 513237,Synergy Dental Care - Biddulph,ST8 6HN,Stoke-on-Trent (ST8),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.synergydental.co.uk,
Pall Mall Dental Practice,01782 287857,Pall Mall Dental Practice,ST1 1ER,Stoke-on-Trent (ST1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
NIGHT AND DAY EMERGENCY DENTIST,741584989,NIGHT AND DAY EMERGENCY DENTIST,ST1 1JD,Stoke-on-Trent (ST1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Hanley Health Centre (Dental Services),0300 7907000,Hanley Health Centre (Dental Services),ST1 2BN,Stoke-on-Trent (ST1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.sssft.nhs.uk,website unreachable
Bhandal Dental Practice - Unit 7 Whittle Court,01782 279110,Bhandal Dental Practice - Unit 7 Whittle Court,ST1 2QE,Stoke-on-Trent (ST1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.bhandaldentalpractices.co.uk,
The Dental Centre,01782 281920,The Dental Centre,ST1 3JN,Stoke-on-Trent (ST1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
Abbey House Dental - Festival Park,01782 649217,Abbey House Dental - Festival Park,ST1 5UR,Stoke-on-Trent (ST1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
The247dentist Emergency Dentist – Stoke-on-Trent,0330 1759995,The247dentist Emergency Dentist – Stoke-on-Trent,ST1 5UR,Stoke-on-Trent (ST1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Diana Dental and Implant Suite,0844 3756699,Diana Dental and Implant Suite,ST1 6RS,Stoke-on-Trent (ST1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
St Edward Street Dental Practice Limited,01513 390406,St Edward Street Dental Practice Limited,ST13 5DN,Stoke-on-Trent (ST13),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
St. Edward Street Dental Practice,01538 399288,St. Edward Street Dental Practice,ST13 5DN,Stoke-on-Trent (ST13),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Russell Street Dental Practice,01538 388822,Russell Street Dental Practice,ST13 5JF,Stoke-on-Trent (ST13),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.russell-street.co.uk,
PARK DENTAL PRACTICE PD23 LIMITED,01538 387862,PARK DENTAL PRACTICE PD23 LIMITED,ST13 6AF,Stoke-on-Trent (ST13),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Park Dental Practice PD23,01538 387862,Park Dental Practice PD23,ST13 6AF,Stoke-on-Trent (ST13),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://WWW.PRESTIGEDENTALCARE.CO.UK,
TLC 4 Smiles - Leek,01538 371003,TLC 4 Smiles - Leek,ST13 6BH,Stoke-on-Trent (ST13),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Waterer Dental Care Leek,01538 399897,Waterer Dental Care Leek,ST13 6DH,Stoke-on-Trent (ST13),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.waterer-dental-care.co.uk,
Derby Street Dental,153838210,Derby Street Dental,ST13 6HN,Stoke-on-Trent (ST13),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
The Staffordshire Dental Clinic,01889 562109,The Staffordshire Dental Clinic,ST14 8AF,Stoke-on-Trent (ST14),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.staffordshireclinic.co.uk,website unreachable
Uttoxeter Dental Practice,01889 564565,Uttoxeter Dental Practice,ST14 8AZ,Stoke-on-Trent (ST14),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
HMP Dovegate,01283 829400,HMP Dovegate,ST14 8XR,Stoke-on-Trent (ST14),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Pure Dental Solutions,01785 213333,Pure Dental Solutions,ST16 1PE,Stoke-on-Trent (ST16),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
Church Lane Dental Practice,01785 252514,Church Lane Dental Practice,ST16 2AW,Stoke-on-Trent (ST16),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Castle Way Dental Care,01785 226633,Castle Way Dental Care,ST16 2LY,Stoke-on-Trent (ST16),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.castlewaydental.co.uk,
Church Lane Dental Stafford Site 2,01785 252514,Church Lane Dental Stafford Site 2,ST16 3AA,Stoke-on-Trent (ST16),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.churchlanedentalstafford.co.uk,
Oriel Dental Practice,01785 242583,Oriel Dental Practice,ST16 3AA,Stoke-on-Trent (ST16),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Riverside Dental Practice,01785 245800,Riverside Dental Practice,ST16 3AA,Stoke-on-Trent (ST16),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Stella Dental Suite,01785 211338,Stella Dental Suite,ST16 3DA,Stoke-on-Trent (ST16),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
The Dental Surgery,01785 252536,The Dental Surgery,ST17 4AA,Stoke-on-Trent (ST17),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Talbot Place Dental Practice,01785 255435,Talbot Place Dental Practice,ST17 4BP,Stoke-on-Trent (ST17),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
The Stafford Dental Practice,0777 1877600,The Stafford Dental Practice,ST17 4BP,Stoke-on-Trent (ST17),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
2020DentalCare,01785 594574,2020DentalCare,ST17 9DH,Stoke-on-Trent (ST17),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.2020dental.co.uk,
Hillcrest Dental Practice,01785 223027,Hillcrest Dental Practice,ST17 9YA,Stoke-on-Trent (ST17),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Castle View Dental Spa,0787 0667707,Castle View Dental Spa,ST21 6BW,Stoke-on-Trent (ST21),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Eccleshall Dental Clinic,0792 9236862,Eccleshall Dental Clinic,ST21 6DF,Stoke-on-Trent (ST21),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Longton Dental Centre,0794 9088332,Longton Dental Centre,ST3 1HD,Stoke-on-Trent (ST3),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Blurton Dental Practice,01782 593029,Blurton Dental Practice,ST3 2BS,Stoke-on-Trent (ST3),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.sheltondental.co.uk,
Meir Primary Care Centre (Dental Service),0300 7907000,Meir Primary Care Centre (Dental Service),ST3 6AB,Stoke-on-Trent (ST3),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.sssft.nhs.uk,website unreachable
Weston Family Practice Limited,01782 313232,Weston Family Practice Limited,ST3 6ES,Stoke-on-Trent (ST3),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Bhandal Dental Practice - 404 Sandon Road,01782 388373,Bhandal Dental Practice - 404 Sandon Road,ST3 7LH,Stoke-on-Trent (ST3),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.bhandaldentalpractices.co.uk,
Imperial Dental Group – Meir Heath,01782 388373,Imperial Dental Group – Meir Heath,ST3 7LH,Stoke-on-Trent (ST3),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Modwena Dental,01782 844720,Modwena Dental,ST4 1AR,Stoke-on-Trent (ST4),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.modwenadental.co.uk,
Primecare Oral Health Services - Stoke,0330 1239134,Primecare Oral Health Services - Stoke,ST4 1AT,Stoke-on-Trent (ST4),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.nestor-healthcare.co.uk,website unreachable
Middleton Dental Care,01782 212308,Middleton Dental Care,ST4 2DP,Stoke-on-Trent (ST4),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.middletondentalcare.co.uk,website unreachable
Alchemy Dental Practice Limited - Stoke,01782 410051,Alchemy Dental Practice Limited - Stoke,ST4 2EQ,Stoke-on-Trent (ST4),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.alchemydental.co.uk,
Victoria Dental Practice,01782 849590,Victoria Dental Practice,ST4 2JX,Stoke-on-Trent (ST4),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Shelton Dental Centre,01782 411973,Shelton Dental Centre,ST4 2QX,Stoke-on-Trent (ST4),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.sheltondental.co.uk,
Campbell Dental Practice,01782 844696,Campbell Dental Practice,ST4 4EA,Stoke-on-Trent (ST4),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
The Coach House,01782 844907,The Coach House,ST4 5HJ,Stoke-on-Trent (ST4),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Ashlow Orthodontic Practice,01782 662290,Ashlow Orthodontic Practice,ST4 6BN,Stoke-on-Trent (ST4),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
Stoneyfields Dental Practice,01782 614905,Stoneyfields Dental Practice,ST4 6HL,Stoke-on-Trent (ST4),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.stoneyfields.co.uk,
Poswillo Dental Suite - UHNM Dental Services,0300 7907000,Poswillo Dental Suite - UHNM Dental Services,ST4 6QG,Stoke-on-Trent (ST4),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.sssft.nhs.uk,website unreachable
Royal Stoke University Hospital,01782 715444,Royal Stoke University Hospital,ST4 6QG,Stoke-on-Trent (ST4),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.uhnm.nhs.uk,
Hanford Dental and Implant Centre,01782 694094,Hanford Dental and Implant Centre,ST4 8HA,Stoke-on-Trent (ST4),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Wolstanton Dental Practice,01782 713007,Wolstanton Dental Practice,ST5 0BJ,Stoke-on-Trent (ST5),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Bank House Dental,01782 291009,Bank House Dental,ST5 0HE,Stoke-on-Trent (ST5),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Newcastle Under Lyme Dental Practice,01782 616178,Newcastle Under Lyme Dental Practice,ST5 1DA,Stoke-on-Trent (ST5),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
HANOVER DENTAL PRACTICE HD23 LIMITED,01782 616649,HANOVER DENTAL PRACTICE HD23 LIMITED,ST5 1EL,Stoke-on-Trent (ST5),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Hanover Dental Practice,01782 616649,Hanover Dental Practice,ST5 1EL,Stoke-on-Trent (ST5),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
King Street Dental Practice,01782 617681,King Street Dental Practice,ST5 1JB,Stoke-on-Trent (ST5),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Whittaker Dental Practice,01782 636686,Whittaker Dental Practice,ST5 1JB,Stoke-on-Trent (ST5),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Ryecroft Primary Care Centre (Dental Services),0300 7907000,Ryecroft Primary Care Centre (Dental Services),ST5 2BQ,Stoke-on-Trent (ST5),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.sssft.nhs.uk,website unreachable
Tomkinson Domiciliary Care,01782 486138,Tomkinson Domiciliary Care,ST5 2ES,Stoke-on-Trent (ST5),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Silverdale Dental Practice,01782 637919,Silverdale Dental Practice,ST5 6PL,Stoke-on-Trent (ST5),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Elm Villa Dental Practice,01782 562436,Elm Villa Dental Practice,ST5 7HZ,Stoke-on-Trent (ST5),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Moorland Dental Clinic,01782 815945,Moorland Dental Clinic,ST6 1DS,Stoke-on-Trent (ST6),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Smallthorne Family Dental Pratice,01782 837819,Smallthorne Family Dental Pratice,ST6 1NT,Stoke-on-Trent (ST6),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Waterloo Dental Practice,01782 215158,Waterloo Dental Practice,ST6 2JB,Stoke-on-Trent (ST6),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
The Terrace Dental Clinic,01782 827927,The Terrace Dental Clinic,ST6 6BD,Stoke-on-Trent (ST6),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Tunstall Health Centre (Dental Services),0300 7907000,Tunstall Health Centre (Dental Services),ST6 6BE,Stoke-on-Trent (ST6),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.sssft.nhs.uk,website unreachable
Butt Lane Dental Surgery,01782 774396,Butt Lane Dental Surgery,ST7 1LX,Stoke-on-Trent (ST7),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.buttlanedentalsurgery.co.uk,
Lawton Dental Practice,01270 876026,Lawton Dental Practice,ST7 2AA,Stoke-on-Trent (ST7),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
