practice_name,also_known_as,address,postcode,area,phone,website,nhs_private,pms_detected,pms_confidence,pms_evidence,blast_segment,wisecall_tier,adg_corporate,adg_group,bda_good_practice,provider_name,source,notes
Wearside Orthodontic Centre Ltd,,"49 Frederick Street, Sunderland",SR1 1NF,Sunderland (SR1),01915 145257,https://www.wearside-orthodontics.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,Wearside Orthodontic Centre Ltd,CQC directory (auto-downloaded),
John Street Dental,,"50 John Street, Sunderland",SR1 1QH,Sunderland (SR1),01915 672604,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Benjamin Guy Charlton,CQC directory (auto-downloaded),
NIGHT AND DAY EMERGENCY DENTIST,,"5b Signal House, Waterloo Place, Sunderland",SR1 3HT,Sunderland (SR1),0741 5849849,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,S M Rahman Limited,CQC directory (auto-downloaded),
Dental Surgery,,"2 Grange Terrace, Stockton Road, Sunderland",SR2 7DF,Sunderland (SR2),01915 673838,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr. Mark Little,CQC directory (auto-downloaded),
Park Lane Dental Group,,"11 Grange Terrace, Sunderland",SR2 7DF,Sunderland (SR2),01915 674844,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Park Lane Dental Group,CQC directory (auto-downloaded),
Grangetown Family Dental Health Centre,,"41 Windsor Terrace, Sunderland",SR2 9QF,Sunderland (SR2),01915 141717,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Grangetown Family Healthcare Partnership,CQC directory (auto-downloaded),
Truly Dental,,"35 Merle Terrace, Sunderland",SR4 6SF,Sunderland (SR4),01915 657058,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mrs. Jacqueline Doran,CQC directory (auto-downloaded),
Breeze Dental Chester Road,,"180 Chester Road, Sunderland",SR4 7EY,Sunderland (SR4),01915 108686,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,"Jacqueline Doran, Ailish Doran, Cara Doran",CQC directory (auto-downloaded),
Dencall - Sunderland Royal Hospital,,"Kayll Road, Sunderland",SR4 7TP,Sunderland (SR4),0773 9898014,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dencall 2005 Ltd,CQC directory (auto-downloaded),
Chester Road Dental Practice,,"217 Chester Road, Sunderland",SR4 7TU,Sunderland (SR4),01915 142727,https://www.nandndental.co.uk,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,N & N Dental Group,CQC directory (auto-downloaded),website unreachable
