name,phone,company,postcode,area,pms,segment,tier,adg_corporate,adg_group,bda_good_practice,website,notes
Wearside Orthodontic Centre Ltd,01915 145257,Wearside Orthodontic Centre Ltd,SR1 1NF,Sunderland (SR1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,https://www.wearside-orthodontics.co.uk,
John Street Dental,01915 672604,John Street Dental,SR1 1QH,Sunderland (SR1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
NIGHT AND DAY EMERGENCY DENTIST,0741 5849849,NIGHT AND DAY EMERGENCY DENTIST,SR1 3HT,Sunderland (SR1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Dental Surgery,01915 673838,Dental Surgery,SR2 7DF,Sunderland (SR2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Park Lane Dental Group,01915 674844,Park Lane Dental Group,SR2 7DF,Sunderland (SR2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Grangetown Family Dental Health Centre,01915 141717,Grangetown Family Dental Health Centre,SR2 9QF,Sunderland (SR2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Truly Dental,01915 657058,Truly Dental,SR4 6SF,Sunderland (SR4),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Breeze Dental Chester Road,01915 108686,Breeze Dental Chester Road,SR4 7EY,Sunderland (SR4),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Dencall - Sunderland Royal Hospital,0773 9898014,Dencall - Sunderland Royal Hospital,SR4 7TP,Sunderland (SR4),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Chester Road Dental Practice,01915 142727,Chester Road Dental Practice,SR4 7TU,Sunderland (SR4),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,https://www.nandndental.co.uk,website unreachable
Westmount Dental Surgery,01915 672696,Westmount Dental Surgery,SR4 8PY,Sunderland (SR4),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.westmountdentalsurgery.co.uk,
Riveredge Dentistry Limited,01915 671020,Riveredge Dentistry Limited,SR5 3HD,Sunderland (SR5),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.riveredge.co.uk,website unreachable
Cleadon Village Dental Practice,191722102,Cleadon Village Dental Practice,SR6 7PG,Sunderland (SR6),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
City Dental,01915 484916,City Dental,SR6 8LP,Sunderland (SR6),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.city-dental.co.uk,
Fulwell Dental Practice,01916 030020,Fulwell Dental Practice,SR6 9QS,Sunderland (SR6),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Seaham Smiles,01915 812236,Seaham Smiles,SR7 7SN,Sunderland (SR7),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Princess Road Dental Practice,01915 130301,Princess Road Dental Practice,SR7 7SP,Sunderland (SR7),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
Murton Dental Practice,01915 260562,Murton Dental Practice,SR7 9AA,Sunderland (SR7),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Castle Dene Surgery,0773 8682583,Castle Dene Surgery,SR8 1BT,Sunderland (SR8),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
