practice_name,also_known_as,address,postcode,area,phone,website,nhs_private,pms_detected,pms_confidence,pms_evidence,blast_segment,wisecall_tier,adg_corporate,adg_group,bda_good_practice,provider_name,source,notes
Belmont Dental Care,,"62 Benhill Avenue, Sutton",SM1 4DW,Sutton & Morden (SM1),02086 422887,https://www.benhill-dental-practice.co.uk,Unknown,Dentally,high,Dentally:dentr.net,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Mr Sreenesh Kandian,CQC directory (auto-downloaded),
Sutton Dentists,,"62 Benhill Avenue, Sutton",SM1 4DW,Sutton & Morden (SM1),02080 546464,https://www.suttondentists.co.uk,Unknown,Dentally,high,Dentally:dentr.net,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Dr. Sonya Hamzehnejad-Mccann,CQC directory (auto-downloaded),
Sutton Dentists,,"97 Westmead Road, Sutton",SM1 4HX,Sutton & Morden (SM1),02080 546464,https://www.suttondentists.co.uk,Unknown,Dentally,high,Dentally:dentr.net,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Dr. Sonya Hamzehnejad-Mccann,CQC directory (auto-downloaded),
Pine Dental & Aesthetics,,"1 Station Approach, Belmont, Sutton",SM2 6DD,Sutton & Morden (SM2),02035 356260,https://www.pinedental.co.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Pine Belmont Limited,CQC directory (auto-downloaded),
Mulgrave Dental Centre,,"17 Mulgrave Road, Sutton",SM2 6LJ,Sutton & Morden (SM2),02083 958483,https://www.mulgravedental.com,Unknown,Dentally,high,Dentally:dentr.net,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Sreenesh Limited,CQC directory (auto-downloaded),
Love Teeth Dental,,"743 London Road, Cheam, Sutton",SM3 9DL,Sutton & Morden (SM3),02083 370629,https://www.loveteethdental.co.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Dr Kunal Patel,CQC directory (auto-downloaded),
Love Teeth Stonecot,,"2-8 Stonecot, Morden, Surrey",SM3 9HF,Sutton & Morden (SM3),02083 370629,https://loveteethdental.co.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Love Teeth Stonecot Limited,CQC directory (auto-downloaded),
The Eledent Clinic,,"62 Grove Road, Sutton",SM1 1BT,Sutton & Morden (SM1),02086 425767,https://www.theeldentclinic.com,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,ESM Management Limited,CQC directory (auto-downloaded),website unreachable
Love Teeth Sutton,,"5 High Street, Sutton",SM1 1DF,Sutton & Morden (SM1),02083 370629,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Love Teeth Sutton Limited,CQC directory (auto-downloaded),
Enamour Dental Aesthetic & Laser Clinic,,"206 High Street, Sutton",SM1 1NU,Sutton & Morden (SM1),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Enamour Dental Clinic Limited,CQC directory (auto-downloaded),
Cheam Road Dental,,"125 Cheam Road, Sutton",SM1 2BH,Sutton & Morden (SM1),02086 429345,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Cheam Road Dental Partnership,CQC directory (auto-downloaded),
Cheam Road Dental Practice Ltd,,"125 Cheam Road, Sutton",SM1 2BH,Sutton & Morden (SM1),02086 429345,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Cheam Road Dental Practice Ltd,CQC directory (auto-downloaded),
Grove Road Dental Practice,,"87 Grove Road, Sutton",SM1 2DB,Sutton & Morden (SM1),02086 424216,https://www.groveroaddental.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr. Gordon Hennessy,CQC directory (auto-downloaded),
The247dentist Emergency Dentist - Sutton,,"87 Grove Road, Sutton",SM1 2DB,Sutton & Morden (SM1),0330 1759995,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,247 Dental Limited,CQC directory (auto-downloaded),
