name,phone,company,postcode,area,pms,segment,tier,adg_corporate,adg_group,bda_good_practice,website,notes
Belmont Dental Care,02086 422887,Belmont Dental Care,SM1 4DW,Sutton & Morden (SM1),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.benhill-dental-practice.co.uk,
Sutton Dentists,02080 546464,Sutton Dentists,SM1 4DW,Sutton & Morden (SM1),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.suttondentists.co.uk,
Sutton Dentists,02080 546464,Sutton Dentists,SM1 4HX,Sutton & Morden (SM1),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.suttondentists.co.uk,
Pine Dental & Aesthetics,02035 356260,Pine Dental & Aesthetics,SM2 6DD,Sutton & Morden (SM2),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.pinedental.co.uk,
Mulgrave Dental Centre,02083 958483,Mulgrave Dental Centre,SM2 6LJ,Sutton & Morden (SM2),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.mulgravedental.com,
Love Teeth Dental,02083 370629,Love Teeth Dental,SM3 9DL,Sutton & Morden (SM3),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.loveteethdental.co.uk,
Love Teeth Stonecot,02083 370629,Love Teeth Stonecot,SM3 9HF,Sutton & Morden (SM3),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://loveteethdental.co.uk,
The Eledent Clinic,02086 425767,The Eledent Clinic,SM1 1BT,Sutton & Morden (SM1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.theeldentclinic.com,website unreachable
Love Teeth Sutton,02083 370629,Love Teeth Sutton,SM1 1DF,Sutton & Morden (SM1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Cheam Road Dental,02086 429345,Cheam Road Dental,SM1 2BH,Sutton & Morden (SM1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Cheam Road Dental Practice Ltd,02086 429345,Cheam Road Dental Practice Ltd,SM1 2BH,Sutton & Morden (SM1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Grove Road Dental Practice,02086 424216,Grove Road Dental Practice,SM1 2DB,Sutton & Morden (SM1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.groveroaddental.co.uk,
The247dentist Emergency Dentist - Sutton,0330 1759995,The247dentist Emergency Dentist - Sutton,SM1 2DB,Sutton & Morden (SM1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
