practice_name,also_known_as,address,postcode,area,phone,website,nhs_private,pms_detected,pms_confidence,pms_evidence,blast_segment,wisecall_tier,adg_corporate,adg_group,bda_good_practice,provider_name,source,notes
Ebenezer House Dental Care Limited,,"164 Victoria Road, Swindon",SN1 3BU,Swindon & Wiltshire (SN1),01793 535108,https://www.swindon-dental.co.uk,Unknown,Dentally,high,Dentally:dentr.net,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Ebenezer House Dental Care Limited,CQC directory (auto-downloaded),
One Wood St Advanced Dental Care,,"1 Wood Street, Old Town, Swindon",SN1 4AN,Swindon & Wiltshire (SN1),01793 433381,https://www.onewoodstreet.net,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,PY Surgery Limited,CQC directory (auto-downloaded),
Aurora Dental and Implant Clinic,,"38 High Street, Corsham",SN13 0HB,Swindon & Wiltshire (SN13),01249 510020,https://www.auroradentalclinic.co.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Aurora Dental Clinic Corsham Limited,CQC directory (auto-downloaded),
Aurora Dental and Implant Clinic,,"Aurora Dental Clinic Chippenham, 34 New Road, Chippenham",SN15 1HP,Swindon & Wiltshire (SN15),01249 715906,https://auroradentalclinic.co.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Aurora Dental Clinic Chippenham Limited,CQC directory (auto-downloaded),
St. Mary Street Dental Practice,,"63 St Mary Street, Chippenham",SN15 3JF,Swindon & Wiltshire (SN15),01249 445111,https://www.dentalhealthforlife.co.uk,Unknown,Dentally,high,Dentally:dentr.net,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,St. Mary's Street Practice Limited,CQC directory (auto-downloaded),
Dentalcare Swindon Central,,"6 Regent Street, Swindon",SN1 1JQ,Swindon & Wiltshire (SN1),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dentalcare Swindon Central Limited,CQC directory (auto-downloaded),
Ambience Dental Practice,,"Wade House, 37-39 Queen Street, Swindon",SN1 1RN,Swindon & Wiltshire (SN1),01793 529985,https://www.ambiencedentalpractice.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Smileright Limited,CQC directory (auto-downloaded),
Victoria Road Clinic,,"75 Victoria Road, Swindon",SN1 3BB,Swindon & Wiltshire (SN1),01793 534627,https://www.victoriaroaddental.org.uk,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Callvalley Limited,CQC directory (auto-downloaded),website unreachable
Swindon Dental Anaesthetic Clinic,,"Broadcasting House, 56-58 Prospect Place, Swindon",SN1 3RW,Swindon & Wiltshire (SN1),01793 484995,https://www.swindondentalsedation.co.uk,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Oasis Dental Care (Central) Limited,CQC directory (auto-downloaded),website unreachable
Eurodental Bath Road Swindon,,"45 Bath Road, Old Town, Swindon",SN1 4AU,Swindon & Wiltshire (SN1),01793 522120,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Eurodental,CQC directory (auto-downloaded),
Greenbanks Dental Practice,,"55 Bath Road, Swindon",SN1 4AU,Swindon & Wiltshire (SN1),01793 521848,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr. Colin Borland,CQC directory (auto-downloaded),
Clyde House Dental Practice,,"42 Bath Road, Swindon",SN1 4AY,Swindon & Wiltshire (SN1),01793 611181,https://www.drmichaelfrain.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,Doctor Michael Frain Limited,CQC directory (auto-downloaded),
