name,phone,company,postcode,area,pms,segment,tier,adg_corporate,adg_group,bda_good_practice,website,notes
Ebenezer House Dental Care Limited,01793 535108,Ebenezer House Dental Care Limited,SN1 3BU,Swindon & Wiltshire (SN1),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.swindon-dental.co.uk,
One Wood St Advanced Dental Care,01793 433381,One Wood St Advanced Dental Care,SN1 4AN,Swindon & Wiltshire (SN1),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.onewoodstreet.net,
Aurora Dental and Implant Clinic,01249 715906,Aurora Dental and Implant Clinic,SN15 1HP,Swindon & Wiltshire (SN15),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://auroradentalclinic.co.uk,
St. Mary Street Dental Practice,01249 445111,St. Mary Street Dental Practice,SN15 3JF,Swindon & Wiltshire (SN15),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.dentalhealthforlife.co.uk,
Ambience Dental Practice,01793 529985,Ambience Dental Practice,SN1 1RN,Swindon & Wiltshire (SN1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.ambiencedentalpractice.co.uk,
Victoria Road Clinic,01793 534627,Victoria Road Clinic,SN1 3BB,Swindon & Wiltshire (SN1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.victoriaroaddental.org.uk,website unreachable
Swindon Dental Anaesthetic Clinic,01793 484995,Swindon Dental Anaesthetic Clinic,SN1 3RW,Swindon & Wiltshire (SN1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.swindondentalsedation.co.uk,website unreachable
Eurodental Bath Road Swindon,01793 522120,Eurodental Bath Road Swindon,SN1 4AU,Swindon & Wiltshire (SN1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Greenbanks Dental Practice,01793 521848,Greenbanks Dental Practice,SN1 4AU,Swindon & Wiltshire (SN1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Clyde House Dental Practice,01793 611181,Clyde House Dental Practice,SN1 4AY,Swindon & Wiltshire (SN1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,https://www.drmichaelfrain.co.uk,
Devizes Road Dental Surgery,01793 616738,Devizes Road Dental Surgery,SN1 4BH,Swindon & Wiltshire (SN1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Eurodental Devizes Road Swindon,01793 616738,Eurodental Devizes Road Swindon,SN1 4BH,Swindon & Wiltshire (SN1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Brunel Dental Practice,01793 521646,Brunel Dental Practice,SN1 5AR,Swindon & Wiltshire (SN1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.bruneldentalpractice.co.uk,
Swindon Orthodontic Centre,01793 423661,Swindon Orthodontic Centre,SN1 5EL,Swindon & Wiltshire (SN1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Milton Road Dental Practice,01793 523877,Milton Road Dental Practice,SN1 5JE,Swindon & Wiltshire (SN1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Advance Dental Care,01793 541999,Advance Dental Care,SN1 5NX,Swindon & Wiltshire (SN1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.a-dentalcare.co.uk,
Wichelstowe Dental Care,0775 8270543,Wichelstowe Dental Care,SN1 7BY,Swindon & Wiltshire (SN1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
The Market Place Dental Practice,01380 722007,The Market Place Dental Practice,SN10 1AR,Swindon & Wiltshire (SN10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
The High Street Dental Clinic,01380 722711,The High Street Dental Clinic,SN10 1AT,Swindon & Wiltshire (SN10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Aurora Dental and Implant Clinic,01380 722387,Aurora Dental and Implant Clinic,SN10 1DR,Swindon & Wiltshire (SN10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.newparkdental.co.uk,website unreachable
Ferndale Dental & Implant Clinic,01380 725225,Ferndale Dental & Implant Clinic,SN10 1LQ,Swindon & Wiltshire (SN10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Urchfont Dental Care,01380 840726,Urchfont Dental Care,SN10 4QH,Swindon & Wiltshire (SN10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
HMP Erlestoke,01380 814250,HMP Erlestoke,SN10 5TU,Swindon & Wiltshire (SN10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Market Place Dental Practice - Melksham,01225 703232,Market Place Dental Practice - Melksham,SN12 6ES,Swindon & Wiltshire (SN12),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Melksham Dental Practice,0782 5248304,Melksham Dental Practice,SN12 6LP,Swindon & Wiltshire (SN12),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.melkshamdentalpractice.com,
The Regency Practice Melksham Limited,01225 791710,The Regency Practice Melksham Limited,SN12 7NS,Swindon & Wiltshire (SN12),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Old College Dental Surgery,0756 3916691,Old College Dental Surgery,SN15 1HL,Swindon & Wiltshire (SN15),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Perioworld,01249 657132,Perioworld,SN15 1HL,Swindon & Wiltshire (SN15),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Hanlon and Gardner Chippenham Practice,01249 460285,Hanlon and Gardner Chippenham Practice,SN15 1HP,Swindon & Wiltshire (SN15),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Gentle Dental Care Chippenham Limited,01249 655516,Gentle Dental Care Chippenham Limited,SN15 1PS,Swindon & Wiltshire (SN15),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
High Street Dental Practice,01249 477001,High Street Dental Practice,SN15 3ER,Swindon & Wiltshire (SN15),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
London Road Dental Practice,01249 446568,London Road Dental Practice,SN15 3LD,Swindon & Wiltshire (SN15),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Barley Mow Dental Care,01666 822220,Barley Mow Dental Care,SN16 0BJ,Swindon & Wiltshire (SN16),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.barley-mow.co.uk,
Malmesbury Dental & Specialist Referral Centre,01666 450414,Malmesbury Dental & Specialist Referral Centre,SN16 0EE,Swindon & Wiltshire (SN16),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.malmesburydental.co.uk,
Gorse Hill Dental Practice,01793 613883,Gorse Hill Dental Practice,SN2 1AD,Swindon & Wiltshire (SN2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Cheney Manor Dental Practice,01793 528431,Cheney Manor Dental Practice,SN2 2NT,Swindon & Wiltshire (SN2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.cheyneymanordentalpractice.co.uk,website unreachable
Priory Vale Dental Practice,01793 745291,Priory Vale Dental Practice,SN25 2FW,Swindon & Wiltshire (SN25),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.prioryvaledentalpractice.co.uk,
Dentalcare Swindon,01793 611298,Dentalcare Swindon,SN25 3DQ,Swindon & Wiltshire (SN25),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.dentalcareswindon.co.uk,
Wiltshire Smile Limited,01793 387880,Wiltshire Smile Limited,SN25 4AN,Swindon & Wiltshire (SN25),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Seven Fields Dental Health Centre,01793 722194,Seven Fields Dental Health Centre,SN25 4AU,Swindon & Wiltshire (SN25),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Abbey Meads Dental Practice - Swindon,01793 726288,Abbey Meads Dental Practice - Swindon,SN25 4YZ,Swindon & Wiltshire (SN25),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Park South Dental Care Limited,01793 613989,Park South Dental Care Limited,SN3 2EZ,Swindon & Wiltshire (SN3),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Swindon Dental and Implant Clinic,01793 384155,Swindon Dental and Implant Clinic,SN3 3RT,Swindon & Wiltshire (SN3),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Mayhew Dental,01793 525777,Mayhew Dental,SN3 5AA,Swindon & Wiltshire (SN3),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
The Cottage Dental & Implant Clinic Limited,01793 855335,The Cottage Dental & Implant Clinic Limited,SN4 7AA,Swindon & Wiltshire (SN4),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.cottageimplantclinic.co.uk,
Grants Dental Practice LTD,01793 852355,Grants Dental Practice LTD,SN4 7AQ,Swindon & Wiltshire (SN4),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.grantsdentalpractice.com,
Wroughton Dental Practice,01793 813541,Wroughton Dental Practice,SN4 9LB,Swindon & Wiltshire (SN4),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.wroughtondental.co,
Church Street Dental Practice,01793 770532,Church Street Dental Practice,SN5 4DS,Swindon & Wiltshire (SN5),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Shaw Village Dental & Wellness,0780 9719848,Shaw Village Dental & Wellness,SN5 5PY,Swindon & Wiltshire (SN5),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Dentalcare West Swindon,01793 611298,Dentalcare West Swindon,SN5 7DL,Swindon & Wiltshire (SN5),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Dentalcare West Swindon & West Swindon Orthodontics,01793 872340,Dentalcare West Swindon & West Swindon Orthodontics,SN5 7DL,Swindon & Wiltshire (SN5),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.dentalcareswindon.co.uk,
Freshbrook Dental Practice Limited,01793 873044,Freshbrook Dental Practice Limited,SN5 8LY,Swindon & Wiltshire (SN5),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.freshbrookdental.co.uk,website unreachable
