practice_name,also_known_as,address,postcode,area,phone,website,nhs_private,pms_detected,pms_confidence,pms_evidence,blast_segment,wisecall_tier,adg_corporate,adg_group,bda_good_practice,provider_name,source,notes
Taunton Dental & Implant Centre,,"The Lodge, Church Square, Taunton",TA1 1SA,Taunton & Somerset west (TA1),01823 215555,https://www.tauntondentalandimplant.co.uk,Unknown,Dentally,high,Dentally:dentr.net,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,JP JUSTIN GEORGE LIMITED,CQC directory (auto-downloaded),
Supernova Dental,,"Marsh Lane, Huntworth Gate, Bridgwater",TA6 6LQ,Taunton & Somerset west (TA6),01278 228665,https://www.supernovadental.co.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Supernova Dent Bridgwater Limited,CQC directory (auto-downloaded),
Yarde House Partnership,,"1 Staplegrove Road, Taunton",TA1 1DB,Taunton & Somerset west (TA1),01823 333253,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Yarde House Partnership,CQC directory (auto-downloaded),
Linden House Dental Practice,,"63 Staplegrove Road, Taunton",TA1 1DG,Taunton & Somerset west (TA1),01823 333167,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Linden House,CQC directory (auto-downloaded),
Campden House Dental Practice,,"26 Belvedere Road, Taunton",TA1 1HD,Taunton & Somerset west (TA1),0782 3323143,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,Luna Dental Limited,CQC directory (auto-downloaded),
Access Dental Services,,"Ashford Court, Blackbrook Park Avenue, Taunton",TA1 2PX,Taunton & Somerset west (TA1),0788 9169211,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Access Dental Ltd,CQC directory (auto-downloaded),
Confident Orthodontics,,"Blackbrook Park Avenue, Taunton",TA1 2PX,Taunton & Somerset west (TA1),01823 289276,https://www.confi-demt.co.uk,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,Confident Orthodontics Limited,CQC directory (auto-downloaded),website unreachable
Lakeside House Dental Practice Limited,,"Lakeside House, Blackbrook Park Avenue, Taunton",TA1 2PX,Taunton & Somerset west (TA1),0771 5441688,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Lakeside House Dental Practice Limited,CQC directory (auto-downloaded),
Taunton Dental Access Centre,,"Park Gate House, East Reach, Taunton",TA1 3ES,Taunton & Somerset west (TA1),,https://www.sompar.nhs.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Somerset NHS Foundation Trust,CQC directory (auto-downloaded),
DentaQuest Taunton Practice,,"Castle Lodge, Castle Green, Taunton",TA1 4AD,Taunton & Somerset west (TA1),01179 733666,https://www.dentaquest.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,DentaQuest Ltd,CQC directory (auto-downloaded),
Taunton Dental Practice,,"11 The Crescent, Taunton",TA1 4EA,Taunton & Somerset west (TA1),01823 270187,https://www.tauntondental.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Taunton Endodontics Limited,CQC directory (auto-downloaded),
Parkfield Dental Surgery Limited,,"13 Parkfield Road, Taunton",TA1 4RL,Taunton & Somerset west (TA1),01823 284843,https://www.parkfielddental.co.uk/,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Parkfield Dental Surgery Limited,CQC directory (auto-downloaded),
Dental Design Limited,The Bow Dental Centre,"81 Bow Street, Langport",TA10 9PR,Taunton & Somerset west (TA10),01458 253888,https://www.bowdentalcentre.co.uk,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dental Design Limited,CQC directory (auto-downloaded),website unreachable
Hill House Dental Surgery,,"Hill House Dental Surgery, The Hill, Langport",TA10 9PU,Taunton & Somerset west (TA10),01458 250201,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Lakeland Dental Ltd,CQC directory (auto-downloaded),
Advance Dental Practice,,"5 Cary Court, Bancombe Business Park, Somerton",TA11 6SB,Taunton & Somerset west (TA11),01458 274080,https://www.advancedentalpractice.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Toothdoc4 Limited,CQC directory (auto-downloaded),
Apex Dental Somerton,,"Hope Cottage, Broad Street, Somerton",TA11 7ND,Taunton & Somerset west (TA11),01458 272813,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Apex Dental Partnership,CQC directory (auto-downloaded),
Martock Dental Surgery,,"13 Church Street, Martock",TA12 6JL,Taunton & Somerset west (TA12),01935 823040,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Gaddipati Services Ltd,CQC directory (auto-downloaded),
Forward Dental Care,,"Barns 2 C&D, Martock Workspace,  Water Street, , Martock",TA12 6RR,Taunton & Somerset west (TA12),01935 824061,https://www.forwarddentalcare.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr Chris Brann,CQC directory (auto-downloaded),
Christopher Brann t/a Forward Dental Care,,"4 Hamdon Close, Matts Lane, Stoke Sub Hamdon",TA14 6QN,Taunton & Somerset west (TA14),01935 824061,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr Chris Brann,CQC directory (auto-downloaded),
Orchard Lane Partnership,,"Orchard Lane, Crewkerne",TA18 7AF,Taunton & Somerset west (TA18),146073250,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Crewkerne Dent and Implant Centre Ltd,CQC directory (auto-downloaded),
The Crewkerne Dental Centre,,"4 Bere Court, North Street, Crewkerne",TA18 7BN,Taunton & Somerset west (TA18),146075210,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,The Ile Dental Centre Limited,CQC directory (auto-downloaded),
Black Swan Dental Spa,,"16 Falkland Square, Crewkerne",TA18 7JS,Taunton & Somerset west (TA18),146077517,https://www.blackswandental.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Black Swan Dental Spa Limited,CQC directory (auto-downloaded),
