name,phone,company,postcode,area,pms,segment,tier,adg_corporate,adg_group,bda_good_practice,website,notes
Taunton Dental & Implant Centre,01823 215555,Taunton Dental & Implant Centre,TA1 1SA,Taunton & Somerset west (TA1),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.tauntondentalandimplant.co.uk,
Supernova Dental,01278 228665,Supernova Dental,TA6 6LQ,Taunton & Somerset west (TA6),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.supernovadental.co.uk,
Yarde House Partnership,01823 333253,Yarde House Partnership,TA1 1DB,Taunton & Somerset west (TA1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Linden House Dental Practice,01823 333167,Linden House Dental Practice,TA1 1DG,Taunton & Somerset west (TA1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Campden House Dental Practice,0782 3323143,Campden House Dental Practice,TA1 1HD,Taunton & Somerset west (TA1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
Access Dental Services,0788 9169211,Access Dental Services,TA1 2PX,Taunton & Somerset west (TA1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Confident Orthodontics,01823 289276,Confident Orthodontics,TA1 2PX,Taunton & Somerset west (TA1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,https://www.confi-demt.co.uk,website unreachable
Lakeside House Dental Practice Limited,0771 5441688,Lakeside House Dental Practice Limited,TA1 2PX,Taunton & Somerset west (TA1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
DentaQuest Taunton Practice,01179 733666,DentaQuest Taunton Practice,TA1 4AD,Taunton & Somerset west (TA1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.dentaquest.co.uk,
Taunton Dental Practice,01823 270187,Taunton Dental Practice,TA1 4EA,Taunton & Somerset west (TA1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.tauntondental.co.uk,
Parkfield Dental Surgery Limited,01823 284843,Parkfield Dental Surgery Limited,TA1 4RL,Taunton & Somerset west (TA1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.parkfielddental.co.uk/,
Dental Design Limited,01458 253888,Dental Design Limited,TA10 9PR,Taunton & Somerset west (TA10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.bowdentalcentre.co.uk,website unreachable
Hill House Dental Surgery,01458 250201,Hill House Dental Surgery,TA10 9PU,Taunton & Somerset west (TA10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Advance Dental Practice,01458 274080,Advance Dental Practice,TA11 6SB,Taunton & Somerset west (TA11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.advancedentalpractice.co.uk,
Apex Dental Somerton,01458 272813,Apex Dental Somerton,TA11 7ND,Taunton & Somerset west (TA11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Martock Dental Surgery,01935 823040,Martock Dental Surgery,TA12 6JL,Taunton & Somerset west (TA12),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Forward Dental Care,01935 824061,Forward Dental Care,TA12 6RR,Taunton & Somerset west (TA12),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.forwarddentalcare.co.uk,
Orchard Lane Partnership,146073250,Orchard Lane Partnership,TA18 7AF,Taunton & Somerset west (TA18),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
The Crewkerne Dental Centre,146075210,The Crewkerne Dental Centre,TA18 7BN,Taunton & Somerset west (TA18),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Black Swan Dental Spa,146077517,Black Swan Dental Spa,TA18 7JS,Taunton & Somerset west (TA18),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.blackswandental.co.uk,
Crewkerne Dental Care,0795 8060687,Crewkerne Dental Care,TA18 7LA,Taunton & Somerset west (TA18),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.dentistryforyou.co.uk,
Wellington Dental Care,0795 8060687,Wellington Dental Care,TA21 0AZ,Taunton & Somerset west (TA21),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Wellington Dental Practice,01823 661555,Wellington Dental Practice,TA21 8QY,Taunton & Somerset west (TA21),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,https://www.nhs.uk/Services/dentists/Overview/DefaultView.aspx?id=21376,website unreachable
Woodlands Dental Practice,01823 666651,Woodlands Dental Practice,TA21 8QY,Taunton & Somerset west (TA21),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.woodlandsdentalsurgery.co.uk,
Ponsford 59 Dental Practice,01643 702681,Ponsford 59 Dental Practice,TA24 5DY,Taunton & Somerset west (TA24),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.ponsford59.co.uk/,website unreachable
Holloway House Dental Surgery,01643 703071,Holloway House Dental Surgery,TA24 5PB,Taunton & Somerset west (TA24),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Aesthetic and Implant Dentistry,01823 462550,Aesthetic and Implant Dentistry,TA4 1EL,Taunton & Somerset west (TA4),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Church House Dental Clinic,01823 430004,Church House Dental Clinic,TA4 3AU,Taunton & Somerset west (TA4),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.churchhousedental.co.uk,
Stoneleigh House Dental Practice,01984 631414,Stoneleigh House Dental Practice,TA4 4NW,Taunton & Somerset west (TA4),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Cornhill Dental Practice,01278 458396,Cornhill Dental Practice,TA6 3BX,Taunton & Somerset west (TA6),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.cornhilldentalpractice.co.uk,
Corner House Dental Practice,01278 422140,Corner House Dental Practice,TA6 3DG,Taunton & Somerset west (TA6),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Kings Square Dental Practice,01278 422555,Kings Square Dental Practice,TA6 3DG,Taunton & Somerset west (TA6),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Bridgwater Dental Access Centre,01278 411630,Bridgwater Dental Access Centre,TA6 3LS,Taunton & Somerset west (TA6),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Parade Dental Practice Limited,01278 425796,Parade Dental Practice Limited,TA6 3PN,Taunton & Somerset west (TA6),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
Quantock View Dental Centre,01278 664345,Quantock View Dental Centre,TA6 6PR,Taunton & Somerset west (TA6),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
College Street Dental Practice,0844 3756669,College Street Dental Practice,TA8 1AT,Taunton & Somerset west (TA8),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.collegestreetdental.com,
"Parkfield Dental, Berrow Health Campus",01278 781064,"Parkfield Dental, Berrow Health Campus",TA8 2JU,Taunton & Somerset west (TA8),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
