practice_name,also_known_as,address,postcode,area,phone,website,nhs_private,pms_detected,pms_confidence,pms_evidence,blast_segment,wisecall_tier,adg_corporate,adg_group,bda_good_practice,provider_name,source,notes
Cleveland Orthodontics,,"32-36, Baker Street, Middlesbrough",TS1 2LH,Teesside (TS1),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,Mrs Judith Muriel Charlton,CQC directory (auto-downloaded),
NIGHT AND DAY EMERGENCY DENTIST,,"2-4 Baker Street, Middlesbrough",TS1 2LH,Teesside (TS1),0741 5849849,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,S M Rahman Limited,CQC directory (auto-downloaded),
Select Dental Care,,"125-127, Borough Road, Middlesbrough",TS1 3AN,Teesside (TS1),01642 246280,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr Prabpreet Singh Brainch,CQC directory (auto-downloaded),
Teeside University,,"Borough Road, Middlesbrough",TS1 3BA,Teesside (TS1),01642 218121,https://www.tees.ac.uk/schools/shls/dental.cfm,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Teesside University,CQC directory (auto-downloaded),
M J C Newbould,Dr Mathew Newbould,"312 Linthorpe Road, Middlesbrough",TS1 3QX,Teesside (TS1),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,M J C Newbould Limited,CQC directory (auto-downloaded),
Dental Care Centre,,"32 Queen Street, Redcar",TS10 1BD,Teesside (TS10),01642 489846,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr. Fraser Plahe,CQC directory (auto-downloaded),
Coatham Dental Practice,,"28 Coatham Road, Redcar",TS10 1RS,Teesside (TS10),01642 484546,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Coatham Dental Practice Partnership,CQC directory (auto-downloaded),
Malmin Orthodontics Redcar,,"Unit 15 Regent Walk, Redcar",TS10 3FB,Teesside (TS10),0780 7029665,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Malmin Orthodontic Group Limited,CQC directory (auto-downloaded),
Redcar Family Dental Centre,,"54 Lord Street, Redcar",TS10 3HS,Teesside (TS10),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,Miss Sarah Allerton,CQC directory (auto-downloaded),
Park Avenue Dental Practice,,"15 Park Avenue, Redcar",TS10 3LA,Teesside (TS10),01642 477000,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,MF Barnett and HJ Almond,CQC directory (auto-downloaded),
Family Dental Practice,,"Unit 2,  Roseberry Shopping Centre, Roseberry Road, Redcar",TS10 4NY,Teesside (TS10),01642 490673,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Family Dental Practice,CQC directory (auto-downloaded),
Banksdental,,"106 High Street, Marske-by-the-Sea, Redcar",TS11 7BA,Teesside (TS11),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr. Christopher Banks,CQC directory (auto-downloaded),
Mr David Power - Marske-by-the-Sea,,"106 High Street, Marske-by-the-Sea, Redcar",TS11 7BA,Teesside (TS11),01642 488033,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr. David Power,CQC directory (auto-downloaded),
Saltburn Dental Practice,,"11 Dundas Street East, Saltburn By The Sea",TS12 1AH,Teesside (TS12),01287 624914,https://www.saltburndental.co.uk,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr. David Malpass,CQC directory (auto-downloaded),website unreachable
Skelton Dental Practice,,"171 High Street, Skelton-in-cleveland, Saltburn-by-the-sea",TS12 2LF,Teesside (TS12),01287 650758,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr Shahid Mansoor,CQC directory (auto-downloaded),
Loftus Dental Practice,,"27 West Road, Loftus, Saltburn By The Sea",TS13 4RP,Teesside (TS13),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Burnside and Carter,CQC directory (auto-downloaded),
Roseberry Dental Practice,,"118 Westgate, Guisborough",TS14 6AW,Teesside (TS14),01287 610410,https://www.roseberry-dentalpractice.co.uk,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Malmin Healthcare Guisborough Partnership,CQC directory (auto-downloaded),website unreachable
Church Street Dental Practice,,"85 Church Street, Guisborough",TS14 6HG,Teesside (TS14),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr Christopher James Sherwin,CQC directory (auto-downloaded),
The Mews Dental Practice,,"6 Chaloner Street, Guisborough",TS14 6QD,Teesside (TS14),01287 632249,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr Sharmila Jayaraj,CQC directory (auto-downloaded),
Vitality Dental Practice Guisborough,,"Unit 11 South Buck Way, Cleveland Gate Business park,  Rectory Lane, Guisborough",TS14 7FJ,Teesside (TS14),01642 715700,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Riverdale Tradeco Limited,CQC directory (auto-downloaded),
The Poplars Dental Practice,,"104 High Street, Yarm",TS15 9AU,Teesside (TS15),01642 790500,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,The Poplars Dental Practice,CQC directory (auto-downloaded),
Enhance Dental Care,,"111 High Street, Yarm",TS15 9BB,Teesside (TS15),01642 782434,https://www.enhancedentalcare.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Enhance Dental Care Limited,CQC directory (auto-downloaded),
Queensway Dental - Yarm,Queensway Group Holding Limited,"17a High Street, Yarm",TS15 9BW,Teesside (TS15),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Queensway Group Holding Limited,CQC directory (auto-downloaded),
Queensway Orthodontics (South) Ltd Yarm,,"17a High Street, Yarm",TS15 9BW,Teesside (TS15),01642 352440,https://www.queenswayorthodontics.co.uk/,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Queensway Orthodontics (South) Limited,CQC directory (auto-downloaded),
Leven Vale Dental Practice,Leven Vale DP Ltd,"Low Lane, High Leven, Yarm",TS15 9JT,Teesside (TS15),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,Leven Vale DP Ltd,CQC directory (auto-downloaded),
HM Prison Kirklevington Grange,,"Kirklevington Grange, Green Lane, Yarm",TS15 9PA,Teesside (TS15),01642 792600,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Syed Yusuf Abdullah & Deepa Abdullah,CQC directory (auto-downloaded),
Myton Park Dental Centre,,"Myton Road, Ingleby Barwick, Stockton On Tees",TS17 0WA,Teesside (TS17),01642 760111,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr. Timothy Rupert Lewis,CQC directory (auto-downloaded),
Lanehouse Road Dental Surgery,,"77 Lanehouse Road, Thornaby, Stockton On Tees",TS17 8AF,Teesside (TS17),01642 607541,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Ladhar and Ladhar,CQC directory (auto-downloaded),
Sharp Smiles LTD,,"Lansing House, 31 Allensway,  Thornaby, Stockton-on-tees",TS17 9HA,Teesside (TS17),01642 750124,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Sharp Smiles Ltd,CQC directory (auto-downloaded),
Thornaby Dental Centre,,"31 Allensway, Thornaby, Stockton On Tees",TS17 9HA,Teesside (TS17),01642 750124,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr Peter Sharp,CQC directory (auto-downloaded),
Bishopton Lane,,"21 Bishopton Lane, Stockton On Tees",TS18 1PS,Teesside (TS18),01642 676521,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr. Elizabeth Allen,CQC directory (auto-downloaded),
Tennant Street,,"3 - 4 Tennant Street, Stockton-on-tees",TS18 2AT,Teesside (TS18),01642 352440,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Queensway Orthodontics (South) Limited,CQC directory (auto-downloaded),
HMP Holme House,,"Holme House, Holme House Road, Stockton-on-tees",TS18 2QU,Teesside (TS18),01642 744141,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr Mohammed Hyder,CQC directory (auto-downloaded),
Smile Spa Limited,,"5 Innovation Court, Yarm Road, Stockton on Tees",TS18 3DA,Teesside (TS18),01642 674888,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Portman Healthcare Limited,CQC directory (auto-downloaded),
Yarm Lane Dental Practice,,"59 Yarm Lane, Stockton On Tees",TS18 3DX,Teesside (TS18),01642 674313,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Yarm Lane Dental Practice,CQC directory (auto-downloaded),
Alpha Dental Studio Fairfield,,"Wellburn Road, Fairfield, Stockton-on-Tees",TS19 7PP,Teesside (TS19),01642 713411,https://www.alphadental.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Alpha Dental Studio Fairfield,CQC directory (auto-downloaded),
Hardwick Dental Practice,,"50 Hardwick Road, Stockton On Tees",TS19 8JY,Teesside (TS19),01642 616475,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Syed Yusuf Abdullah & Deepa Abdullah,CQC directory (auto-downloaded),
Grace Dental Care,Dr Saqib Sabih Aslam and Mrs Izza Saqib,"North Tees Hospital, Hardwick Road, Stockton On Tees",TS19 8PE,Teesside (TS19),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Grace Dental Care Partnership,CQC directory (auto-downloaded),
Roseworth Dental Centre,,"73 Ragpath Lane, Stockton On Tees",TS19 9JW,Teesside (TS19),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr Michael Stanley Hulley,CQC directory (auto-downloaded),
Norton Village Dental,,"111 High Street, Norton, Stockton On Tees",TS20 1AA,Teesside (TS20),01642 530137,https://www.nortonvillagedental.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr. Christopher Wenham,CQC directory (auto-downloaded),
Grange Dental Practice,Dr Paul Woodhouse and Dr Ruth Woodhouse,"384-386, Norton Road, Stockton-on-tees",TS20 2QL,Teesside (TS20),01642 553408,https://www.grangedentalpractice.com,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Grange Dental Practice,CQC directory (auto-downloaded),
Sedgefield Dental Health Centre,,"North End, , Sedgefield, Stockton-on-tees",TS21 2AZ,Teesside (TS21),01740 629006,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Denmark Street Dental Practice Limited,CQC directory (auto-downloaded),
Sedgefield Dental Practice,,"3-9 Front Street, Sedgefield, Stockton-on-tees",TS21 3AT,Teesside (TS21),01740 621040,https://www.sedgefielddental.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Sedgefield Dental Practice Limited,CQC directory (auto-downloaded),
Identity Dental Care,,"78 Wolviston Road, Billingham",TS22 5JF,Teesside (TS22),01642 554299,https://www.identitydentalcare.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr. James Robson,CQC directory (auto-downloaded),
Wynyard Dental,,"134 The Stables, Wynyard, Billingham",TS22 5QY,Teesside (TS22),01740 645666,https://www.wynyarddental.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Wynyard Dental Practice,CQC directory (auto-downloaded),
Westmount Dental Wynyard,,"6 Wynyard Park Business Village, Chappell Lane S,  Wynyard, Billingham",TS22 5TB,Teesside (TS22),01740 644044,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Denmark Street Dental Practice Limited,CQC directory (auto-downloaded),
Wynyard Dentistry,,"Unit 1,  Wynyard Avenue, Wynyard, Billingham",TS22 5TB,Teesside (TS22),01740 644044,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Denmark Street Dental Practice Limited,CQC directory (auto-downloaded),
Aura Dental Clinic,,"Low Grange Community Centre, East Avenue, Billingham",TS23 1BY,Teesside (TS23),01642 939457,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Aura Dental Clinic,CQC directory (auto-downloaded),
McCormick & Harrington Limited,Billingham Dental,"69-71 Queensway, Billingham",TS23 2LU,Teesside (TS23),01642 573370,https://www.billingham.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,McCormick & Harrington Limited,CQC directory (auto-downloaded),
Queensway Dental Clinic,,"170 Queensway, Billingham",TS23 2NT,Teesside (TS23),01642 554667,https://www.queensway.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Queensway Dental Clinic,CQC directory (auto-downloaded),
Queensway Dental Clinic-Billingham,,"170 Queensway, Billingham",TS23 2NT,Teesside (TS23),01642 554667,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Queensway Group Holding Limited,CQC directory (auto-downloaded),
Queensway Orthodontics,,"170, Queensway, Billingham",TS23 2NT,Teesside (TS23),01642 554667,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Queensway Orthodontics,CQC directory (auto-downloaded),
Queensway Orthodontics (South) Ltd Billingham,,"156-170, Queensway, Billingham",TS23 2NT,Teesside (TS23),01642 352440,https://www.queenswayorthodontics.co.uk/,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Queensway Orthodontics (South) Limited,CQC directory (auto-downloaded),
Grace Dental Care -Windlestone Road,Dr Saqib Sabih Aslam and Dr Izza Saqib,"19a, Windlestone Road, Billingham",TS23 3JW,Teesside (TS23),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Grace Dental Care Windlestone Road,CQC directory (auto-downloaded),
Grace Dental Care,Dr Saqib Sabih Aslam and Mrs Izza Saqib,"49 Tunstall Avenue, Billingham",TS23 3QB,Teesside (TS23),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Grace Dental Care Partnership,CQC directory (auto-downloaded),
Belasis Dental Practice,,"Unit 19d Manor Way, Belasis Hall Technology Park, Billingham",TS23 4HN,Teesside (TS23),01642 566615,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr. Andrew Zaranko,CQC directory (auto-downloaded),
Hartlepool Dental and Implant Centre - Northgate,Dr Minesh Talati & Dr Masoud Hobbi,"29 Northgate, Hartlepool",TS24 0JT,Teesside (TS24),01462 861327,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Hartlepool Dental Practice Partnership,CQC directory (auto-downloaded),
Grace Dental Care Partnership,Dr Saqib Sabih Aslam and Mrs Izza Saqib,"60 Avenue Road, Hartlepool",TS24 8AT,Teesside (TS24),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Grace Dental Care Partnership,CQC directory (auto-downloaded),
Health and Smile Dental Practice,Chawla professional Services limited,"Easington Road, Hartlepool",TS24 9QU,Teesside (TS24),0794 3318783,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Chawla Professional Services Limited,CQC directory (auto-downloaded),
Smith and Associates,,"223 Stockton Road, Hartlepool",TS25 1RR,Teesside (TS25),01429 272004,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr. Nicholas Smith,CQC directory (auto-downloaded),
DentalCare Seaton Carew,,"48b Elizabeth Way, Seaton Carew, Hartlepool",TS25 2AX,Teesside (TS25),01429 865290,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,DentalCare,CQC directory (auto-downloaded),
Hartlepool Dental and Implant Centre -  Owton Manor Lane,,"212 Owton Manor Lane, Hartlepool",TS25 3QD,Teesside (TS25),01429 265471,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Hartlepool Dental Practice Partnership,CQC directory (auto-downloaded),
