name,phone,company,postcode,area,pms,segment,tier,adg_corporate,adg_group,bda_good_practice,website,notes
NIGHT AND DAY EMERGENCY DENTIST,0741 5849849,NIGHT AND DAY EMERGENCY DENTIST,TS1 2LH,Teesside (TS1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Select Dental Care,01642 246280,Select Dental Care,TS1 3AN,Teesside (TS1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Teeside University,01642 218121,Teeside University,TS1 3BA,Teesside (TS1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.tees.ac.uk/schools/shls/dental.cfm,
Dental Care Centre,01642 489846,Dental Care Centre,TS10 1BD,Teesside (TS10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Coatham Dental Practice,01642 484546,Coatham Dental Practice,TS10 1RS,Teesside (TS10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Malmin Orthodontics Redcar,0780 7029665,Malmin Orthodontics Redcar,TS10 3FB,Teesside (TS10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Park Avenue Dental Practice,01642 477000,Park Avenue Dental Practice,TS10 3LA,Teesside (TS10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
Family Dental Practice,01642 490673,Family Dental Practice,TS10 4NY,Teesside (TS10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Roseberry Dental Practice,01287 610410,Roseberry Dental Practice,TS14 6AW,Teesside (TS14),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.roseberry-dentalpractice.co.uk,website unreachable
The Mews Dental Practice,01287 632249,The Mews Dental Practice,TS14 6QD,Teesside (TS14),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Vitality Dental Practice Guisborough,01642 715700,Vitality Dental Practice Guisborough,TS14 7FJ,Teesside (TS14),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
The Poplars Dental Practice,01642 790500,The Poplars Dental Practice,TS15 9AU,Teesside (TS15),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Enhance Dental Care,01642 782434,Enhance Dental Care,TS15 9BB,Teesside (TS15),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.enhancedentalcare.co.uk,
Queensway Orthodontics (South) Ltd Yarm,01642 352440,Queensway Orthodontics (South) Ltd Yarm,TS15 9BW,Teesside (TS15),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.queenswayorthodontics.co.uk/,
HM Prison Kirklevington Grange,01642 792600,HM Prison Kirklevington Grange,TS15 9PA,Teesside (TS15),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Myton Park Dental Centre,01642 760111,Myton Park Dental Centre,TS17 0WA,Teesside (TS17),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Lanehouse Road Dental Surgery,01642 607541,Lanehouse Road Dental Surgery,TS17 8AF,Teesside (TS17),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Sharp Smiles LTD,01642 750124,Sharp Smiles LTD,TS17 9HA,Teesside (TS17),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Thornaby Dental Centre,01642 750124,Thornaby Dental Centre,TS17 9HA,Teesside (TS17),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Bishopton Lane,01642 676521,Bishopton Lane,TS18 1PS,Teesside (TS18),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Tennant Street,01642 352440,Tennant Street,TS18 2AT,Teesside (TS18),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
HMP Holme House,01642 744141,HMP Holme House,TS18 2QU,Teesside (TS18),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Smile Spa Limited,01642 674888,Smile Spa Limited,TS18 3DA,Teesside (TS18),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Yarm Lane Dental Practice,01642 674313,Yarm Lane Dental Practice,TS18 3DX,Teesside (TS18),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Alpha Dental Studio Fairfield,01642 713411,Alpha Dental Studio Fairfield,TS19 7PP,Teesside (TS19),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.alphadental.co.uk,
Hardwick Dental Practice,01642 616475,Hardwick Dental Practice,TS19 8JY,Teesside (TS19),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Identity Dental Care,01642 554299,Identity Dental Care,TS22 5JF,Teesside (TS22),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.identitydentalcare.co.uk,
Wynyard Dental,01740 645666,Wynyard Dental,TS22 5QY,Teesside (TS22),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.wynyarddental.co.uk,
Westmount Dental Wynyard,01740 644044,Westmount Dental Wynyard,TS22 5TB,Teesside (TS22),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Wynyard Dentistry,01740 644044,Wynyard Dentistry,TS22 5TB,Teesside (TS22),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Aura Dental Clinic,01642 939457,Aura Dental Clinic,TS23 1BY,Teesside (TS23),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
McCormick & Harrington Limited,01642 573370,McCormick & Harrington Limited,TS23 2LU,Teesside (TS23),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.billingham.co.uk,
Queensway Dental Clinic,01642 554667,Queensway Dental Clinic,TS23 2NT,Teesside (TS23),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.queensway.co.uk,
Queensway Dental Clinic-Billingham,01642 554667,Queensway Dental Clinic-Billingham,TS23 2NT,Teesside (TS23),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Queensway Orthodontics,01642 554667,Queensway Orthodontics,TS23 2NT,Teesside (TS23),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Queensway Orthodontics (South) Ltd Billingham,01642 352440,Queensway Orthodontics (South) Ltd Billingham,TS23 2NT,Teesside (TS23),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.queenswayorthodontics.co.uk/,
Belasis Dental Practice,01642 566615,Belasis Dental Practice,TS23 4HN,Teesside (TS23),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Elliott McCarthy Dental Care,01429 863356,Elliott McCarthy Dental Care,TS26 0TB,Teesside (TS26),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.elliottmccarthy.com,
Bentley Mathieson Dentalcare,01429 221353,Bentley Mathieson Dentalcare,TS26 8DD,Teesside (TS26),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Hartlepool Dental and Implant Centre - Victoria Road,01429 222707,Hartlepool Dental and Implant Centre - Victoria Road,TS26 8DD,Teesside (TS26),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Westmount Dental - Middlesbrough,01642 850011,Westmount Dental - Middlesbrough,TS5 5HR,Teesside (TS5),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
DC Daniels Dental Practice,01642 817270,DC Daniels Dental Practice,TS5 5PH,Teesside (TS5),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.Dcdanielsdental.com,
The Independent Dental Practice,01642 815016,The Independent Dental Practice,TS5 8AA,Teesside (TS5),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Archway Dental Practice - Stokesley,01642 713330,Archway Dental Practice - Stokesley,TS9 5AD,Teesside (TS9),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Vitality Dental Care,01642 712519,Vitality Dental Care,TS9 5AD,Teesside (TS9),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Stokesley Dental Practice,01642 710421,Stokesley Dental Practice,TS9 5DP,Teesside (TS9),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.stokesleydentalpractice.co.uk,
Alpha Dental Studio Ayton,01642 724154,Alpha Dental Studio Ayton,TS9 6BW,Teesside (TS9),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Alpha Dental Studio Great Ayton,01642 724154,Alpha Dental Studio Great Ayton,TS9 6BW,Teesside (TS9),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.alpahdental.co.uk,website unreachable
Genix Healthcare Middlesbrough Limited,01642 246207,Genix Healthcare Middlesbrough Limited,TS1 3QW,Teesside (TS1),Dentally,Dentally confirmed,Tier 4 - ADG corporate group (lower priority),Yes,Genix Healthcare,No,https://www.genixhealthcare.com,
Mydentist - Highcliffe View - Westgate,01287 632699,Mydentist - Highcliffe View - Westgate,TS14 6AY,Teesside (TS14),MyDentist corporate,Unknown PMS - manual check,Tier 4 - ADG corporate group (lower priority),Yes,mydentist,No,https://www.mydentist.co.uk,
Bupa Dental Care Yarm,01642 789997,Bupa Dental Care Yarm,TS15 9XN,Teesside (TS15),Unknown,Unknown PMS - manual check,Tier 4 - ADG corporate group (lower priority),Yes,Bupa Dental Care,No,https://www.yarmdental.co.uk,website unreachable
Mydentist - Greenside - Barwick,01642 766444,Mydentist - Greenside - Barwick,TS17 0RR,Teesside (TS17),MyDentist corporate,Unknown PMS - manual check,Tier 4 - ADG corporate group (lower priority),Yes,mydentist,No,https://www.mydentist.co.uk,
Mydentist - Lysander House - Stockton on Tees,01642 676793,Mydentist - Lysander House - Stockton on Tees,TS18 3TX,Teesside (TS18),MyDentist corporate,Unknown PMS - manual check,Tier 4 - ADG corporate group (lower priority),Yes,mydentist,No,https://www.mydentist.co.uk,
MyDentist - Rimswell Parade - Stockton On Tees,01642 581688,MyDentist - Rimswell Parade - Stockton On Tees,TS19 7LB,Teesside (TS19),MyDentist corporate,Unknown PMS - manual check,Tier 4 - ADG corporate group (lower priority),Yes,mydentist,No,https://www.mydentist.co.uk,
Mydentist - Grange Road - Hartlepool,01429 864555,Mydentist - Grange Road - Hartlepool,TS26 8JA,Teesside (TS26),Unknown,Unknown PMS - manual check,Tier 4 - ADG corporate group (lower priority),Yes,mydentist,No,,
