practice_name,also_known_as,address,postcode,area,phone,website,nhs_private,pms_detected,pms_confidence,pms_evidence,blast_segment,wisecall_tier,adg_corporate,adg_group,bda_good_practice,provider_name,source,notes
The Dental Surgery,,"Tyrone House, Church Street,  Wellington, Telford",TF1 1DR,Telford & Shrewsbury east (TF1),01952 250045,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr Aquil Rajabali,CQC directory (auto-downloaded),
Manor Orthodontic Clinic,,"9a Queen Street, Wellington, Telford",TF1 1EH,Telford & Shrewsbury east (TF1),01952 223313,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,PKD Orthodontics Limited,CQC directory (auto-downloaded),
Carlton Chambers,,"Queen Street, Wellington, Telford",TF1 1EW,Telford & Shrewsbury east (TF1),01952 242966,https://www.thesmileworks.com,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,The Smile Works Limited,CQC directory (auto-downloaded),
Hadley Dental Practice,,"Unit 3,  Hadley Centre, High Street,  Hadley, Telford",TF1 5GQ,Telford & Shrewsbury east (TF1),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Hadley Dental Practice Partnership,CQC directory (auto-downloaded),
Station House Dental Practice,,"Unit A1, Access 442,  Hadley Park East,  Hadley, Telford",TF1 6QX,Telford & Shrewsbury east (TF1),01952 610061,https://www.stationhousedentalpractice.co.uk/,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Station House Dental Practice (Telford) Ltd,CQC directory (auto-downloaded),
Happy Smiles Family Dental Practice,,"41 High Street, Newport",TF10 7AT,Telford & Shrewsbury east (TF10),01952 825555,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr Benjamin David Coleyshaw,CQC directory (auto-downloaded),
Wycherleys Dental Practice,,"49 High Street, Newport",TF10 7AT,Telford & Shrewsbury east (TF10),01952 459459,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Wycherleys Dental Practice Limited,CQC directory (auto-downloaded),
Britannia House Dental Practice,,"2b New Street, Newport",TF10 7AX,Telford & Shrewsbury east (TF10),01952 811170,https://www.shropshiredentlapractice.co.uk,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr Kwaku Amenu Tagboto,CQC directory (auto-downloaded),website unreachable
Z. Dental Care,,"1 Avenue Road, Newport",TF10 7EA,Telford & Shrewsbury east (TF10),01952 813766,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,IZ Shah Limited,CQC directory (auto-downloaded),
Newport Dental Practice,,"2 Stafford Street, Newport",TF10 7LT,Telford & Shrewsbury east (TF10),01952 811973,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr. Jonathan Preece,CQC directory (auto-downloaded),
