name,phone,company,postcode,area,pms,segment,tier,adg_corporate,adg_group,bda_good_practice,website,notes
The Dental Surgery,01952 250045,The Dental Surgery,TF1 1DR,Telford & Shrewsbury east (TF1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Manor Orthodontic Clinic,01952 223313,Manor Orthodontic Clinic,TF1 1EH,Telford & Shrewsbury east (TF1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Carlton Chambers,01952 242966,Carlton Chambers,TF1 1EW,Telford & Shrewsbury east (TF1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.thesmileworks.com,
Station House Dental Practice,01952 610061,Station House Dental Practice,TF1 6QX,Telford & Shrewsbury east (TF1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.stationhousedentalpractice.co.uk/,
Happy Smiles Family Dental Practice,01952 825555,Happy Smiles Family Dental Practice,TF10 7AT,Telford & Shrewsbury east (TF10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Wycherleys Dental Practice,01952 459459,Wycherleys Dental Practice,TF10 7AT,Telford & Shrewsbury east (TF10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Britannia House Dental Practice,01952 811170,Britannia House Dental Practice,TF10 7AX,Telford & Shrewsbury east (TF10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.shropshiredentlapractice.co.uk,website unreachable
Z. Dental Care,01952 813766,Z. Dental Care,TF10 7EA,Telford & Shrewsbury east (TF10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Newport Dental Practice,01952 811973,Newport Dental Practice,TF10 7LT,Telford & Shrewsbury east (TF10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Tranquillo Dental Studio Ltd,01952 971600,Tranquillo Dental Studio Ltd,TF11 8DD,Telford & Shrewsbury east (TF11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Shifnal Dental Care Ltd,01952 460119,Shifnal Dental Care Ltd,TF11 9AU,Telford & Shrewsbury east (TF11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Broseley Dental Practice Ltd,01952 883196,Broseley Dental Practice Ltd,TF12 5ET,Telford & Shrewsbury east (TF12),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Twickel Dental Limited,01952 728799,Twickel Dental Limited,TF13 6EN,Telford & Shrewsbury east (TF13),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Station House Dental Practice,01952 610061,Station House Dental Practice,TF2 6AG,Telford & Shrewsbury east (TF2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,https://www.stationhousedentalpractice.co.uk,
Bridge Dental Practice Limited,01952 616602,Bridge Dental Practice Limited,TF2 6AH,Telford & Shrewsbury east (TF2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.bridgedentalsmiles.co.uk,
