practice_name,also_known_as,address,postcode,area,phone,website,nhs_private,pms_detected,pms_confidence,pms_evidence,blast_segment,wisecall_tier,adg_corporate,adg_group,bda_good_practice,provider_name,source,notes
Moor Dental Care Limited,,"7 West Street, Ashburton, Newton Abbot",TQ13 7DT,Torquay & South Devon (TQ13),01364 652850,https://www.moordentalcare.co.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Moor Dental Care Limited,CQC directory (auto-downloaded),
Brixham Dental Practice Limited,,"19 New Road, Brixham",TQ5 8NB,Torquay & South Devon (TQ5),01803 853980,https://www.brixhamdental.co.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Brixham Dental Practice Limited,CQC directory (auto-downloaded),
Quay Dental Surgery Kingsbridge,,"1 South Place, The Promenade, Kingsbridge",TQ7 1JE,Torquay & South Devon (TQ7),01548 853568,https://www.quay-dental.co.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Quay Dental Limited,CQC directory (auto-downloaded),
Torbay Dental Practice,,"4 Madrepore Road, Torquay",TQ1 1EY,Torquay & South Devon (TQ1),01803 291919,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr. Johan Bjork,CQC directory (auto-downloaded),
Dolphins Dental,,"23 Park Hill Road, Torquay",TQ1 2AL,Torquay & South Devon (TQ1),01803 299510,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr Sushil Kumar Jamnadas Dhanesha,CQC directory (auto-downloaded),
Parkhill Dent - Parkhill Road,,"3 Park Hill Road, Torquay",TQ1 2AL,Torquay & South Devon (TQ1),01803 380090,https://www.parkhilldent.co.uk,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Parkhill Dental Limited,CQC directory (auto-downloaded),website unreachable
Tor Lodge Dental Practice,,"15 Parkhill Road, Torquay",TQ1 2AL,Torquay & South Devon (TQ1),01803 211646,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Tor Lodge Dental Practice,CQC directory (auto-downloaded),
Wellswood and Babbacombe Dental,,"321 Babbacombe Road, Torquay",TQ1 3TB,Torquay & South Devon (TQ1),01803 389222,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Wellswood and Babbacombe Dental,CQC directory (auto-downloaded),
Tudor Clinic,,"49 Wolborough Street, Newton Abbot",TQ12 1JQ,Torquay & South Devon (TQ12),01626 335567,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr Ian Terance MacDermott,CQC directory (auto-downloaded),
Magnus Dental Practice,,"95 Queen Street, Newton Abbot",TQ12 2BG,Torquay & South Devon (TQ12),01626 333463,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Magnus Dental Practice Limited,CQC directory (auto-downloaded),
Devon Square Orthodontics,,"29 Devon Square, Newton Abbot",TQ12 2HH,Torquay & South Devon (TQ12),0844 8151476,https://www.devonsquareorthodontics.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,Devon Square Orthodontics Limited,CQC directory (auto-downloaded),
Newton Abbot Dental Centre,Newton Abbot Dental Centre Limited,"9 St. Pauls Road, Newton Abbot",TQ12 2HP,Torquay & South Devon (TQ12),01626 363114,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Newton Abbot Dental Centre Limited,CQC directory (auto-downloaded),
St Paul's Dental Practice,,"4 St Paul's Road, Newton Abbot",TQ12 2HP,Torquay & South Devon (TQ12),01626 365896,https://www.stpaulsdentalpractice.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,St Pauls Dental Practice Ltd,CQC directory (auto-downloaded),
Abbotsbury Dental Care,,"Abbotsbury Villa, 4 Abbotsbury Road, Newton Abbot",TQ12 2LZ,Torquay & South Devon (TQ12),01626 352880,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Elberry Ltd,CQC directory (auto-downloaded),
Gestridge Dental Practice,,"23 Gestridge Road, Kingsteignton, Newton Abbot",TQ12 3EZ,Torquay & South Devon (TQ12),01626 209980,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Bridge The Gap (Harris) Ltd,CQC directory (auto-downloaded),
Brunel Dental Access Centre,Newton Abbot Access Dental,"Brunel Road, Brunel Industrial Estate, Newton Abbot",TQ12 4XX,Torquay & South Devon (TQ12),01392 822343,https://www.devondental.nhs.uk,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Access Dental Ltd,CQC directory (auto-downloaded),website unreachable
Brunel Dental Centre,,"Brunel Industrial Estate, Newton Abbot",TQ12 4XX,Torquay & South Devon (TQ12),01626 325920,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Torbay and South Devon NHS Foundation Trust,CQC directory (auto-downloaded),
HMP Channings Wood,,"Channings Wood, Denbury, Newton Abbot",TQ12 6DW,Torquay & South Devon (TQ12),01803 814600,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Time for Teeth Limited,CQC directory (auto-downloaded),
The Chudleigh Practice Limited,,"77 Fore Street, Chudleigh, Newton Abbot",TQ13 0HT,Torquay & South Devon (TQ13),01626 853595,https://www.chudleighdental.com,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,The Chudleigh Practice Limited,CQC directory (auto-downloaded),
Devon Dental Centre of Excellence,,"Croydon House,  78 East Street, , Ashburton, Newton Abbot",TQ13 7AX,Torquay & South Devon (TQ13),01364 652253,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,CranioMandibularClinics Limited,CQC directory (auto-downloaded),
Chagford Dental Practice,,"Lawn House,  24 Mill Street, Chagford, Newton Abbot",TQ13 8AW,Torquay & South Devon (TQ13),01647 432224,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Chagford Dental Practice,CQC directory (auto-downloaded),
Moretonhampstead Dental Practice,,"1 Station Road, Moretonhampstead, Newton Abbot",TQ13 8NQ,Torquay & South Devon (TQ13),01647 432224,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Chagford Dental Practice,CQC directory (auto-downloaded),
Bovey Dental Practice,,"22 Fore Street, Bovey Tracey, Newton Abbot",TQ13 9AD,Torquay & South Devon (TQ13),01626 834241,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr. Jonathan Terry,CQC directory (auto-downloaded),
