name,phone,company,postcode,area,pms,segment,tier,adg_corporate,adg_group,bda_good_practice,website,notes
Moor Dental Care Limited,01364 652850,Moor Dental Care Limited,TQ13 7DT,Torquay & South Devon (TQ13),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.moordentalcare.co.uk,
Brixham Dental Practice Limited,01803 853980,Brixham Dental Practice Limited,TQ5 8NB,Torquay & South Devon (TQ5),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.brixhamdental.co.uk,
Quay Dental Surgery Kingsbridge,01548 853568,Quay Dental Surgery Kingsbridge,TQ7 1JE,Torquay & South Devon (TQ7),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.quay-dental.co.uk,
Torbay Dental Practice,01803 291919,Torbay Dental Practice,TQ1 1EY,Torquay & South Devon (TQ1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Dolphins Dental,01803 299510,Dolphins Dental,TQ1 2AL,Torquay & South Devon (TQ1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Parkhill Dent - Parkhill Road,01803 380090,Parkhill Dent - Parkhill Road,TQ1 2AL,Torquay & South Devon (TQ1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.parkhilldent.co.uk,website unreachable
Tor Lodge Dental Practice,01803 211646,Tor Lodge Dental Practice,TQ1 2AL,Torquay & South Devon (TQ1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Wellswood and Babbacombe Dental,01803 389222,Wellswood and Babbacombe Dental,TQ1 3TB,Torquay & South Devon (TQ1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Tudor Clinic,01626 335567,Tudor Clinic,TQ12 1JQ,Torquay & South Devon (TQ12),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Magnus Dental Practice,01626 333463,Magnus Dental Practice,TQ12 2BG,Torquay & South Devon (TQ12),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Devon Square Orthodontics,0844 8151476,Devon Square Orthodontics,TQ12 2HH,Torquay & South Devon (TQ12),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,https://www.devonsquareorthodontics.co.uk,
Newton Abbot Dental Centre,01626 363114,Newton Abbot Dental Centre,TQ12 2HP,Torquay & South Devon (TQ12),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
St Paul's Dental Practice,01626 365896,St Paul's Dental Practice,TQ12 2HP,Torquay & South Devon (TQ12),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.stpaulsdentalpractice.co.uk,
Abbotsbury Dental Care,01626 352880,Abbotsbury Dental Care,TQ12 2LZ,Torquay & South Devon (TQ12),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Gestridge Dental Practice,01626 209980,Gestridge Dental Practice,TQ12 3EZ,Torquay & South Devon (TQ12),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Brunel Dental Access Centre,01392 822343,Brunel Dental Access Centre,TQ12 4XX,Torquay & South Devon (TQ12),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.devondental.nhs.uk,website unreachable
Brunel Dental Centre,01626 325920,Brunel Dental Centre,TQ12 4XX,Torquay & South Devon (TQ12),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
HMP Channings Wood,01803 814600,HMP Channings Wood,TQ12 6DW,Torquay & South Devon (TQ12),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
The Chudleigh Practice Limited,01626 853595,The Chudleigh Practice Limited,TQ13 0HT,Torquay & South Devon (TQ13),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.chudleighdental.com,
Devon Dental Centre of Excellence,01364 652253,Devon Dental Centre of Excellence,TQ13 7AX,Torquay & South Devon (TQ13),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Chagford Dental Practice,01647 432224,Chagford Dental Practice,TQ13 8AW,Torquay & South Devon (TQ13),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Moretonhampstead Dental Practice,01647 432224,Moretonhampstead Dental Practice,TQ13 8NQ,Torquay & South Devon (TQ13),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Bovey Dental Practice,01626 834241,Bovey Dental Practice,TQ13 9AD,Torquay & South Devon (TQ13),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Quality Dental Care,01626 833999,Quality Dental Care,TQ13 9AH,Torquay & South Devon (TQ13),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.quality-dental-care.co.uk,
