practice_name,also_known_as,address,postcode,area,phone,website,nhs_private,pms_detected,pms_confidence,pms_evidence,blast_segment,wisecall_tier,adg_corporate,adg_group,bda_good_practice,provider_name,source,notes
Penryn Dental Practice,,"Anchor Quay, Penryn",TR10 8GZ,Truro & Cornwall (TR10),01326 372298,https://www.penryndentalpractice.com/,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Penryn Dental Practice Partners,CQC directory (auto-downloaded),
Threemilestone Dental Practice,,"Pengelly Way, Threemilestone, Truro",TR3 6DP,Truro & Cornwall (TR3),01872 271463,https://www.threemilestone-dental.co.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Brendan Assibi & Romana Linkova,CQC directory (auto-downloaded),
Trafalgar House Dental Practice,,"Trafalgar House, Malpas Road, Truro",TR1 1QH,Truro & Cornwall (TR1),0754 0746865,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Clove Essence Limited,CQC directory (auto-downloaded),
Pure Dental Health,,"Perenn House, City Road, Truro",TR1 2JL,Truro & Cornwall (TR1),01872 222404,https://www.puredentalhealth.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,PDHT Limited,CQC directory (auto-downloaded),
Lemon Quay Dental Care,,"The Treatment Centre, Tinners Court,  Back Quay, Truro",TR1 2LL,Truro & Cornwall (TR1),01872 241955,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,The Treatment Centre Limited,CQC directory (auto-downloaded),
Truro Dental Care,,"37 Lemon Street, Truro",TR1 2NR,Truro & Cornwall (TR1),01872 272327,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Cybertrad Limited,CQC directory (auto-downloaded),
Truro Dental Health,,"46 Lemon Street, Truro",TR1 2NS,Truro & Cornwall (TR1),01872 272398,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,South West Oral Health Limited,CQC directory (auto-downloaded),
Lander Dentistry,Portman Healthcare Limited,"3 Upper Lemon Villas, Truro",TR1 2PD,Truro & Cornwall (TR1),01872 272777,https://www.landerdentistry.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Portman Healthcare Limited,CQC directory (auto-downloaded),
"Portman Smile Clinic, Truro",,"3 Calenick Street, Truro",TR1 2SF,Truro & Cornwall (TR1),01242 896369,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Portman Healthcare Limited,CQC directory (auto-downloaded),
Cathedral Dental Practice,,"Cathedral House, Wilkes Walk, Truro",TR1 2UE,Truro & Cornwall (TR1),01872 261999,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Cathedral House Partnership,CQC directory (auto-downloaded),
River Practice Limited,,"Castle Mews, 10 Castle Street, Truro",TR1 3AF,Truro & Cornwall (TR1),01872 242444,https://www.riverpractice.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,The River Practice Limited,CQC directory (auto-downloaded),
Ocean Dental,,"14 Edward Street, Truro",TR1 3AJ,Truro & Cornwall (TR1),01872 262767,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Ocean Dental Surgery Limited,CQC directory (auto-downloaded),
Dental Logic,,"5 Little Castle Street, Truro",TR1 3DL,Truro & Cornwall (TR1),0779 9594568,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,St Piran Dental Practice Ltd,CQC directory (auto-downloaded),
The Dental Hygiene Suite,,"14 Frances Street, Truro",TR1 3DN,Truro & Cornwall (TR1),01872 859948,https://www.thedentalhygienesuite.com,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,The Dental Hygiene Suite Ltd,CQC directory (auto-downloaded),
St George's Dental Practice,,"16 St George's Road, Truro",TR1 3JD,Truro & Cornwall (TR1),01872 274553,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr. Robert Pringle,CQC directory (auto-downloaded),
Oak House Dental Practice,,"13 St. George's Road, Truro",TR1 3JE,Truro & Cornwall (TR1),01872 222922,https://www.the-oak-house.com,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,Dr. Andrew Ridout,CQC directory (auto-downloaded),
Smileforlife Limited,,"32 Ferris Town, Truro",TR1 3JJ,Truro & Cornwall (TR1),01872 222255,https://www.smileforlifeltd.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Smile For Life Limited,CQC directory (auto-downloaded),
Truro Dental Educational Facility,,"The Knowledge Spa, Royal Cornwall Hospital, Truro",TR1 3LJ,Truro & Cornwall (TR1),01752 987959,https://www.plymouth.ac.uk/peninsula,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Peninsula Dental Social Enterprise CIC,CQC directory (auto-downloaded),
Waterside Dental Care,,"Waterside Court, Falmouth Road, Penryn",TR10 8AW,Truro & Cornwall (TR10),01326 378969,https://www.watersidedentalcare.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,Waterside Dentalhealthcare Limited,CQC directory (auto-downloaded),
Kimberley Park Dental Practice,,"29 Kimberley Park Road, Falmouth",TR11 2DA,Truro & Cornwall (TR11),01326 312264,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Kimberley Park Dental Practice,CQC directory (auto-downloaded),
The Observatory Dental Practice,,"27 Western Terrace, Falmouth",TR11 4QL,Truro & Cornwall (TR11),01326 761555,https://www.observatorydental.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Paterson Dental Care Limited,CQC directory (auto-downloaded),
Gentle Dental (Mylor Bridge),,"Passage Hill, Mylor Bridge, Falmouth",TR11 5SN,Truro & Cornwall (TR11),01326 376111,https://www.gentledental.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Gentle Dental UK Limited,CQC directory (auto-downloaded),
Meneage Dental,,"41A Meneage Street, Helston",TR13 8RB,Truro & Cornwall (TR13),01326 574006,https://www.meneagedental.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Meneage Dental Care Limited,CQC directory (auto-downloaded),
Angel Dental Clinic,,"Angel Centre, Tyacke Road, Helston",TR13 8RR,Truro & Cornwall (TR13),01326 560730,https://www.angeldental.org,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr. Mark Retallack,CQC directory (auto-downloaded),
Camborne Dental Practice,,"22 Chapel Street, Camborne",TR14 8ED,Truro & Cornwall (TR14),01209 611832,https://www.cambornedentalpractice.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr Stephen Hamilton,CQC directory (auto-downloaded),
Mr Stephen Pace - Chapel Dental,,"5 Chapel Street, Camborne",TR14 8EF,Truro & Cornwall (TR14),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr. Stephen Pace,CQC directory (auto-downloaded),
White Rose Dental Practice,,"15-17 Commercial Street, Camborne",TR14 8JZ,Truro & Cornwall (TR14),01209 613355,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,White Rose Dental Practice Ltd,CQC directory (auto-downloaded),
Penzance Dental,,"81-82 Market Jew Street, Penzance",TR18 2LG,Truro & Cornwall (TR18),01736 363925,https://www.penzancedental.com,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr. Stephen Pace,CQC directory (auto-downloaded),
River Practice at The Bay,,"12 Alverton Terrace, Penzance",TR18 4JH,Truro & Cornwall (TR18),01872 242444,https://www.riverpractice.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,The River Practice Limited,CQC directory (auto-downloaded),
