name,phone,company,postcode,area,pms,segment,tier,adg_corporate,adg_group,bda_good_practice,website,notes
Trafalgar House Dental Practice,0754 0746865,Trafalgar House Dental Practice,TR1 1QH,Truro & Cornwall (TR1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Pure Dental Health,01872 222404,Pure Dental Health,TR1 2JL,Truro & Cornwall (TR1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.puredentalhealth.co.uk,
Lemon Quay Dental Care,01872 241955,Lemon Quay Dental Care,TR1 2LL,Truro & Cornwall (TR1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Truro Dental Care,01872 272327,Truro Dental Care,TR1 2NR,Truro & Cornwall (TR1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Truro Dental Health,01872 272398,Truro Dental Health,TR1 2NS,Truro & Cornwall (TR1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Lander Dentistry,01872 272777,Lander Dentistry,TR1 2PD,Truro & Cornwall (TR1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.landerdentistry.co.uk,
"Portman Smile Clinic, Truro",01242 896369,"Portman Smile Clinic, Truro",TR1 2SF,Truro & Cornwall (TR1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Cathedral Dental Practice,01872 261999,Cathedral Dental Practice,TR1 2UE,Truro & Cornwall (TR1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
River Practice Limited,01872 242444,River Practice Limited,TR1 3AF,Truro & Cornwall (TR1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.riverpractice.co.uk,
Ocean Dental,01872 262767,Ocean Dental,TR1 3AJ,Truro & Cornwall (TR1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Dental Logic,0779 9594568,Dental Logic,TR1 3DL,Truro & Cornwall (TR1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
The Dental Hygiene Suite,01872 859948,The Dental Hygiene Suite,TR1 3DN,Truro & Cornwall (TR1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.thedentalhygienesuite.com,
St George's Dental Practice,01872 274553,St George's Dental Practice,TR1 3JD,Truro & Cornwall (TR1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Oak House Dental Practice,01872 222922,Oak House Dental Practice,TR1 3JE,Truro & Cornwall (TR1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,https://www.the-oak-house.com,
Smileforlife Limited,01872 222255,Smileforlife Limited,TR1 3JJ,Truro & Cornwall (TR1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.smileforlifeltd.co.uk,
