practice_name,also_known_as,address,postcode,area,phone,website,nhs_private,pms_detected,pms_confidence,pms_evidence,blast_segment,wisecall_tier,adg_corporate,adg_group,bda_good_practice,provider_name,source,notes
I-Teeth Dental Care,,"16 Newton Road, Tunbridge Wells",TN1 1RU,Tunbridge Wells & Kent (TN1),01892 616062,https://www.i-teeth.co.uk,Unknown,Dentally,high,Dentally:dentr.net,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,I-Teeth Limited,CQC directory (auto-downloaded),
JR Dental Practice,,"3 Tubs Hill Parade, London Road, Sevenoaks",TN13 1DH,Tunbridge Wells & Kent (TN13),01732 461616,https://www.jrdental.co.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Mr. Jayesh Ruparelia,CQC directory (auto-downloaded),
Wye Dental Surgery,,"Little Chequers, Wye",TN25 5DX,Tunbridge Wells & Kent (TN25),01233 812281,https://www.wyedentist.co.uk,Unknown,Dentally,high,Dentally:dentr.net,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Thornacre Lodge Ltd,CQC directory (auto-downloaded),
Orchard House Dental Practice,OH Dental Ltd,"6 Kings Road, Headcorn, Ashford",TN27 9QU,Tunbridge Wells & Kent (TN27),01622 890574,https://www.ohdental.co.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,Yes,OH Dental Ltd,CQC directory (auto-downloaded),
Corner House Dental Practice,,"47 High Street, Battle",TN33 0EE,Tunbridge Wells & Kent (TN33),01424 777003,https://www.cornerhousebattle.com,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Mr Mandeep Singh Chabra,CQC directory (auto-downloaded),
The Dental Box,,"145 London Road, Southborough, Tunbridge Wells",TN4 0NA,Tunbridge Wells & Kent (TN4),01892 254879,https://www.thedentalbox.co.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,The Dental Box Limited,CQC directory (auto-downloaded),
Bower Dental Practice,,"15 Lime Hill Road, Tunbridge Wells",TN1 1LJ,Tunbridge Wells & Kent (TN1),01892 525541,https://www.bowerdentalpractice.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr. David Bower,CQC directory (auto-downloaded),
Centre for Aesthetic Periodontics & Implantology,,"8 Lonsdale Gardens, Tunbridge Wells",TN1 1NU,Tunbridge Wells & Kent (TN1),01892 617467,https://www.periodonticsandimplants.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dentex Clinical Limited,CQC directory (auto-downloaded),
iSmile Dental Practice,,"1 The Lodge, Mount Pleasant Avenue, Tunbridge Wells",TN1 1QY,Tunbridge Wells & Kent (TN1),01892 547286,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr Simon Azimi Fard,CQC directory (auto-downloaded),
78 MPR,,"78-80, Mount Pleasant Road, Tunbridge Wells",TN1 1RJ,Tunbridge Wells & Kent (TN1),02076 313276,https://www.78mountpleasantroad.com,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,76 Harley Street Limited,CQC directory (auto-downloaded),
