name,phone,company,postcode,area,pms,segment,tier,adg_corporate,adg_group,bda_good_practice,website,notes
I-Teeth Dental Care,01892 616062,I-Teeth Dental Care,TN1 1RU,Tunbridge Wells & Kent (TN1),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.i-teeth.co.uk,
JR Dental Practice,01732 461616,JR Dental Practice,TN13 1DH,Tunbridge Wells & Kent (TN13),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.jrdental.co.uk,
The Dental Box,01892 254879,The Dental Box,TN4 0NA,Tunbridge Wells & Kent (TN4),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.thedentalbox.co.uk,
Bower Dental Practice,01892 525541,Bower Dental Practice,TN1 1LJ,Tunbridge Wells & Kent (TN1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.bowerdentalpractice.co.uk,
Centre for Aesthetic Periodontics & Implantology,01892 617467,Centre for Aesthetic Periodontics & Implantology,TN1 1NU,Tunbridge Wells & Kent (TN1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.periodonticsandimplants.co.uk,
iSmile Dental Practice,01892 547286,iSmile Dental Practice,TN1 1QY,Tunbridge Wells & Kent (TN1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
78 MPR,02076 313276,78 MPR,TN1 1RJ,Tunbridge Wells & Kent (TN1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.78mountpleasantroad.com,
Calverley Dental Practice,0750 5914168,Calverley Dental Practice,TN1 2BJ,Tunbridge Wells & Kent (TN1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Xeon Smiles Limited UK - Grosvenor House Tunbridge Wells,01892 542226,Xeon Smiles Limited UK - Grosvenor House Tunbridge Wells,TN1 2DU,Tunbridge Wells & Kent (TN1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.bupadentalcare.co.uk,website unreachable
Art Dental Care,0747 5541011,Art Dental Care,TN1 2UY,Tunbridge Wells & Kent (TN1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Forge House Dental Practice,01580 892509,Forge House Dental Practice,TN12 0AH,Tunbridge Wells & Kent (TN12),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
The Bower Dental Practice,01580 891349,The Bower Dental Practice,TN12 0BL,Tunbridge Wells & Kent (TN12),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Beaconsfield Dental Practice - Staplehurst,01580 895820,Beaconsfield Dental Practice - Staplehurst,TN12 0LB,Tunbridge Wells & Kent (TN12),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.caringdentists.co.uk,
Staplehurst Dental Practice,01580 891680,Staplehurst Dental Practice,TN12 0QE,Tunbridge Wells & Kent (TN12),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.staplehurstdentalpractice.co.uk,
Aycliffe Dental Practice,01892 833926,Aycliffe Dental Practice,TN12 6DG,Tunbridge Wells & Kent (TN12),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,https://www.aycliffedentistry.com,
Brenchley Dental,0772 9286303,Brenchley Dental,TN12 7NY,Tunbridge Wells & Kent (TN12),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Marden Dental and Implant Centre,01622 831556,Marden Dental and Implant Centre,TN12 9HR,Tunbridge Wells & Kent (TN12),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.bupa.co.uk/dental/dental-care/practices/marden,website unreachable
McKenzies Dental Surgery,01732 455191,McKenzies Dental Surgery,TN13 1AH,Tunbridge Wells & Kent (TN13),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Neo Orthodontics Sevenoaks,01732 435123,Neo Orthodontics Sevenoaks,TN13 1AR,Tunbridge Wells & Kent (TN13),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Atkinson Brignall Caring Dentistry,01732 459222,Atkinson Brignall Caring Dentistry,TN13 1AS,Tunbridge Wells & Kent (TN13),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Total Orthodontics Sevenoaks,01732 460966,Total Orthodontics Sevenoaks,TN13 1DF,Tunbridge Wells & Kent (TN13),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.totalorthodontics.co.uk,website unreachable
Lifetime Dental Studio,0772 0632299,Lifetime Dental Studio,TN13 1HJ,Tunbridge Wells & Kent (TN13),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Pearl Dental Care Sevenoaks,01732 453214,Pearl Dental Care Sevenoaks,TN13 1HJ,Tunbridge Wells & Kent (TN13),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
7Oaks Clinic,01732 902727,7Oaks Clinic,TN13 1JF,Tunbridge Wells & Kent (TN13),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Sevenoaks Dental and Implant Centre,01732 600111,Sevenoaks Dental and Implant Centre,TN13 1XA,Tunbridge Wells & Kent (TN13),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.sevenoaks-dental.co.uk,
Riverhead Dental Practice,01732 779192,Riverhead Dental Practice,TN13 2DA,Tunbridge Wells & Kent (TN13),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.riverheaddental.co.uk,website unreachable
Smileology Dental and Implant Centre,01732 252521,Smileology Dental and Implant Centre,TN13 2DA,Tunbridge Wells & Kent (TN13),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Sevenoaks Dental & Wellbeing,01732 464686,Sevenoaks Dental & Wellbeing,TN13 2UP,Tunbridge Wells & Kent (TN13),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Eustace and Partners,173245233,Eustace and Partners,TN13 3TQ,Tunbridge Wells & Kent (TN13),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Uckfield Dental Surgery,01825 763434,Uckfield Dental Surgery,TN22 1AY,Tunbridge Wells & Kent (TN22),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Total Orthodontics Uckfield,01825 762332,Total Orthodontics Uckfield,TN22 1EH,Tunbridge Wells & Kent (TN22),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.totalorthodontics.co.uk,website unreachable
Uckfield Community Hospital,01825 769999,Uckfield Community Hospital,TN22 5AW,Tunbridge Wells & Kent (TN22),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.esht.nhs.uk,
The Hollies Dental,01825 763089,The Hollies Dental,TN22 5DE,Tunbridge Wells & Kent (TN22),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
The Lodge Dental Practice,01825 763773,The Lodge Dental Practice,TN22 5DE,Tunbridge Wells & Kent (TN22),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
Pennypot Dental Practice,01233 620565,Pennypot Dental Practice,TN23 1FB,Tunbridge Wells & Kent (TN23),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Aligndent Limited,01233 610387,Aligndent Limited,TN23 1JJ,Tunbridge Wells & Kent (TN23),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.orthodonticsashford.co.uk,
Ashford Dental Care - Practice,01233 639289,Ashford Dental Care - Practice,TN23 1JJ,Tunbridge Wells & Kent (TN23),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.ashforddental.co.uk,
Sunnyside Dental Practice,01233 625513,Sunnyside Dental Practice,TN23 1NN,Tunbridge Wells & Kent (TN23),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Ashford Periodontics,01233 635179,Ashford Periodontics,TN23 1PD,Tunbridge Wells & Kent (TN23),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Jade Dental Practice,01233 632228,Jade Dental Practice,TN23 3JJ,Tunbridge Wells & Kent (TN23),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.jadedental.co.uk,
Repton Dental Studio,01233 228822,Repton Dental Studio,TN23 3TE,Tunbridge Wells & Kent (TN23),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.reptondentalstudio.co.uk,
Beaconsfield Dental Practice - Ashford,01233 614336,Beaconsfield Dental Practice - Ashford,TN23 5AQ,Tunbridge Wells & Kent (TN23),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.caringdentists.co.uk,
Singleton Dental Practice,01233 629516,Singleton Dental Practice,TN23 5GR,Tunbridge Wells & Kent (TN23),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.ashforddentists.com,
Beaconsfield Dental Practice,0796 8174135,Beaconsfield Dental Practice,TN23 7SG,Tunbridge Wells & Kent (TN23),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Oradent - Ashford,01233 620359,Oradent - Ashford,TN23 7SG,Tunbridge Wells & Kent (TN23),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Oradent Kent Limited,01233 620359,Oradent Kent Limited,TN23 7SG,Tunbridge Wells & Kent (TN23),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Romney House Dental Practice,01233 622598,Romney House Dental Practice,TN24 0RW,Tunbridge Wells & Kent (TN24),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Wolseley Place Dental Practice,01233 632785,Wolseley Place Dental Practice,TN24 8UL,Tunbridge Wells & Kent (TN24),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Chopra & Associates Ashford,01233 637018,Chopra & Associates Ashford,TN24 9AF,Tunbridge Wells & Kent (TN24),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,https://www.chopradental.com,
Ashkan Pitchforth and Manar Elalami,0844 3879788,Ashkan Pitchforth and Manar Elalami,TN34 1BA,Tunbridge Wells & Kent (TN34),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Neo Orthodontics Hastings,01424 395123,Neo Orthodontics Hastings,TN34 1HL,Tunbridge Wells & Kent (TN34),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.neo-orthodontics.com,website unreachable
Portman Smile Clinic Hastings,01424 395123,Portman Smile Clinic Hastings,TN34 1HL,Tunbridge Wells & Kent (TN34),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
A.G.Smiles Dentistry & Aesthetics,0792 3361418,A.G.Smiles Dentistry & Aesthetics,TN34 1JG,Tunbridge Wells & Kent (TN34),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
White Rock Dental,01424 420049,White Rock Dental,TN34 1JY,Tunbridge Wells & Kent (TN34),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
David Neal Dental Hastings,01424 434433,David Neal Dental Hastings,TN34 1QY,Tunbridge Wells & Kent (TN34),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
David Neal Hastings Ltd,01424 434433,David Neal Hastings Ltd,TN34 1QY,Tunbridge Wells & Kent (TN34),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Lyndhurst Dental Practice Limited,01424 421123,Lyndhurst Dental Practice Limited,TN34 2LG,Tunbridge Wells & Kent (TN34),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Hastings Implant and Aesthetics Centre,01424 427918,Hastings Implant and Aesthetics Centre,TN34 3AA,Tunbridge Wells & Kent (TN34),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.hastingsimplants.co.uk,
St George's Road Dental Practice,01424 441439,St George's Road Dental Practice,TN34 3NE,Tunbridge Wells & Kent (TN34),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Priory Road Dental Surgery,01424 434655,Priory Road Dental Surgery,TN34 3NW,Tunbridge Wells & Kent (TN34),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Warrior Square Dental Practice,01424 423033,Warrior Square Dental Practice,TN37 6BS,Tunbridge Wells & Kent (TN37),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Chapel Park Dental Practice,01424 433666,Chapel Park Dental Practice,TN37 6JB,Tunbridge Wells & Kent (TN37),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
