practice_name,also_known_as,address,postcode,area,phone,website,nhs_private,pms_detected,pms_confidence,pms_evidence,blast_segment,wisecall_tier,adg_corporate,adg_group,bda_good_practice,provider_name,source,notes
Perfect Smile Ham,,"50 Ashburnham Road, Richmond",TW10 7NF,Twickenham & Heathrow (TW10),02089 484085,https://www.perfectsmile-dental.com,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Perfect Smile Surgery Limited,CQC directory (auto-downloaded),
Aromaden Teddington,,"24 High Street, Teddington",TW11 8EW,Twickenham & Heathrow (TW11),02089 777123,https://www.aromaden.co.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Aromaden Limited,CQC directory (auto-downloaded),
Dental Beauty Feltham,,"229 Hounslow Road, Hanworth, Feltham",TW13 6AD,Twickenham & Heathrow (TW13),02088 946591,https://www.tooth-kind.co.uk,Unknown,Dentally,high,Dentally:dentr.net,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Dental Beauty Feltham Ltd,CQC directory (auto-downloaded),
SK Dental Practice Limited,,"200 Hampton Road West, Hanworth, Feltham",TW13 6BG,Twickenham & Heathrow (TW13),02088 945363,https://www.apexdentalsurgery.com,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,SK Dental Practice Limited,CQC directory (auto-downloaded),
Dental House,,"239 Staines Road West, Sunbury-on-thames",TW16 7BH,Twickenham & Heathrow (TW16),01932 239076,https://www.dental-house.co.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Dental House Sunbury Limited,CQC directory (auto-downloaded),
Perfect Smile Richmond,,"25-27 Kew Road, Richmond",TW9 2NQ,Twickenham & Heathrow (TW9),02089 405006,https://www.perfectsmile-dental.com,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Perfect Smile Surgery Limited,CQC directory (auto-downloaded),
St Margaret's Dental Practice,,"161 St. Margarets Road, Twickenham",TW1 1RD,Twickenham & Heathrow (TW1),02039 040230,https://www.stmargaretsdental.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,St Margarets Dental Ltd,CQC directory (auto-downloaded),
St Margarets Smiles,,"165 St. Margarets Road, Twickenham",TW1 1RD,Twickenham & Heathrow (TW1),02087 449922,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,TW1PRAC Ltd,CQC directory (auto-downloaded),
TW1PRAC Ltd T/A St Margarets Smiles,,"165 St. Margarets Road, Twickenham",TW1 1RD,Twickenham & Heathrow (TW1),02087 449922,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,TW1PRAC Ltd T/A St Margarets Smiles,CQC directory (auto-downloaded),
Smile & Smile at Toothbeary,,"358a Richmond Road, Twickenham",TW1 2DU,Twickenham & Heathrow (TW1),02088 316870,https://www.smileandsmile.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,SSDAS Limited,CQC directory (auto-downloaded),
Toothbeary,,"358A Richmond Road, Twickenham",TW1 2DU,Twickenham & Heathrow (TW1),02088 316870,https://www.toothbeary.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Care4MilkTeeth Limited,CQC directory (auto-downloaded),
Bridge Dental Centre,,"402 Richmond Road, East Twickenham",TW1 2EB,Twickenham & Heathrow (TW1),02087 441444,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Bridge Dental Centre Limited,CQC directory (auto-downloaded),
Perio & Implant Dental Referral Centre,,"351 Richmond Road, Twickenham",TW1 2ER,Twickenham & Heathrow (TW1),02045 098000,https://www.perionimplant.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr Yeow Chong Lim,CQC directory (auto-downloaded),
Root Canal Dental Referral Centre,,"351 Richmond Road, Twickenham",TW1 2ER,Twickenham & Heathrow (TW1),02080 500351,https://www.rootcanalcentre.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr Nicolai Orsteen,CQC directory (auto-downloaded),
Lebanon Park Dental Group,,"74 Richmond Road, Twickenham",TW1 3BE,Twickenham & Heathrow (TW1),02088 923803,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,A.R.M Dental Ltd,CQC directory (auto-downloaded),
Claremont Dental Practice,,"57 Crown Road, Twickenham",TW1 3EJ,Twickenham & Heathrow (TW1),02088 924000,https://www.claremontdentalpractice.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Claremont Dental Practice,CQC directory (auto-downloaded),
Twickenham Smiles,,"11 York Street, Twickenham",TW1 3JZ,Twickenham & Heathrow (TW1),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Twickenham Smiles Ltd,CQC directory (auto-downloaded),
W Dental,,"46-48, London Road, Twickenham",TW1 3RJ,Twickenham & Heathrow (TW1),0789 6911473,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,W Dental Ltd,CQC directory (auto-downloaded),
Richmond Dental Suite - Twickenham,,"29-31 Heath Road, Twickenham",TW1 4AW,Twickenham & Heathrow (TW1),02037 143618,https://www.richmonddentalsuite.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr Antimos Ouzounoglou,CQC directory (auto-downloaded),
Refresh Dental Health,,"157 Heath Road, Twickenham",TW1 4BH,Twickenham & Heathrow (TW1),0777 6223632,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr Olumide Jonathan Temitope Ojo,CQC directory (auto-downloaded),
Twickenham Dental Care,,"90 Heath Road, Twickenham",TW1 4BW,Twickenham & Heathrow (TW1),02087 441944,https://www.twickenhamdentalcare.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Twickenham Dental Care Limited,CQC directory (auto-downloaded),
