name,phone,company,postcode,area,pms,segment,tier,adg_corporate,adg_group,bda_good_practice,website,notes
Perfect Smile Ham,02089 484085,Perfect Smile Ham,TW10 7NF,Twickenham & Heathrow (TW10),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.perfectsmile-dental.com,
Aromaden Teddington,02089 777123,Aromaden Teddington,TW11 8EW,Twickenham & Heathrow (TW11),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.aromaden.co.uk,
Dental Beauty Feltham,02088 946591,Dental Beauty Feltham,TW13 6AD,Twickenham & Heathrow (TW13),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.tooth-kind.co.uk,
SK Dental Practice Limited,02088 945363,SK Dental Practice Limited,TW13 6BG,Twickenham & Heathrow (TW13),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.apexdentalsurgery.com,
Perfect Smile Richmond,02089 405006,Perfect Smile Richmond,TW9 2NQ,Twickenham & Heathrow (TW9),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.perfectsmile-dental.com,
St Margaret's Dental Practice,02039 040230,St Margaret's Dental Practice,TW1 1RD,Twickenham & Heathrow (TW1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.stmargaretsdental.co.uk,
St Margarets Smiles,02087 449922,St Margarets Smiles,TW1 1RD,Twickenham & Heathrow (TW1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
TW1PRAC Ltd T/A St Margarets Smiles,02087 449922,TW1PRAC Ltd T/A St Margarets Smiles,TW1 1RD,Twickenham & Heathrow (TW1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Smile & Smile at Toothbeary,02088 316870,Smile & Smile at Toothbeary,TW1 2DU,Twickenham & Heathrow (TW1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.smileandsmile.co.uk,
Toothbeary,02088 316870,Toothbeary,TW1 2DU,Twickenham & Heathrow (TW1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.toothbeary.co.uk,
Bridge Dental Centre,02087 441444,Bridge Dental Centre,TW1 2EB,Twickenham & Heathrow (TW1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Perio & Implant Dental Referral Centre,02045 098000,Perio & Implant Dental Referral Centre,TW1 2ER,Twickenham & Heathrow (TW1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.perionimplant.co.uk,
Root Canal Dental Referral Centre,02080 500351,Root Canal Dental Referral Centre,TW1 2ER,Twickenham & Heathrow (TW1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.rootcanalcentre.co.uk,
Lebanon Park Dental Group,02088 923803,Lebanon Park Dental Group,TW1 3BE,Twickenham & Heathrow (TW1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Claremont Dental Practice,02088 924000,Claremont Dental Practice,TW1 3EJ,Twickenham & Heathrow (TW1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.claremontdentalpractice.co.uk,
W Dental,0789 6911473,W Dental,TW1 3RJ,Twickenham & Heathrow (TW1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
