practice_name,also_known_as,address,postcode,area,phone,website,nhs_private,pms_detected,pms_confidence,pms_evidence,blast_segment,wisecall_tier,adg_corporate,adg_group,bda_good_practice,provider_name,source,notes
Poldent Dental Care,,"6 Rishworth Street, Wakefield",WF1 3BY,Wakefield (WF1),01924 387792,https://www.poldent.co.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Poldent Limited,CQC directory (auto-downloaded),
Eclipse (Batley) Limited,,"27 Branch Road, Batley",WF17 5SB,Wakefield (WF17),01924 473396,https://www.eclipsedentalcare.co.uk,Unknown,Dentally,high,Dentally:dentr.net,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Eclipse (Batley) Ltd,CQC directory (auto-downloaded),
The Dental Studio - East Ardsley,,"120 Bradford Road, East Ardsley, Wakefield",WF3 2JL,Wakefield (WF3),01924 822097,https://www.the-dentalstudio.co.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Dr Martina Vivienne  Hodgson,CQC directory (auto-downloaded),
Horbury Dental Care,,"Vincent House, Queen Street,  Horbury, Wakefield",WF4 6LP,Wakefield (WF4),01924 211234,https://www.horburydentalcare.co.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Horbury Dental Care Limited,CQC directory (auto-downloaded),
Pontefract Dental Care,,"18 Beastfair, Pontefract",WF8 1AW,Wakefield (WF8),01977 780077,https://www.pontefractdentalcare.co.uk,Unknown,Dentally,high,Dentally:dentr.net,Dentally confirmed,Tier 1 - Dentally integration ready,No,,Yes,Ellis Dental Practice Limited,CQC directory (auto-downloaded),
Market Dental Practice,,"Barnsley Road, South Elmsall, Pontefract",WF9 2SE,Wakefield (WF9),01977 641616,https://www.marketdentalcare.co.uk,Unknown,Dentally,high,Dentally:dentr.net,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Mrs Fiona Yvonne Martin,CQC directory (auto-downloaded),
Northgate Dental,,"15 Northgate, Wakefield",WF1 1HD,Wakefield (WF1),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,UI Associates Limited,CQC directory (auto-downloaded),
Total Orthodontics Wakefield,,"7-13 Queen Street, Wakefield",WF1 1JR,Wakefield (WF1),01924 362593,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Oasis Dental Care Limited,CQC directory (auto-downloaded),
Yorkshire Dental Suite Wakefield,,"12 Westgate, Wakefield",WF1 1JY,Wakefield (WF1),01924 601745,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr Abdulbaset Dalghous,CQC directory (auto-downloaded),
Outwood Dental Care,,"569 Leeds Road, Wakefield",WF1 2JL,Wakefield (WF1),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,Outwood Dental Practice LLP,CQC directory (auto-downloaded),
Outwood Dental Practice,,"569 Leeds Road, Wakefield",WF1 2JL,Wakefield (WF1),01942 827854,https://www.outwooddentalcare.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Outwood Dental Practice Partnership,CQC directory (auto-downloaded),
Newstead House,,"11 Bond Street, Wakefield",WF1 2QJ,Wakefield (WF1),,https://www.midyorks.nhs.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mid Yorkshire Teaching NHS Trust,CQC directory (auto-downloaded),
