name,phone,company,postcode,area,pms,segment,tier,adg_corporate,adg_group,bda_good_practice,website,notes
Total Orthodontics Wakefield,01924 362593,Total Orthodontics Wakefield,WF1 1JR,Wakefield (WF1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Yorkshire Dental Suite Wakefield,01924 601745,Yorkshire Dental Suite Wakefield,WF1 1JY,Wakefield (WF1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Outwood Dental Practice,01942 827854,Outwood Dental Practice,WF1 2JL,Wakefield (WF1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.outwooddentalcare.co.uk,
Wakefield Urgent Dental Centre,01217 728886,Wakefield Urgent Dental Centre,WF1 2QP,Wakefield (WF1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Citrine House,01924 374092,Citrine House,WF1 3AZ,Wakefield (WF1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.toveylittle.co.uk,
Trinity House Orthodontics,01924 369696,Trinity House Orthodontics,WF1 3AZ,Wakefield (WF1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
"Wrenthorpe Dental Care, 18 Rishworth Street",01924 369412,"Wrenthorpe Dental Care, 18 Rishworth Street",WF1 3BY,Wakefield (WF1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.wrenthorpedentalcare.co.uk,
Smile Design Studio,01924 962959,Smile Design Studio,WF1 3JU,Wakefield (WF1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
The Mount Dental Practice,01924 386732,The Mount Dental Practice,WF1 4DU,Wakefield (WF1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Trinity House Orthodontics Wakefield,01924 369696,Trinity House Orthodontics Wakefield,WF1 4DU,Wakefield (WF1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.trinityhouse-orthodontics.co.uk/,
Armstrong & Haire Limited,01977 552670,Armstrong & Haire Limited,WF10 1JD,Wakefield (WF10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Airedale Dental Practice,01977 603537,Airedale Dental Practice,WF10 3JJ,Wakefield (WF10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Thornhill Dental Surgery,01924 464077,Thornhill Dental Surgery,WF12 0QR,Wakefield (WF12),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
My home Dentist,0738 9856400,My home Dentist,WF12 9HH,Wakefield (WF12),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Dewsbury Dental Care,01924 457999,Dewsbury Dental Care,WF12 9PJ,Wakefield (WF12),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Church Street Dental Surgery,01924 465846,Church Street Dental Surgery,WF13 1LB,Wakefield (WF13),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.bakerandrigby.co.uk,website unreachable
Trinity House Orthodontics Dewsbury,01924 369696,Trinity House Orthodontics Dewsbury,WF13 1NH,Wakefield (WF13),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Saltaire Orthodontics,01274 531567,Saltaire Orthodontics,WF13 2HD,Wakefield (WF13),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Batley Carr Dental Centre,01924 458983,Batley Carr Dental Centre,WF13 2HQ,Wakefield (WF13),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Dewsbury Dental centre,01924 465880,Dewsbury Dental centre,WF13 2JH,Wakefield (WF13),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Dental Care Centre,01924 493181,Dental Care Centre,WF14 0HW,Wakefield (WF14),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Wood Dental Limited,01924 499171,Wood Dental Limited,WF14 8AF,Wakefield (WF14),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Mirfield Dental Centre,0797 0707287,Mirfield Dental Centre,WF14 8AZ,Wakefield (WF14),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Junction Dental Practice,01924 402589,Junction Dental Practice,WF16 0DY,Wakefield (WF16),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
Kirklees Dental Centre,01924 402230,Kirklees Dental Centre,WF16 0JU,Wakefield (WF16),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Batley Health Centre,01924 351555,Batley Health Centre,WF17 5ED,Wakefield (WF17),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Hick Lane Dental Surgery Ltd,01924 474929,Hick Lane Dental Surgery Ltd,WF17 5TD,Wakefield (WF17),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Mount Dental Surgery - Batley,01924 521001,Mount Dental Surgery - Batley,WF17 7QF,Wakefield (WF17),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
High Street Dental Practice,01924 441630,High Street Dental Practice,WF17 9ES,Wakefield (WF17),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
New Brooklyn Dental Centre,01924 477777,New Brooklyn Dental Centre,WF17 9PX,Wakefield (WF17),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Wrenthorpe Health Centre,01924 362913,Wrenthorpe Health Centre,WF2 0NL,Wakefield (WF2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.wrenthorpedentalcare.co.uk,
Advance Dental Clinic Ltd,01924 255412,Advance Dental Clinic Ltd,WF2 6BA,Wakefield (WF2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
HMP Wakefield,01158 590690,HMP Wakefield,WF2 9AG,Wakefield (WF2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
St Michael's Dental Practice,0798 0932024,St Michael's Dental Practice,WF2 9BQ,Wakefield (WF2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
St Michaels Orthodontics,01924 380680,St Michaels Orthodontics,WF2 9BQ,Wakefield (WF2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
