practice_name,also_known_as,address,postcode,area,phone,website,nhs_private,pms_detected,pms_confidence,pms_evidence,blast_segment,wisecall_tier,adg_corporate,adg_group,bda_good_practice,provider_name,source,notes
Clifton Dental Practice,,"Clifton Dental Practice 67 Clifton Terrace, Newtown",SY16 1BG,Powys border (SY) (SY16),01686 626252,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,"NHS, Private/Independent",Wales HIW service directory,
St Giles Dental,,"3 St Giles Business Park, Pool Road, Newtown",SY16 3AJ,Powys border (SY) (SY16),01686 628282,,Private,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Private/Independent,Wales HIW service directory,
Llanidloes Dental Practice,,"7 & 8 Valentine Court, Llanidloes",SY18 6QP,Powys border (SY) (SY18),01686 413679,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,"NHS, Private/Independent",Wales HIW service directory,
Llys Einion Dental Surgery,,"Llys Einion Dental Practice 60 Heol Maengwyn, Machynlleth",SY20 8DY,Powys border (SY) (SY20),01654 700022,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,"NHS, Private/Independent",Wales HIW service directory,
Deri Dental Practice,,"Old Bank House Bridge Street, Llanfair Caereinion",SY21 0RZ,Powys border (SY) (SY21),01938 811055,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,NHS,Wales HIW service directory,
Llanfyllin Dental Practice,,"Llansantffraid, Powys",SY22 6AU,Powys border (SY) (SY22),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,"NHS, Private/Independent",Wales HIW service directory,
Eastgate Dental Surgery,,"29 Eastgate Street, Aberystwyth",SY23 2AR,Powys border (SY) (SY23),01970 612457,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,"NHS, Private/Independent",Wales HIW service directory,
Portland Street Dental Practice,,"23 Portland Street, Aberystwyth",SY23 2DX,Powys border (SY) (SY23),01970 612581,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,"NHS, Private/Independent",Wales HIW service directory,
"MyDentist – Advanced Oral Health Centre, New Road, Newtown",,"Severnside Dental Spa, New Road, Newtown",SY16 1BD,Powys border (SY) (SY16),01686 624664,,NHS,,,,Unknown PMS - manual check,Tier 4 - ADG corporate group (lower priority),Yes,mydentist,No,"NHS, Private/Independent",Wales HIW service directory,
"MyDentist – Trosely House, Newtown",,"65 Clifton Terrace, Newtown",SY16 1BG,Powys border (SY) (SY16),01686 624344,,NHS,,,,Unknown PMS - manual check,Tier 4 - ADG corporate group (lower priority),Yes,mydentist,No,"NHS, Private/Independent",Wales HIW service directory,
MyDentist – Machynlleth,,"The Health Centre Forge Road, Machynlleth",SY20 8EQ,Powys border (SY) (SY20),01654 702753,,NHS,,,,Unknown PMS - manual check,Tier 4 - ADG corporate group (lower priority),Yes,mydentist,No,NHS,Wales HIW service directory,
"MyDentist – Severn Street, Welshpool",,"22 Severn Street, Welshpool",SY21 7AD,Powys border (SY) (SY21),01938 552222,,NHS,,,,Unknown PMS - manual check,Tier 4 - ADG corporate group (lower priority),Yes,mydentist,No,"NHS, Private/Independent",Wales HIW service directory,
MyDentist – Friars Dental Clinic,,"Park Avenue, Aberystwyth",SY23 1PB,Powys border (SY) (SY23),01970 623369,,NHS,,,,Unknown PMS - manual check,Tier 4 - ADG corporate group (lower priority),Yes,mydentist,No,"NHS, Private/Independent",Wales HIW service directory,
MyDentist – North Parade,,"61 North Parade, Aberystwyth",SY23 2JN,Powys border (SY) (SY23),01970 612266,,NHS,,,,Unknown PMS - manual check,Tier 4 - ADG corporate group (lower priority),Yes,mydentist,No,"NHS, Private/Independent",Wales HIW service directory,
