name,phone,company,postcode,area,pms,segment,tier,adg_corporate,adg_group,bda_good_practice,website,notes
Clifton Dental Practice,01686 626252,Clifton Dental Practice,SY16 1BG,Powys border (SY) (SY16),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
St Giles Dental,01686 628282,St Giles Dental,SY16 3AJ,Powys border (SY) (SY16),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Llanidloes Dental Practice,01686 413679,Llanidloes Dental Practice,SY18 6QP,Powys border (SY) (SY18),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Llys Einion Dental Surgery,01654 700022,Llys Einion Dental Surgery,SY20 8DY,Powys border (SY) (SY20),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Deri Dental Practice,01938 811055,Deri Dental Practice,SY21 0RZ,Powys border (SY) (SY21),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Eastgate Dental Surgery,01970 612457,Eastgate Dental Surgery,SY23 2AR,Powys border (SY) (SY23),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
Portland Street Dental Practice,01970 612581,Portland Street Dental Practice,SY23 2DX,Powys border (SY) (SY23),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
"MyDentist – Advanced Oral Health Centre, New Road, Newtown",01686 624664,"MyDentist – Advanced Oral Health Centre, New Road, Newtown",SY16 1BD,Powys border (SY) (SY16),Unknown,Unknown PMS - manual check,Tier 4 - ADG corporate group (lower priority),Yes,mydentist,No,,
"MyDentist – Trosely House, Newtown",01686 624344,"MyDentist – Trosely House, Newtown",SY16 1BG,Powys border (SY) (SY16),Unknown,Unknown PMS - manual check,Tier 4 - ADG corporate group (lower priority),Yes,mydentist,No,,
MyDentist – Machynlleth,01654 702753,MyDentist – Machynlleth,SY20 8EQ,Powys border (SY) (SY20),Unknown,Unknown PMS - manual check,Tier 4 - ADG corporate group (lower priority),Yes,mydentist,No,,
"MyDentist – Severn Street, Welshpool",01938 552222,"MyDentist – Severn Street, Welshpool",SY21 7AD,Powys border (SY) (SY21),Unknown,Unknown PMS - manual check,Tier 4 - ADG corporate group (lower priority),Yes,mydentist,No,,
MyDentist – Friars Dental Clinic,01970 623369,MyDentist – Friars Dental Clinic,SY23 1PB,Powys border (SY) (SY23),Unknown,Unknown PMS - manual check,Tier 4 - ADG corporate group (lower priority),Yes,mydentist,No,,
MyDentist – North Parade,01970 612266,MyDentist – North Parade,SY23 2JN,Powys border (SY) (SY23),Unknown,Unknown PMS - manual check,Tier 4 - ADG corporate group (lower priority),Yes,mydentist,No,,
