practice_name,also_known_as,address,postcode,area,phone,website,nhs_private,pms_detected,pms_confidence,pms_evidence,blast_segment,wisecall_tier,adg_corporate,adg_group,bda_good_practice,provider_name,source,notes
Hywel Samuel and Associates,,"Golate Court, Cardiff",CF10 1EU,Cardiff & Valleys (CF10),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,"NHS, Private/Independent",Wales HIW service directory,
Churchill Way Dental Practice,,"4a Churchill Way, City Centre",CF10 2DW,Cardiff & Valleys (CF10),02920 373831,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,NHS,Wales HIW service directory,
Charles Street Dental Surgery,,"54 Charles Street, Cardiff",CF10 2GF,Cardiff & Valleys (CF10),02920 230185,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,"NHS, Private/Independent",Wales HIW service directory,
Luna Dental,,"St David’s Shopping Centre, 36 Queen Street",CF10 2RG,Cardiff & Valleys (CF10),,,Private,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Private/Independent,Wales HIW service directory,
Park Place Dental Practice,,"Park Place, Cardiff",CF10 3DP,Cardiff & Valleys (CF10),02920 373831,,Private,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Private/Independent,Wales HIW service directory,
Impress Cardiff,,"Unit 4 - Capital Quarter, Tyndall Street, Cardiff",CF10 4BQ,Cardiff & Valleys (CF10),,,Private,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Private/Independent,Wales HIW service directory,
Loudoun Dental Clinic,,"Butetown Health Centre @ Loudoun, Butetown",CF10 5HW,Cardiff & Valleys (CF10),02921 833235,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,NHS,Wales HIW service directory,
Cardiff Dental and Aesthetics,,"107 Clare Road, Cardiff",CF11 6QQ,Cardiff & Valleys (CF11),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,"NHS, Private/Independent",Wales HIW service directory,
The Dental Surgery,,"99 Corporation Road, Grangetown",CF11 7AQ,Cardiff & Valleys (CF11),02920 229877,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,"NHS, Private/Independent",Wales HIW service directory,
Smiles Dental,,"68a Cowbridge Road East, Canton",CF11 9DU,Cardiff & Valleys (CF11),02920 374009,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,NHS,Wales HIW service directory,
Bay House Dental Practice,,"59 Cathedral Road, Cardiff",CF11 9HE,Cardiff & Valleys (CF11),02920 231258,,Private,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Private/Independent,Wales HIW service directory,
Cathedral Dental Clinic,,"166 Cathedral Road, Pontcanna",CF11 9JD,Cardiff & Valleys (CF11),02920 382671,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,"NHS, Private/Independent",Wales HIW service directory,
Parkside Dental Practice,,"170 Cathedral Road, Cardiff",CF11 9JD,Cardiff & Valleys (CF11),02920 665566,,Private,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Private/Independent,Wales HIW service directory,
Cathedral Orthodontics,,"80 Cathedral Road, Pontcanna",CF11 9LN,Cardiff & Valleys (CF11),02920 233528,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,"NHS, Private/Independent",Wales HIW service directory,
