name,phone,company,postcode,area,pms,segment,tier,adg_corporate,adg_group,bda_good_practice,website,notes
Churchill Way Dental Practice,02920 373831,Churchill Way Dental Practice,CF10 2DW,Cardiff & Valleys (CF10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Charles Street Dental Surgery,02920 230185,Charles Street Dental Surgery,CF10 2GF,Cardiff & Valleys (CF10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Park Place Dental Practice,02920 373831,Park Place Dental Practice,CF10 3DP,Cardiff & Valleys (CF10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Loudoun Dental Clinic,02921 833235,Loudoun Dental Clinic,CF10 5HW,Cardiff & Valleys (CF10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
The Dental Surgery,02920 229877,The Dental Surgery,CF11 7AQ,Cardiff & Valleys (CF11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Smiles Dental,02920 374009,Smiles Dental,CF11 9DU,Cardiff & Valleys (CF11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Bay House Dental Practice,02920 231258,Bay House Dental Practice,CF11 9HE,Cardiff & Valleys (CF11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Cathedral Dental Clinic,02920 382671,Cathedral Dental Clinic,CF11 9JD,Cardiff & Valleys (CF11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Parkside Dental Practice,02920 665566,Parkside Dental Practice,CF11 9JD,Cardiff & Valleys (CF11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Cathedral Orthodontics,02920 233528,Cathedral Orthodontics,CF11 9LN,Cardiff & Valleys (CF11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Perlau Gwyn Dental Care,02920 220794,Perlau Gwyn Dental Care,CF11 9LP,Cardiff & Valleys (CF11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Pontcanna Dental Care,02920 387683,Pontcanna Dental Care,CF11 9LP,Cardiff & Valleys (CF11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Rhiwbina Dental @ The Pines,02920 626551,Rhiwbina Dental @ The Pines,CF14 1AX,Cardiff & Valleys (CF14),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Holmes Dental Care,02920 617703,Holmes Dental Care,CF14 1LT,Cardiff & Valleys (CF14),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
North Cardiff Dental and Implants (Cloves Dental Care),02922 679999,North Cardiff Dental and Implants (Cloves Dental Care),CF14 1TZ,Cardiff & Valleys (CF14),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Six Gables Dental Practice,02920 693664,Six Gables Dental Practice,CF14 2AA,Cardiff & Valleys (CF14),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Church Road Dental Practice,02920 614444,Church Road Dental Practice,CF14 2DY,Cardiff & Valleys (CF14),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Wilton House Dental Practice,02920 555035,Wilton House Dental Practice,CF14 2FB,Cardiff & Valleys (CF14),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Alison Jones Dental Practice (Cardiff),02920 621059,Alison Jones Dental Practice (Cardiff),CF14 3JQ,Cardiff & Valleys (CF14),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Restore Dental Group (Gabalfa),02920 619461,Restore Dental Group (Gabalfa),CF14 3NH,Cardiff & Valleys (CF14),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Fusion Dentistry,02920 214304,Fusion Dentistry,CF14 3QX,Cardiff & Valleys (CF14),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Birchgrove Dental Practice,02920 693858,Birchgrove Dental Practice,CF14 4AG,Cardiff & Valleys (CF14),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Gwena Dental Care,02920 615279,Gwena Dental Care,CF14 4HE,Cardiff & Valleys (CF14),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Llanishen Dental Centre,02920 761476,Llanishen Dental Centre,CF14 5AA,Cardiff & Valleys (CF14),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Llanishen Clinic (Community Dental Service),02920 765047,Llanishen Clinic (Community Dental Service),CF14 5DB,Cardiff & Valleys (CF14),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
North Cardiff Orthodontic Centre,02920 761495,North Cardiff Orthodontic Centre,CF14 5GH,Cardiff & Valleys (CF14),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
Marlborough Dental Practice,02920 493050,Marlborough Dental Practice,CF23 5BX,Cardiff & Valleys (CF23),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Penylan Dental Practice,02920 483483,Penylan Dental Practice,CF23 5HX,Cardiff & Valleys (CF23),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Lakeside Dental Practice,02920 755026,Lakeside Dental Practice,CF23 6EP,Cardiff & Valleys (CF23),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Cox and Hitchcock Dental Practice,02920 761100,Cox and Hitchcock Dental Practice,CF23 6PX,Cardiff & Valleys (CF23),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Crossroads Dental Surgery,0844 3878560,Crossroads Dental Surgery,CF23 6PX,Cardiff & Valleys (CF23),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
P D Care Ltd,02920 736600,P D Care Ltd,CF23 8RJ,Cardiff & Valleys (CF23),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Colchester Dental Surgery,02920 465511,Colchester Dental Surgery,CF23 9AW,Cardiff & Valleys (CF23),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
Llanedeyrn Dental Practice,02920 734404,Llanedeyrn Dental Practice,CF23 9LL,Cardiff & Valleys (CF23),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Clifton Dental Care Ltd,02920 486231,Clifton Dental Care Ltd,CF24 1DG,Cardiff & Valleys (CF24),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
Newport Road Dental Clinic,02920 497082,Newport Road Dental Clinic,CF24 1RL,Cardiff & Valleys (CF24),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Andrew Thomas Dental Centre,02920 216200,Andrew Thomas Dental Centre,CF24 3AB,Cardiff & Valleys (CF24),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Huw De Lloyd Dentist,02920 485079,Huw De Lloyd Dentist,CF24 3AB,Cardiff & Valleys (CF24),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Nicola Taaffe@West Grove,02920 453346,Nicola Taaffe@West Grove,CF24 3AN,Cardiff & Valleys (CF24),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Cathays Dental Surgery,02920 230945,Cathays Dental Surgery,CF24 4HW,Cardiff & Valleys (CF24),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Court Road Dental Practice,01656 652041,Court Road Dental Practice,CF31 1BN,Cardiff & Valleys (CF31),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
22 Dental,01656 652259,22 Dental,CF31 1DQ,Cardiff & Valleys (CF31),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Brackla Dental Practice,01656 667755,Brackla Dental Practice,CF31 2PQ,Cardiff & Valleys (CF31),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Bridgend Dental Surgery,01656 856292,Bridgend Dental Surgery,CF31 3SB,Cardiff & Valleys (CF31),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Beynon's Dental Practice,01656 657876,Beynon's Dental Practice,CF31 4AX,Cardiff & Valleys (CF31),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Park Street Dental Practice,01656 654725,Park Street Dental Practice,CF31 4AX,Cardiff & Valleys (CF31),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Broadlands Dental Surgery,01656 655400,Broadlands Dental Surgery,CF31 5EJ,Cardiff & Valleys (CF31),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Park View Dental Practice,01443 402425,Park View Dental Practice,CF37 2BW,Cardiff & Valleys (CF37),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Morgan Street Dental Surgery,01443 403747,Morgan Street Dental Surgery,CF37 2DS,Cardiff & Valleys (CF37),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Paul James Dental Surgery,01443 400600,Paul James Dental Surgery,CF37 2DS,Cardiff & Valleys (CF37),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Ardent Dental Care,01443 403955,Ardent Dental Care,CF37 4PD,Cardiff & Valleys (CF37),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Hawthorn Dental,01443 842301,Hawthorn Dental,CF37 5AL,Cardiff & Valleys (CF37),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Stephen Bowsher,01443 842301,Stephen Bowsher,CF37 5AL,Cardiff & Valleys (CF37),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Whitcombe Dental Centre,01685 872124,Whitcombe Dental Centre,CF44 7AU,Cardiff & Valleys (CF44),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Swan Dental Practice,01685 873946,Swan Dental Practice,CF44 7BN,Cardiff & Valleys (CF44),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Jamie Pugh Dental Healthcare Ltd,01685 876151,Jamie Pugh Dental Healthcare Ltd,CF44 7DP,Cardiff & Valleys (CF44),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Gentle Dental Practice,01685 882800,Gentle Dental Practice,CF44 7LA,Cardiff & Valleys (CF44),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Croft Dental Practice,01685 876900,Croft Dental Practice,CF44 8DL,Cardiff & Valleys (CF44),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Denise Adams Dental Surgery,01685 813989,Denise Adams Dental Surgery,CF44 9SW,Cardiff & Valleys (CF44),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
WF Dental Hygiene,02921 158543,WF Dental Hygiene,CF5 1GY,Cardiff & Valleys (CF5),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Canton Dental Care,02920 233307,Canton Dental Care,CF5 1JE,Cardiff & Valleys (CF5),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
