practice_name,also_known_as,address,postcode,area,phone,website,nhs_private,pms_detected,pms_confidence,pms_evidence,blast_segment,wisecall_tier,adg_corporate,adg_group,bda_good_practice,provider_name,source,notes
Bridge Dental Care,,"Bridge Dental Care Llanover Buildings, Newbridge",NP11 4EX,Gwent & Newport (NP11),01495 243323,,Private,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,Private/Independent,Wales HIW service directory,
Newbridge Dental Care,,"Sarratt House, High Street, Newbridge",NP11 4FW,Gwent & Newport (NP11),01495 243233,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,"NHS, Private/Independent",Wales HIW service directory,
Risca Dental Practice Limited,,"3 Commercial Street, Risca",NP11 6AW,Gwent & Newport (NP11),01633 612265,,Private,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Private/Independent,Wales HIW service directory,
Cross Keys Dental Practice Limited,,"15-19 Risca Road, Cross Keys",NP11 7BT,Gwent & Newport (NP11),01495 272123,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,"NHS, Private/Independent",Wales HIW service directory,
The Dental Centre,,"Suite 4, Oakdale Health Centre Central Buildings, Blackwood",NP12 0LR,Gwent & Newport (NP12),01495 225588,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,"NHS, Private/Independent",Wales HIW service directory,
Blackwood Dental Centre,,"171A  High Street, Blackwood",NP12 1AA,Gwent & Newport (NP12),01495 222697,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,NHS,Wales HIW service directory,
Laffan Dental Practice,,"205-207 High Street, Blackwood",NP12 1AA,Gwent & Newport (NP12),01495 224175,,Private,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Private/Independent,Wales HIW service directory,
Sunnycourt Ltd,,"Dental Practice, Blackwood",NP12 1AA,Gwent & Newport (NP12),01495 224175,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,NHS,Wales HIW service directory,
Hilltop View Dental Practice,,"222 High Street, Blackwood",NP12 1AJ,Gwent & Newport (NP12),01495 224166,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,"NHS, Private/Independent",Wales HIW service directory,
Bryntirion Dental Surgery,,"23 Sir Ivors Road, Pontllanfraith",NP12 2JH,Gwent & Newport (NP12),01495 224885,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,"NHS, Private/Independent",Wales HIW service directory,
Forest Dental Surgery,,"Bryn Road, Cefn Fforest, Blackwood",NP12 3NA,Gwent & Newport (NP12),01443 807845,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,"NHS, Private/Independent",Wales HIW service directory,
Kieron Hastings Dental Surgery,,"24 King Street, Abertillery",NP13 1AD,Gwent & Newport (NP13),01495 212592,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,"NHS, Private/Independent",Wales HIW service directory,
Bridge Centre,,"Dental Department, 1st Floor Bridge Centre, Abertillery",NP13 1BQ,Gwent & Newport (NP13),01495 322731,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,NHS,Wales HIW service directory,
Abertillery Dental Care,,"3a Somerset Street, Abertillery",NP13 1DJ,Gwent & Newport (NP13),01495 212445,,Private,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Private/Independent,Wales HIW service directory,
Blaina Dental Surgery,,"Blaina Medical Practice, High Street",NP13 3AT,Gwent & Newport (NP13),01495 290098,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,"NHS, Private/Independent",Wales HIW service directory,
Usk Dental Practice,,"4 Priory Street, Usk",NP15 1BJ,Gwent & Newport (NP15),01291 672395,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,"NHS, Private/Independent",Wales HIW service directory,
Seddon Dental Implants,,"Rowan House, Llancayo Business Park, Llancayo",NP15 1HY,Gwent & Newport (NP15),,,Private,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Private/Independent,Wales HIW service directory,
Ben Brookshaw Denture Clinic,,"Albion House, Albion Square,, Chepstow",NP16 5DA,Gwent & Newport (NP16),01291 622044,,Private,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Private/Independent,Wales HIW service directory,
Portwall Dental Surgery,,"5 Beaufort Square, Chepstow",NP16 5EP,Gwent & Newport (NP16),,,Private,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Private/Independent,Wales HIW service directory,
BEAM Denti Spa,,"5a St Mary’s Arcade, Nelson Street, Chepstow, Gwent",NP16 5EU,Gwent & Newport (NP16),01291 628008,,Private,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Private/Independent,Wales HIW service directory,
Smile Solution Ltd @ Chepstow Orthodontics Ltd,,"6A St Mary's Arcade, Chepstow",NP16 5EU,Gwent & Newport (NP16),01291 628954,,Private,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,Private/Independent,Wales HIW service directory,
