name,phone,company,postcode,area,pms,segment,tier,adg_corporate,adg_group,bda_good_practice,website,notes
Bridge Dental Care,01495 243323,Bridge Dental Care,NP11 4EX,Gwent & Newport (NP11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
Newbridge Dental Care,01495 243233,Newbridge Dental Care,NP11 4FW,Gwent & Newport (NP11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Risca Dental Practice Limited,01633 612265,Risca Dental Practice Limited,NP11 6AW,Gwent & Newport (NP11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Cross Keys Dental Practice Limited,01495 272123,Cross Keys Dental Practice Limited,NP11 7BT,Gwent & Newport (NP11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
The Dental Centre,01495 225588,The Dental Centre,NP12 0LR,Gwent & Newport (NP12),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Blackwood Dental Centre,01495 222697,Blackwood Dental Centre,NP12 1AA,Gwent & Newport (NP12),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Laffan Dental Practice,01495 224175,Laffan Dental Practice,NP12 1AA,Gwent & Newport (NP12),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Sunnycourt Ltd,01495 224175,Sunnycourt Ltd,NP12 1AA,Gwent & Newport (NP12),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Hilltop View Dental Practice,01495 224166,Hilltop View Dental Practice,NP12 1AJ,Gwent & Newport (NP12),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Bryntirion Dental Surgery,01495 224885,Bryntirion Dental Surgery,NP12 2JH,Gwent & Newport (NP12),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Forest Dental Surgery,01443 807845,Forest Dental Surgery,NP12 3NA,Gwent & Newport (NP12),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Kieron Hastings Dental Surgery,01495 212592,Kieron Hastings Dental Surgery,NP13 1AD,Gwent & Newport (NP13),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Bridge Centre,01495 322731,Bridge Centre,NP13 1BQ,Gwent & Newport (NP13),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Abertillery Dental Care,01495 212445,Abertillery Dental Care,NP13 1DJ,Gwent & Newport (NP13),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Blaina Dental Surgery,01495 290098,Blaina Dental Surgery,NP13 3AT,Gwent & Newport (NP13),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Ben Brookshaw Denture Clinic,01291 622044,Ben Brookshaw Denture Clinic,NP16 5DA,Gwent & Newport (NP16),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
BEAM Denti Spa,01291 628008,BEAM Denti Spa,NP16 5EU,Gwent & Newport (NP16),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Smile Solution Ltd @ Chepstow Orthodontics Ltd,01291 628954,Smile Solution Ltd @ Chepstow Orthodontics Ltd,NP16 5EU,Gwent & Newport (NP16),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
Chepstow Dental Care,01291 622450,Chepstow Dental Care,NP16 5LR,Gwent & Newport (NP16),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Beaufort Park Dental Surgery,01291 624515,Beaufort Park Dental Surgery,NP16 5UH,Gwent & Newport (NP16),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
94 Dental,01633 259091,94 Dental,NP19 7BY,Gwent & Newport (NP19),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
168 Dental Practice,01633 211911,168 Dental Practice,NP19 7FY,Gwent & Newport (NP19),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Chepstow Road Dental Practice,01633 246005,Chepstow Road Dental Practice,NP19 8EA,Gwent & Newport (NP19),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Thomas & Stroud Dental Surgery,01633 278418,Thomas & Stroud Dental Surgery,NP19 8HL,Gwent & Newport (NP19),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
Ringland Dental Centre (de-registered 18/09/2025),01633 279220,Ringland Dental Centre (de-registered 18/09/2025),NP19 9HQ,Gwent & Newport (NP19),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
