"Service name","Type of establishment","Services provided","Address line 1","Address line 2",Postcode,"Last inspection date",Telephone,Sector
"1 Kendall","GP Surgeries","GP services",,Gwynedd,"LL54 7NY",,,NHS
"1192 Laser & Beauty",Hospitals,"Laser - non-surgical (e.g. hair or tattoo removal)","Unit 2 Liberty Stadium Landore",Swansea,SA12FA,22/10/2025,"'01792 651412",Private/Independent
"168 Dental Practice","Dental Practices",Dental,"168 Caerleon Road",Newport,"NP19 7FY",28/02/2019,"'01633 211911",Private/Independent
"2 Hope View (Dr M Asokan)","GP Surgeries","GP services","Ffordd Top y Rhos",Flintshire,"CH7 4NE",,"'01352 770212",NHS
"Morfa Lane Surgery","GP Surgeries","GP services","2 Morfa Lane",Carmarthen,"SA31 3AX",14/02/2024,"'01267 234774",NHS
"22 Dental","Dental Practices",Dental,"22a Caroline Street",Bridgend,"CF31 1DQ",10/01/2023,"'01656 652259",Private/Independent
DentalNova,"Dental Practices",Dental,"26 Commercial Street",Cwmbran,"NP44 1DZ",21/01/2026,"'01633 483679","NHS, Private/Independent"
"82 High Street (Dr AWA Amin & Ptrs)",Clinics,,,Flintshire,"CH4 8SF",,"'01244 680383",NHS
"91 Dental Care","Dental Practices",Dental,"91 High Street",Mold,"CH7 1BQ",09/08/2023,'01352700723,Private/Independent
"Aber Medical Centre Meddygfa Tridwr","GP Surgeries","GP services","27 Thomas Street",Caerphilly,"CF83 4AU",09/03/2017,"'02920 833300",NHS
"Aberaman Surgery","GP Surgeries","GP services","Glamorgan Street Aberaman",Aberdare,"CF44 6SR",,"'01685 872006",NHS
"Aberbeeg Medical Centre","GP Surgeries","GP services","The Square",Abertillery,"NP13 2AB",19/06/2026,"'01495 320520",NHS
"Abercrave Surgery","GP Surgeries","GP services","Heol Tawe",Swansea,"SA9 1XP",,,NHS
"Abercwmboi Medical Centre","GP Surgeries","GP services","1-3 John Street Abercwmboi",Aberdare,"CF44 6BL",,"'01443 473304",NHS
"Abercynon Medical Centre","GP Surgeries","GP services","Ynysmeurig Road Abercynon","Mountain Ash","CF45 4YB",,"'01443 740447",NHS
