practice_name,also_known_as,address,postcode,area,phone,website,nhs_private,pms_detected,pms_confidence,pms_evidence,blast_segment,wisecall_tier,adg_corporate,adg_group,bda_good_practice,provider_name,source,notes
Dental Clinic Llandrindod,,"Middleton Street, Llandrindod Wells",LD1 5DG,Mid Wales (LD1),,,Private,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Private/Independent,Wales HIW service directory,
Craig Dental,,"1 Imperial Buildings, Temple Street, Llandrindod Wells,",LD1 5DL,Mid Wales (LD1),,,Private,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Private/Independent,Wales HIW service directory,
Llandrindod Wells Family Dental Practice (de-registered 10/03/2026),,"Old Town Hall Temple Street, Llandrindod Wells",LD1 5DL,Mid Wales (LD1),01597 822611,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,"NHS, Private/Independent",Wales HIW service directory,
Cloverly Dental Practice,,"Cloverly 35 Garth Road, Builth Wells",LD2 3AH,Mid Wales (LD2),01982 553500,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,"NHS, Private/Independent",Wales HIW service directory,
Builth Wells Community Dentist,,"Glan Irfon Health and Social Care Centre, Pendre",LD2 3DG,Mid Wales (LD2),01597 828768,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,NHS,Wales HIW service directory,
Powells Dental Surgery (de-registered 29/07/2025),,"5A Lion Street, Brecon",LD3 7AU,Mid Wales (LD3),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,"NHS, Private/Independent",Wales HIW service directory,
Brecon Dental Care,,"3 Wheat Street, Brycheiniog",LD3 7DG,Mid Wales (LD3),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,"NHS, Private/Independent",Wales HIW service directory,
Brecon Dental Care,,"12 Castle Street, Brecon",LD3 9BU,Mid Wales (LD3),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,"NHS, Private/Independent",Wales HIW service directory,
Evans Dental Surgery,,"1st Floor, Tannery Building Bridge Street, Brecon",LD38AH,Mid Wales (LD3),01874 623357,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,NHS,Wales HIW service directory,
Rhayader Dental Practice (Charro Dental),,"Maes y Deri, Rhayader",LD6 5DG,Mid Wales (LD6),01597 811644,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,"NHS, Private/Independent",Wales HIW service directory,
"MyDentist – Wylcwm Place, Knighton (de-registered 30/09/2025)",,"3 Wylcwm Place, Knighton",LD7 1AE,Mid Wales (LD7),01547 520129,,NHS,,,,Unknown PMS - manual check,Tier 4 - ADG corporate group (lower priority),Yes,mydentist,No,"NHS, Private/Independent",Wales HIW service directory,
