practice_name,also_known_as,address,postcode,area,phone,website,nhs_private,pms_detected,pms_confidence,pms_evidence,blast_segment,wisecall_tier,adg_corporate,adg_group,bda_good_practice,provider_name,source,notes
Coach House Dental Care,,"4A Grosvenor Road, Wrexham",LL11 1BU,North Wales (LL11),01978 356328,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,"NHS, Private/Independent",Wales HIW service directory,
Toothopia,,"59 Regent Street, Wrexham",LL11 1PF,North Wales (LL11),,,Private,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Private/Independent,Wales HIW service directory,
Dant y Coed Dental Surgery,,"1 - 2 Maelor Buildings Heol Maelor, Wrexham",LL11 3NG,North Wales (LL11),01978 759876,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,"NHS, Private/Independent",Wales HIW service directory,
Gwersyllt Dental Care,,"2 High Street, Gwersyllt, Wrexham",LL11 4LA,North Wales (LL11),01978 757409,,Private,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Private/Independent,Wales HIW service directory,
Signature Smiles Dental Practice Gwersyllt,,"Unit 7 Dodds Lane, Gwersyllt, Wrexham",LL11 4NT,North Wales (LL11),01978 722512,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,"NHS, Private/Independent",Wales HIW service directory,
Rossett Dental Care,,"Station Road, Wrexham",LL12 0HE,North Wales (LL12),01244 571544,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,"NHS, Private/Independent",Wales HIW service directory,
Springfield Dental,,"Springfield House 5 Chester Road, Gresford",LL12 8NA,North Wales (LL12),01978 851300,,Private,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Private/Independent,Wales HIW service directory,
Chapel Cottage Dental Practice,,"5 Chapel Cottages High Street, Wrexham",LL12 8PS,North Wales (LL12),01978 854745,,Private,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Private/Independent,Wales HIW service directory,
Springfield Dental Care,,"Springfield House, 5 Chester Road, Wrexham",LL12 8PT,North Wales (LL12),01978 851300,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,NHS,Wales HIW service directory,
Bridge End Dental Practice,,"6 Bridge End Mews, Caergwrle, Wrexham",LL12 9AY,North Wales (LL12),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,"NHS, Private/Independent",Wales HIW service directory,
Maelor Dental Care,,"Whitchurch Road, Bangor on Dee",LL13 0AY,North Wales (LL13),01978 780943,,Private,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Private/Independent,Wales HIW service directory,
Ruabon Road Dental Practice,,"96 Ruabon Road, Wrexham",LL13 7PH,North Wales (LL13),01978 364390,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,"NHS, Private/Independent",Wales HIW service directory,
Wrexham Dental Works,,"Yale Technology Park, Wrecsam",LL13 7YT,North Wales (LL13),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,"NHS, Private/Independent",Wales HIW service directory,
Talking Teeth Chester Street,,"47 Chester Street, Wrexham",LL13 8BA,North Wales (LL13),01978 312777,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,"NHS, Private/Independent",Wales HIW service directory,
"Signature Smiles, iDental Practice",,"Unit 2 Charles Street, Wrexham",LL13 8BT,North Wales (LL13),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,"NHS, Private/Independent",Wales HIW service directory,
Rhos Dental Practice,,"Market Street, Rhos, Wrexham",LL14 1AH,North Wales (LL14),01978 845391,,Private,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Private/Independent,Wales HIW service directory,
Johnstown Dental Practice,,"24 High Street, Johnstown, Wrexham",LL14 1SL,North Wales (LL14),01978 840754,,Private,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Private/Independent,Wales HIW service directory,
Talking Teeth – The Old Post Office,,"The Old Post Office Holyhead Road, Chirk, Wrexham",LL14 5NA,North Wales (LL14),01691 777781,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,"NHS, Private/Independent",Wales HIW service directory,
Ruthin Dental Practice,,"Market Street, Ruthin",LL15 1AU,North Wales (LL15),01824 703201,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,NHS,Wales HIW service directory,
Dental Clinic,,"Denbigh Infirmary Ruthin Road, Denbighshire",LL16 3AP,North Wales (LL16),01745 818115,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,NHS,Wales HIW service directory,
