name,phone,company,postcode,area,pms,segment,tier,adg_corporate,adg_group,bda_good_practice,website,notes
Coach House Dental Care,01978 356328,Coach House Dental Care,LL11 1BU,North Wales (LL11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Dant y Coed Dental Surgery,01978 759876,Dant y Coed Dental Surgery,LL11 3NG,North Wales (LL11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Gwersyllt Dental Care,01978 757409,Gwersyllt Dental Care,LL11 4LA,North Wales (LL11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Signature Smiles Dental Practice Gwersyllt,01978 722512,Signature Smiles Dental Practice Gwersyllt,LL11 4NT,North Wales (LL11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Rossett Dental Care,01244 571544,Rossett Dental Care,LL12 0HE,North Wales (LL12),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Springfield Dental,01978 851300,Springfield Dental,LL12 8NA,North Wales (LL12),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Chapel Cottage Dental Practice,01978 854745,Chapel Cottage Dental Practice,LL12 8PS,North Wales (LL12),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Springfield Dental Care,01978 851300,Springfield Dental Care,LL12 8PT,North Wales (LL12),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Maelor Dental Care,01978 780943,Maelor Dental Care,LL13 0AY,North Wales (LL13),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Ruabon Road Dental Practice,01978 364390,Ruabon Road Dental Practice,LL13 7PH,North Wales (LL13),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Talking Teeth Chester Street,01978 312777,Talking Teeth Chester Street,LL13 8BA,North Wales (LL13),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Rhos Dental Practice,01978 845391,Rhos Dental Practice,LL14 1AH,North Wales (LL14),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Johnstown Dental Practice,01978 840754,Johnstown Dental Practice,LL14 1SL,North Wales (LL14),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Talking Teeth – The Old Post Office,01691 777781,Talking Teeth – The Old Post Office,LL14 5NA,North Wales (LL14),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Honeyfields Dental,01745 591728,Honeyfields Dental,LL18 2TP,North Wales (LL18),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Bod Heulog Dental Care,01745 342996,Bod Heulog Dental Care,LL18 3DA,North Wales (LL18),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Prestatyn Dental,01745 853817,Prestatyn Dental,LL19 9DN,North Wales (LL19),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
The Gables Dental Practice,01745 854693,The Gables Dental Practice,LL19 9NR,North Wales (LL19),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
White Gables Dental Practice,01492 532554,White Gables Dental Practice,LL29 7LE,North Wales (LL29),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
West End Dental (Colwyn Bay),01492 532168,West End Dental (Colwyn Bay),LL29 7LL,North Wales (LL29),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Grosvenor Dental Surgery,01492 532796,Grosvenor Dental Surgery,LL29 7YF,North Wales (LL29),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
The Dental Department,01492 807525,The Dental Department,LL29 8AY,North Wales (LL29),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
