practice_name,also_known_as,address,postcode,area,phone,website,nhs_private,pms_detected,pms_confidence,pms_evidence,blast_segment,wisecall_tier,adg_corporate,adg_group,bda_good_practice,provider_name,source,notes
Brynhyfryd Dental Practice,,"Unit 1, Cwmbwrla Workshops, Ysguborfach Street, Swansea",SA1 2DD,Swansea & West Wales (SA1),01792 462295,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,"NHS, Private/Independent",Wales HIW service directory,
Willows Dental Practice,,"2-3 Craddock Street, Swansea",SA1 3EN,Swansea & West Wales (SA1),,,Private,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Private/Independent,Wales HIW service directory,
Russell Street Dental Practice,,"27 Russell Street, Swansea",SA1 4HR,Swansea & West Wales (SA1),01792 654531,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,"NHS, Private/Independent",Wales HIW service directory,
St. James Dental Practice,,"71 Walter Road, Swansea",SA1 4QA,Swansea & West Wales (SA1),01792 473672,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,"NHS, Private/Independent",Wales HIW service directory,
Belgrave Dental Centre,,"91 Walter Road, Swansea",SA1 4QF,Swansea & West Wales (SA1),01792 473881,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,"NHS, Private/Independent",Wales HIW service directory,
Neat Teeth Orthodontics,,"SA1 Waterfront, Lambert Road, Swansea",SA1 8EL,Swansea & West Wales (SA1),01792 455191,,Private,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Private/Independent,Wales HIW service directory,
Eastside Dental Centre,,"Beacon Centre for Health Langdon Road, Swansea",SA1 8QY,Swansea & West Wales (SA1),01792 642733,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,"NHS, Private/Independent",Wales HIW service directory,
Village Dental Practice,,"61 New Road, Skewen, Neath",SA10 6HA,Swansea & West Wales (SA10),01792 814734,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,"NHS, Private/Independent",Wales HIW service directory,
Cwmdulais Dental Practice,,"8 Station Road Crynant, Neath",SA10 8NW,Swansea & West Wales (SA10),01639 750260,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,"NHS, Private/Independent",Wales HIW service directory,
London Road Dental Centre,,"109 London Road, Neath",SA11 1HL,Swansea & West Wales (SA11),01639 642000,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,"NHS, Private/Independent",Wales HIW service directory,
Briton Ferry Dental Centre,,"209 Neath Road, Briton Ferry",SA11 2BJ,Swansea & West Wales (SA11),01639 823331,,Private,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Private/Independent,Wales HIW service directory,
Woodlands Dental Practice,,"18 Victoria Gardens, Neath",SA11 3BE,Swansea & West Wales (SA11),01639 644647,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,"NHS, Private/Independent",Wales HIW service directory,
Marsh Dental Practice,,"36 Victoria Gardens, Neath",SA11 3BH,Swansea & West Wales (SA11),01639 644507,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,"NHS, Private/Independent",Wales HIW service directory,
Glynneath Dental Lounge,,"Addoldy Road, Glynneath, Neath",SA11 5DU,Swansea & West Wales (SA11),,,Private,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Private/Independent,Wales HIW service directory,
Dunes Dental Care,,"Silver Ave, Port Talbot",SA12 7RX,Swansea & West Wales (SA12),01639 323232,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,"NHS, Private/Independent",Wales HIW service directory,
Baglan Dental Practice,,"80 Fairwood Drive, Port Talbot",SA12 8NU,Swansea & West Wales (SA12),01639 812156,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,"NHS, Private/Independent",Wales HIW service directory,
Talbot Road Dental Practice,,"116 Talbot Road, Port Talbot",SA13 1LB,Swansea & West Wales (SA13),01639 882280,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,"NHS, Private/Independent",Wales HIW service directory,
JD Isaac,,"68 Commercial Road, Taibach, Port Talbot",SA13 1LR,Swansea & West Wales (SA13),01639 895566,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,NHS,Wales HIW service directory,
Gupta Dental Surgeons,,"41 Forge Road, Port Talbot",SA13 1PG,Swansea & West Wales (SA13),01639 886609,,Private,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Private/Independent,Wales HIW service directory,
Cymmer Dental Surgery,,"Health Centre Cymmer, Port Talbot",SA13 3HR,Swansea & West Wales (SA13),01639 851908,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,NHS,Wales HIW service directory,
Llanon Road Dental Practice,,"25 Llannon Road, Upper Tumble",SA14 6BW,Swansea & West Wales (SA14),01269 832792,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,"NHS, Private/Independent",Wales HIW service directory,
Llandeilo Road Dental Surgery,,"38 Llandeilo Road, Cross Hands",SA14 6RD,Swansea & West Wales (SA14),01269 843400,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,"NHS, Private/Independent",Wales HIW service directory,
Lotus Dental Studio,,"13 Llwynhendy Road, Llanelli",SA14 9DP,Swansea & West Wales (SA14),01554 774509,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,"NHS, Private/Independent",Wales HIW service directory,
Woods Dental,,"65 Walter Road, Swansea",SA14PT,Swansea & West Wales (SA1),01792 476714,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,"NHS, Private/Independent",Wales HIW service directory,
Murray Street Dental Practice,,"16 Murray Street, Llanelli",SA15 1DZ,Swansea & West Wales (SA15),01554 774768,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,NHS,Wales HIW service directory,
Avenue Villa Dental Surgery,,"Queen Victoria Road, Llanelli",SA15 2TP,Swansea & West Wales (SA15),01554 773649,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,"NHS, Private/Independent",Wales HIW service directory,
Achddu Villa Dental Practice,,"18 Stepney Road, Burry Port",SA16 0BH,Swansea & West Wales (SA16),01554 833722,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,"NHS, Private/Independent",Wales HIW service directory,
Gwaun Cae Gurwen Dental Practice,,"97 Heol Cae Gurwen, Ammanford",SA18 1PB,Swansea & West Wales (SA18),01269 822885,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,"NHS, Private/Independent",Wales HIW service directory,
Brynamman Surgery (de-registered 01/04/2026),,"34 Station Road, Ammanford",SA18 1SF,Swansea & West Wales (SA18),01269 825418,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,"NHS, Private/Independent",Wales HIW service directory,
Aman Dental Practice,,"42 Margaret Street, Ammanford",SA18 2NP,Swansea & West Wales (SA18),,,Private,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Private/Independent,Wales HIW service directory,
Ammanford Surgery,,"Brynteg Terrace, Ammanford",SA18 3AU,Swansea & West Wales (SA18),01269 597577,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,"NHS, Private/Independent",Wales HIW service directory,
Llandeilo Dental Practice,,"18 Carmarthen Street, Llandeilo",SA19 6AE,Swansea & West Wales (SA19),01558 823658,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,"NHS, Private/Independent",Wales HIW service directory,
