name,phone,company,postcode,area,pms,segment,tier,adg_corporate,adg_group,bda_good_practice,website,notes
Brynhyfryd Dental Practice,01792 462295,Brynhyfryd Dental Practice,SA1 2DD,Swansea & West Wales (SA1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
Russell Street Dental Practice,01792 654531,Russell Street Dental Practice,SA1 4HR,Swansea & West Wales (SA1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
St. James Dental Practice,01792 473672,St. James Dental Practice,SA1 4QA,Swansea & West Wales (SA1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Belgrave Dental Centre,01792 473881,Belgrave Dental Centre,SA1 4QF,Swansea & West Wales (SA1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Neat Teeth Orthodontics,01792 455191,Neat Teeth Orthodontics,SA1 8EL,Swansea & West Wales (SA1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Eastside Dental Centre,01792 642733,Eastside Dental Centre,SA1 8QY,Swansea & West Wales (SA1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
London Road Dental Centre,01639 642000,London Road Dental Centre,SA11 1HL,Swansea & West Wales (SA11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Briton Ferry Dental Centre,01639 823331,Briton Ferry Dental Centre,SA11 2BJ,Swansea & West Wales (SA11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Woodlands Dental Practice,01639 644647,Woodlands Dental Practice,SA11 3BE,Swansea & West Wales (SA11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Marsh Dental Practice,01639 644507,Marsh Dental Practice,SA11 3BH,Swansea & West Wales (SA11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Talbot Road Dental Practice,01639 882280,Talbot Road Dental Practice,SA13 1LB,Swansea & West Wales (SA13),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
JD Isaac,01639 895566,JD Isaac,SA13 1LR,Swansea & West Wales (SA13),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Gupta Dental Surgeons,01639 886609,Gupta Dental Surgeons,SA13 1PG,Swansea & West Wales (SA13),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Cymmer Dental Surgery,01639 851908,Cymmer Dental Surgery,SA13 3HR,Swansea & West Wales (SA13),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Woods Dental,01792 476714,Woods Dental,SA14PT,Swansea & West Wales (SA1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
Murray Street Dental Practice,01554 774768,Murray Street Dental Practice,SA15 1DZ,Swansea & West Wales (SA15),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Avenue Villa Dental Surgery,01554 773649,Avenue Villa Dental Surgery,SA15 2TP,Swansea & West Wales (SA15),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Sketty Road Dental Surgery,01792 472275,Sketty Road Dental Surgery,SA2 0EU,Swansea & West Wales (SA2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Uplands Dental Suite,01792 298250,Uplands Dental Suite,SA2 0LJ,Swansea & West Wales (SA2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Townhill Dental Practice,01792 201145,Townhill Dental Practice,SA2 0UX,Swansea & West Wales (SA2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
University Dental Care,01792 602222,University Dental Care,SA2 8PP,Swansea & West Wales (SA2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Tycoch Dental Practice,01792 297629,Tycoch Dental Practice,SA2 9BL,Swansea & West Wales (SA2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
