practice_name,also_known_as,address,postcode,area,phone,website,nhs_private,pms_detected,pms_confidence,pms_evidence,blast_segment,wisecall_tier,adg_corporate,adg_group,bda_good_practice,provider_name,source,notes
Hillary Street Dental Surgery,,"1 Hillary Street, Walsall",WS2 9BP,Walsall & Cannock (WS2),01922 623800,https://www.hillarystreetdental.co.uk,Unknown,Dentally,high,Dentally:dentr.net,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Smiles By Rajesh Beedh Ltd,CQC directory (auto-downloaded),
The Priory Dental Practice,,"21 Portland Road, Aldridge, Walsall",WS9 8NS,Walsall & Cannock (WS9),01922 452644,https://www.thepriorydentalpractice.co.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Priory Dental Practice Limited,CQC directory (auto-downloaded),
Allsopp & Associates Dental Practice - Bridge Street,,"26 Bridge Street, Walsall",WS1 1HR,Walsall & Cannock (WS1),01922 614685,https://www.allsoppdental.co.uk,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr. Jonathan Allsopp,CQC directory (auto-downloaded),website unreachable
Goodall Dental Practice,,"45 Goodall Street, Walsall",WS1 1QJ,Walsall & Cannock (WS1),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mrs Sapna Hanji Chandrashekar,CQC directory (auto-downloaded),
Church Lane Dental Walsall,,"6 Springhill Road, Walsall",WS1 2LN,Walsall & Cannock (WS1),01922 622483,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr Rajdeep Koner,CQC directory (auto-downloaded),
Allsopp @ Birmingham Road Ltd,,"22 Birmingham Road, Walsall",WS1 2LT,Walsall & Cannock (WS1),01922 746796,https://www.allsoppsmile.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Allsopp@Birmingham Road Limited,CQC directory (auto-downloaded),
Oraco Dental SIXWAYS,,"72-74 Lysways Street, Walsall",WS1 3AB,Walsall & Cannock (WS1),01922 620881,https://www.oracodental.com,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Oraco Dental Ltd,CQC directory (auto-downloaded),
Sixways house,,"72-74 Lysways Street, Walsall",WS1 3AB,Walsall & Cannock (WS1),01922 620881,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr Mohsen Asghari Tavanei Gilani,CQC directory (auto-downloaded),
Renew Dental Clinic,208 Broadway,"208 Broadway, Walsall",WS1 3HH,Walsall & Cannock (WS1),01922 636222,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Inderpal Johal Limited,CQC directory (auto-downloaded),
Walsall Family Dental Practice,,"150-152, Caldmore Road, Walsall",WS1 3RF,Walsall & Cannock (WS1),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Prestige Dental Care Group,CQC directory (auto-downloaded),
Crankhall Lane Dental Practice,,"136 Crankhall Lane, Wednesbury",WS10 0ED,Walsall & Cannock (WS10),01215 565003,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Sidhu / Bhandal,CQC directory (auto-downloaded),
Russell Street Dental Practice,,"Upper Russell Street, Wednesbury",WS10 7AR,Walsall & Cannock (WS10),01215 562451,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Russell Street Dental Practice,CQC directory (auto-downloaded),
Oraco Dental WEDNESBURY,,"64 Union Street, Wednesbury",WS10 7HB,Walsall & Cannock (WS10),01215 560369,https://www.dental-clinique.com,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,OraCo Ltd,CQC directory (auto-downloaded),
Wednesbury Dental Practice,,"11a-15a Upper High Street, Wednesbury",WS10 7HQ,Walsall & Cannock (WS10),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr. Lin Chen,CQC directory (auto-downloaded),
Qamar Dental,,"122-123 Walsall Street, Wednesbury",WS10 9BY,Walsall & Cannock (WS10),,https://www.qamardental.com,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr. Sana-Ullah Qamar,CQC directory (auto-downloaded),
Bhandal Dental Practice - 1-3 Wallsall Road,,"Ground Floor, 1-3 Walsall Road, Darlaston",WS10 9JL,Walsall & Cannock (WS10),01215 262862,https://www.bhandaldentalpractice.co.uk,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,"Balbir Singh Bhandal, Amrik Singh Bhandal & Baljit Singh Bhandal",CQC directory (auto-downloaded),website unreachable
Bhandal Dental Practice - 61 Walsall Road,,"61 Walsall Road, Darlaston, Wednesbury",WS10 9JS,Walsall & Cannock (WS10),01215 262252,https://www.bhandaldentalpractices.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,"Balbir Singh Bhandal, Amrik Singh Bhandal & Baljit Singh Bhandal",CQC directory (auto-downloaded),
Chris Bird Dental Care Limited,,"107-109 Walsall Road, Cannock",WS11 0HP,Walsall & Cannock (WS11),01543 573377,https://www.chrisbird-dentalcare.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,Chris Bird Dental Care Limited,CQC directory (auto-downloaded),
