name,phone,company,postcode,area,pms,segment,tier,adg_corporate,adg_group,bda_good_practice,website,notes
Hillary Street Dental Surgery,01922 623800,Hillary Street Dental Surgery,WS2 9BP,Walsall & Cannock (WS2),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.hillarystreetdental.co.uk,
The Priory Dental Practice,01922 452644,The Priory Dental Practice,WS9 8NS,Walsall & Cannock (WS9),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.thepriorydentalpractice.co.uk,
Allsopp & Associates Dental Practice - Bridge Street,01922 614685,Allsopp & Associates Dental Practice - Bridge Street,WS1 1HR,Walsall & Cannock (WS1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.allsoppdental.co.uk,website unreachable
Church Lane Dental Walsall,01922 622483,Church Lane Dental Walsall,WS1 2LN,Walsall & Cannock (WS1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Allsopp @ Birmingham Road Ltd,01922 746796,Allsopp @ Birmingham Road Ltd,WS1 2LT,Walsall & Cannock (WS1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.allsoppsmile.co.uk,
Oraco Dental SIXWAYS,01922 620881,Oraco Dental SIXWAYS,WS1 3AB,Walsall & Cannock (WS1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.oracodental.com,
Sixways house,01922 620881,Sixways house,WS1 3AB,Walsall & Cannock (WS1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Renew Dental Clinic,01922 636222,Renew Dental Clinic,WS1 3HH,Walsall & Cannock (WS1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Crankhall Lane Dental Practice,01215 565003,Crankhall Lane Dental Practice,WS10 0ED,Walsall & Cannock (WS10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Russell Street Dental Practice,01215 562451,Russell Street Dental Practice,WS10 7AR,Walsall & Cannock (WS10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Oraco Dental WEDNESBURY,01215 560369,Oraco Dental WEDNESBURY,WS10 7HB,Walsall & Cannock (WS10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.dental-clinique.com,
Bhandal Dental Practice - 1-3 Wallsall Road,01215 262862,Bhandal Dental Practice - 1-3 Wallsall Road,WS10 9JL,Walsall & Cannock (WS10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.bhandaldentalpractice.co.uk,website unreachable
Bhandal Dental Practice - 61 Walsall Road,01215 262252,Bhandal Dental Practice - 61 Walsall Road,WS10 9JS,Walsall & Cannock (WS10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.bhandaldentalpractices.co.uk,
Chris Bird Dental Care Limited,01543 573377,Chris Bird Dental Care Limited,WS11 0HP,Walsall & Cannock (WS11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,https://www.chrisbird-dentalcare.co.uk,
Cannock Dental Practice,01543 503251,Cannock Dental Practice,WS11 1AP,Walsall & Cannock (WS11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
Chase Dental Practice,01543 503130,Chase Dental Practice,WS11 1AP,Walsall & Cannock (WS11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
"Bupa - Coniston Way, Cannock",01543 502268,"Bupa - Coniston Way, Cannock",WS11 1DT,Walsall & Cannock (WS11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.conistonhousedental.co.uk,website unreachable
Cannock Dental Access Centre (Dental Services),0300 7907000,Cannock Dental Access Centre (Dental Services),WS11 5XY,Walsall & Cannock (WS11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.sssft.nhs.uk,website unreachable
Dentaire Dental Care,01543 871616,Dentaire Dental Care,WS12 1AG,Walsall & Cannock (WS12),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,https://www.dentaire.co.uk,
Inspire Dental Centre - Heath Hayes,01543 274039,Inspire Dental Centre - Heath Hayes,WS12 3EA,Walsall & Cannock (WS12),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Dam Street Dental Practice,01543 264630,Dam Street Dental Practice,WS13 6AE,Walsall & Cannock (WS13),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
Guys Dental Practice,01543 262825,Guys Dental Practice,WS13 6DZ,Walsall & Cannock (WS13),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Guys Dental Surgery,01543 262825,Guys Dental Surgery,WS13 6DZ,Walsall & Cannock (WS13),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Bore Street Dental Practice,01543 262133,Bore Street Dental Practice,WS13 6LL,Walsall & Cannock (WS13),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.borestreetdentalpractice.co.uk,
Spires Dental Practice,01543 411088,Spires Dental Practice,WS13 6QD,Walsall & Cannock (WS13),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.spiresdental.co.uk,
