practice_name,also_known_as,address,postcode,area,phone,website,nhs_private,pms_detected,pms_confidence,pms_evidence,blast_segment,wisecall_tier,adg_corporate,adg_group,bda_good_practice,provider_name,source,notes
The Village Dental Practice,,"Warrington Road, Culcheth, Warrington",WA3 5HH,Warrington (WA3),01925 765757,https://www.culchethvillagedental.co.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,The Village Dental Practice,CQC directory (auto-downloaded),
Main Street Dental Limited,,"69A Main Street, Frodsham",WA6 7DF,Warrington (WA6),01928 733974,https://www.mainstreetdental.co.uk,Unknown,Dentally,high,Dentally:dentr.net,Dentally confirmed,Tier 1 - Dentally integration ready,No,,Yes,MAIN STREET DENTAL LTD,CQC directory (auto-downloaded),
Revive Dental Care - Warrington,Revive Dental Care Limited,"Lever House, 9 Palmyra Square South, Warrington",WA1 1BL,Warrington (WA1),01604 602491,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Revive Dental Care Limited,CQC directory (auto-downloaded),
Signature Smiles - Warrington,,"Talking Teeth t/a Signature Smiles, Lever House,  9 Palmyra Square South, Warrington",WA1 1BL,Warrington (WA1),01925 414170,https://www.talkingteeth.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr Qaisar Jaffri,CQC directory (auto-downloaded),
Museum Street Dental Practice,,"11-13 Museum Street, Warrington",WA1 1JA,Warrington (WA1),01925 630221,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr Ian Chistopher Sproat,CQC directory (auto-downloaded),
Sankey Street Dental Practice,,"61A Sankey Street, Warrington",WA1 1SL,Warrington (WA1),01925 631451,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mrs Mary Samuel,CQC directory (auto-downloaded),
AMK Orthodontics Limited,Turret Orthodontics,"Unit 27-29, 2-4 Market Place, Warrington",WA1 1TW,Warrington (WA1),01619 260629,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,AMK Orthodontics Limited,CQC directory (auto-downloaded),
Bath Street Health and Wellbeing Centre,,"Legh Street, Warrington",WA1 1UG,Warrington (WA1),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,North Cheshire and Mersey NHS Foundation Trust,CQC directory (auto-downloaded),
Hall Street Dental Care,,"32 Hall Street, St Helens",WA10 1DL,Warrington (WA10),174422454,https://www.hallstreetdentalcare.com,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr Robert Stephen Burrows,CQC directory (auto-downloaded),website unreachable
Barrow Street Dental Practice,,"20 Barrow Street, St. Helens",WA10 1RX,Warrington (WA10),174426566,https://www.barrowstreetdental.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,Peter Martin and Sarah O'Brien,CQC directory (auto-downloaded),
