name,phone,company,postcode,area,pms,segment,tier,adg_corporate,adg_group,bda_good_practice,website,notes
The Village Dental Practice,01925 765757,The Village Dental Practice,WA3 5HH,Warrington (WA3),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.culchethvillagedental.co.uk,
Revive Dental Care - Warrington,01604 602491,Revive Dental Care - Warrington,WA1 1BL,Warrington (WA1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Signature Smiles - Warrington,01925 414170,Signature Smiles - Warrington,WA1 1BL,Warrington (WA1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.talkingteeth.co.uk,
Museum Street Dental Practice,01925 630221,Museum Street Dental Practice,WA1 1JA,Warrington (WA1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Sankey Street Dental Practice,01925 631451,Sankey Street Dental Practice,WA1 1SL,Warrington (WA1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
AMK Orthodontics Limited,01619 260629,AMK Orthodontics Limited,WA1 1TW,Warrington (WA1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Hall Street Dental Care,174422454,Hall Street Dental Care,WA10 1DL,Warrington (WA10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.hallstreetdentalcare.com,website unreachable
Barrow Street Dental Practice,174426566,Barrow Street Dental Practice,WA10 1RX,Warrington (WA10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,https://www.barrowstreetdental.co.uk,
St Helens Family Dental Clinic,174428225,St Helens Family Dental Clinic,WA10 1SN,Warrington (WA10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Lowe House Dental Care,01744 750701,Lowe House Dental Care,WA10 2DJ,Warrington (WA10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Corner Dental Surgery,174423677,Corner Dental Surgery,WA10 2JL,Warrington (WA10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Windle House Dental Practice,01744 820404,Windle House Dental Practice,WA10 2NN,Warrington (WA10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Laurel Villa Dental Practice,174424631,Laurel Villa Dental Practice,WA10 3HG,Warrington (WA10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Newtown Dental Centre,174420299,Newtown Dental Centre,WA10 4HA,Warrington (WA10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Broadway Dental Care,174424031,Broadway Dental Care,WA10 5PJ,Warrington (WA10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Kiln Lane Dental,174425776,Kiln Lane Dental,WA10 6AD,Warrington (WA10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.kilnlanedental.co.uk,
Haydock Dental Practice,01942 725306,Haydock Dental Practice,WA11 0LE,Warrington (WA11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Cross Pit Lane Dental Surgery,01744 882240,Cross Pit Lane Dental Surgery,WA11 8AJ,Warrington (WA11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.cpldentalsurgery.co.uk,
Rainford Orthodontic Practice,01744 882222,Rainford Orthodontic Practice,WA11 8HE,Warrington (WA11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.rainfordortho.co.uk,
Rainford Dental Surgery,01744 882150,Rainford Dental Surgery,WA11 8QL,Warrington (WA11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Alverna House Dental Practice,01744 739600,Alverna House Dental Practice,WA11 9QA,Warrington (WA11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.alvernahouse.co.uk,
Higher Lane Dental Practice,01925 752209,Higher Lane Dental Practice,WA13 0BA,Warrington (WA13),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.higherlanedental.co.uk,
Eagle Brow Dental Care and Implant Centre,01925 759123,Eagle Brow Dental Care and Implant Centre,WA13 0LJ,Warrington (WA13),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.eaglebrowdental.co.uk,website unreachable
Lymm Dental Practice,01925 756690,Lymm Dental Practice,WA13 0LS,Warrington (WA13),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Warrington Dental Care t/a Smilebay,01925 758616,Warrington Dental Care t/a Smilebay,WA13 9QW,Warrington (WA13),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
