practice_name,also_known_as,address,postcode,area,phone,website,nhs_private,pms_detected,pms_confidence,pms_evidence,blast_segment,wisecall_tier,adg_corporate,adg_group,bda_good_practice,provider_name,source,notes
New Road Dental,,"119 New Road, Croxley Green, Rickmansworth",WD3 3EN,Watford & Hertfordshire south (WD3),01923 776270,https://www.newroaddental.co.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,New Road Dental Limited,CQC directory (auto-downloaded),
Blue Cross Dental Care,,"10 The Parade,  High Street, Watford",WD17 1AA,Watford & Hertfordshire south (WD17),01923 698220,https://www.bluecrossdentalcare.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr Rafath Banu Affarka,CQC directory (auto-downloaded),
Junction Dental Centre Ltd,,"6 Station Road, Watford",WD17 1EQ,Watford & Hertfordshire south (WD17),0797 6303232,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Junction Dental Centre Ltd,CQC directory (auto-downloaded),
Herts Dental,,"34 Woodford Road, Watford",WD17 1PA,Watford & Hertfordshire south (WD17),01923 221039,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr. Rakesh Dedi,CQC directory (auto-downloaded),
Soliton Limited t/a Senova Dental Studios,,"10 Beechen Grove, Watford",WD17 2AD,Watford & Hertfordshire south (WD17),01923 233600,https://www.senovadental.com,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Soliton Limited,CQC directory (auto-downloaded),
The247dentist Emergency Dentist – Watford,,"Unit 4, 10 Beechen Grove, Watford",WD17 2AD,Watford & Hertfordshire south (WD17),0330 1759995,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,247 Dental Limited,CQC directory (auto-downloaded),
Better Care Clinic,,"53 Queens Road, Watford",WD17 2QN,Watford & Hertfordshire south (WD17),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Better Health Direct Limited,CQC directory (auto-downloaded),
Cassiobury Dental Practice,,"151 Cassiobury Drive, Watford",WD17 3AH,Watford & Hertfordshire south (WD17),01923 223278,https://www.cassioburydental.com,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr Vishal Bharatkumar Patel,CQC directory (auto-downloaded),
Watford Smiles - 107 Hempstead Road,,"107 Hempstead Road, Watford",WD17 3HE,Watford & Hertfordshire south (WD17),01923 231861,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,"Ankush Garg, Vishal Bhudia, Adrian Mullish",CQC directory (auto-downloaded),
Watford Orthodontic Practice Limited,,"42 Hempstead Road, Watford",WD17 4ER,Watford & Hertfordshire south (WD17),01923 223758,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Watford Orthodontic Practice Limited,CQC directory (auto-downloaded),
Novocare Dental,,"32 The Avenue, Watford",WD17 4NS,Watford & Hertfordshire south (WD17),01923 817942,https://www.novocaredental.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Bargain Dentist.Com Limited,CQC directory (auto-downloaded),
Watford Orthodontics Ltd,,"Unit B, Wilmington Close, Watford",WD18 0FQ,Watford & Hertfordshire south (WD18),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Watford Orthodontics Ltd,CQC directory (auto-downloaded),
Refresh Dental Care,,"2A Rosslyn Road, Watford",WD18 0JY,Watford & Hertfordshire south (WD18),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Refresh Dental Care Partnership,CQC directory (auto-downloaded),
Market Street Dental Practice,,"8 Market Street, Watford",WD18 0PD,Watford & Hertfordshire south (WD18),01923 224225,https://www.marketstreetdentalpractice.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr Daryoush Ghamari Sair,CQC directory (auto-downloaded),
Cassio Road Dental Practice,,"102 Cassio Road, Watford",WD18 0QL,Watford & Hertfordshire south (WD18),01923 231803,https://www.cassioroaddental.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,The Watford Dental Partnership Limited,CQC directory (auto-downloaded),
Skin & Smiles @ Whippendell Dental,,"18 Whippendell Road, Watford",WD18 7LU,Watford & Hertfordshire south (WD18),01923 226336,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Skin & Smiles Ltd,CQC directory (auto-downloaded),
Caspian Dental Clinic,,"Brunel court, 22 Aldenham Road, Watford",WD19 4FR,Watford & Hertfordshire south (WD19),01923 254979,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Ms Kimia Mirzakhani,CQC directory (auto-downloaded),
Eastbury Dental,,"99 Eastbury Road, Watford",WD19 4JP,Watford & Hertfordshire south (WD19),01923 255653,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Kiis Dental Watford Ltd,CQC directory (auto-downloaded),
Carpenders Park Dental Practice,,"13 The Parade, Delta Gain, Watford",WD19 5BL,Watford & Hertfordshire south (WD19),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr Reena Parmar,CQC directory (auto-downloaded),
N Bloom & Associates - Station Square,,"20a Station Square, Station Approach, Watford",WD19 7DT,Watford & Hertfordshire south (WD19),02084 286712,https://www.oxheydental.com,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr. Norman Bloom,CQC directory (auto-downloaded),
Bushey Dental Surgery,,"51 High Street, Bushey",WD23 1BD,Watford & Hertfordshire south (WD23),02089 505085,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Sequentis Partnership LTD,CQC directory (auto-downloaded),
Bushey Heath Dental Centre,,"104a High Road, Bushey Heath, Bushey",WD23 1GE,Watford & Hertfordshire south (WD23),02089 502636,https://www.busheydental.com,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr. Baksish Sidhu,CQC directory (auto-downloaded),
The Green Bushey Partnership,,"138 High Street, Bushey",WD23 3DJ,Watford & Hertfordshire south (WD23),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,The Green Bushey Partnership,CQC directory (auto-downloaded),
Chiltern Avenue Dental Practice,,"32 Chiltern Avenue, Bushey",WD23 4QB,Watford & Hertfordshire south (WD23),02089 502664,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr Sachin Anil Shah,CQC directory (auto-downloaded),
Watford Dental Practice - St Albans Road,,"205 St Albans Road, Watford",WD24 5BH,Watford & Hertfordshire south (WD24),01923 225437,https://www.watford-dental.com,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Watford Dental Practice,CQC directory (auto-downloaded),
Watford Orthodontic Centre,,"Apex House, 60 Leavesden Road, Watford",WD24 5DN,Watford & Hertfordshire south (WD24),01923 884340,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Ortho-Tek Limited,CQC directory (auto-downloaded),
Chrysalis Dental Practice - Watford,,"161-163 Leavesden Road, Watford",WD24 5EP,Watford & Hertfordshire south (WD24),01923 222877,https://www.chrysalisdentalpractice.com,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr. Minesh Patel,CQC directory (auto-downloaded),
M E Friedmann & Associates,,"The Dental Practice, 452 St Albans Road, Watford",WD24 6PJ,Watford & Hertfordshire south (WD24),01923 221996,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr. Marc Efraim Friedmann,CQC directory (auto-downloaded),
Same Day Dentist,,"Unit 9 Odhams Trading Estate, St Albans Road, Watford",WD24 7RT,Watford & Hertfordshire south (WD24),0754 7800341,https://www.same-day-dentist.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Watford Medical LTD,CQC directory (auto-downloaded),
Watford Smile Clinic,,"2 Cunningham Way, Leavesden, Watford",WD25 7NL,Watford & Hertfordshire south (WD25),01923 679746,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Watford Smile Clinic Limited,CQC directory (auto-downloaded),
Phoenix Medical Clinic,Phoenix Medical Clinic Limited,"798a, St Albans Rd, Watford",WD25 9FF,Watford & Hertfordshire south (WD25),0772 7180255,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Phoenix Medical Clinic Ltd,CQC directory (auto-downloaded),
Elite Smiles Dental and Beauty,,"1-2, Garston Park Parade, Watford",WD25 9LQ,Watford & Hertfordshire south (WD25),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Elite Smiles Dental and Beauty Limited,CQC directory (auto-downloaded),
Garston Lodge Dental Practice,,"26 Garston Lane, Garston, Watford",WD25 9QL,Watford & Hertfordshire south (WD25),01923 662766,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr. Tania Ross,CQC directory (auto-downloaded),
The Rickmansworth Dental Centre,,"133b High Street, Rickmansworth",WD3 1AN,Watford & Hertfordshire south (WD3),01923 777450,https://www.thedentalcentre.org,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr. Adam Deitsch,CQC directory (auto-downloaded),
Agno Smile Ltd T/A Agno Dental and Aesthetics,,"93-95 High Street, Rickmansworth",WD3 1EF,Watford & Hertfordshire south (WD3),01923 710600,https://www.qualidental.co.uk,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Agno Smile Limited,CQC directory (auto-downloaded),website unreachable
Chartwell Dental Clinic,,"194 Watford Road, Croxley Green, Rickmansworth",WD3 3DB,Watford & Hertfordshire south (WD3),01923 244133,https://www.chartwell-dental.co.uk,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Chartwell Dental Practice Limited,CQC directory (auto-downloaded),website unreachable
Croxley Dental Clinic,,"131 Watford Road, Croxley Green, Rickmansworth",WD3 3DX,Watford & Hertfordshire south (WD3),01923 775135,https://www.croxleydental.com,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,ARCK Dental Care Ltd,CQC directory (auto-downloaded),
Berry Lane Dental Clinic,,"45 Berry Lane, Rickmansworth",WD3 4DE,Watford & Hertfordshire south (WD3),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr. Scott Aaron,CQC directory (auto-downloaded),
Chorleywood Dental Practice,,"6 Lower Road, Chorleywood, Rickmansworth",WD3 5LH,Watford & Hertfordshire south (WD3),01923 284488,https://www.cndp.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr. Meenesh Shah,CQC directory (auto-downloaded),
Rickmansworth Orthodontics,,"11 Mount View, Rickmansworth",WD3 7BA,Watford & Hertfordshire south (WD3),01923 721156,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Rickmansworth Orthodontic Practice Limited,CQC directory (auto-downloaded),
Berkeley Dental,,"15 Nightingale Road, Rickmansworth",WD3 7DE,Watford & Hertfordshire south (WD3),01923 778359,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Drs A&A Gordon,CQC directory (auto-downloaded),
Berkeley Dental Clinic,,"15 Nightingale Road, Rickmansworth",WD3 7DE,Watford & Hertfordshire south (WD3),0755 4211212,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,BMAJESTIC Ltd,CQC directory (auto-downloaded),
Inspire Dental Care,,"103 Uxbridge Road, Rickmansworth",WD3 7DJ,Watford & Hertfordshire south (WD3),01923 774555,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr. Mahesh Patel,CQC directory (auto-downloaded),
The Red House Dental Practice,,"28 High Street, Kings Langley",WD4 8BH,Watford & Hertfordshire south (WD4),01923 265767,https://www.redhousedental.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr Seema Dewa,CQC directory (auto-downloaded),
Abbots Langley Dental Practice,,"2 Abbots Road, Abbots Langley",WD5 0AZ,Watford & Hertfordshire south (WD5),01923 262220,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr. Richard Colin,CQC directory (auto-downloaded),
Katherine Place Dental Practice,,"15 Katherine Place, College Road, Abbots Langley",WD5 0BT,Watford & Hertfordshire south (WD5),01923 681866,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr Kunal K Shah,CQC directory (auto-downloaded),
Orthoclinic,,"171 Shenley Road, Borehamwood",WD6 1AH,Watford & Hertfordshire south (WD6),02082 075800,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,Borehamwood Ortho Clinic Limited,CQC directory (auto-downloaded),
Borehamwood Dental Practice,,"199a Shenley Road, Borehamwood",WD6 1AT,Watford & Hertfordshire south (WD6),02089 531402,https://www.borehamwoodddental.com,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Borehamwood Dental Practice Ltd,CQC directory (auto-downloaded),website unreachable
Dental Studios,,"1 Clarendon Road, Borehamwood",WD6 1BD,Watford & Hertfordshire south (WD6),02089 532646,https://www.dentalstudios.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dental Studios,CQC directory (auto-downloaded),
Elstree Dental,,"10 Furzehill Parade, Shenley Road, Borehamwood",WD6 1DX,Watford & Hertfordshire south (WD6),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Borehamwood Dental Practice Ltd,CQC directory (auto-downloaded),
Manor Way Dental Practice,,"Dental Surgery, 27 Manor Way, Borehamwood",WD6 1QJ,Watford & Hertfordshire south (WD6),02089 533665,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Gill/Lightstone,CQC directory (auto-downloaded),
Drayton House Dental Practice,,"48 Drayton Road, Borehamwood",WD6 2BX,Watford & Hertfordshire south (WD6),02089 534102,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Khush Shah and Ria Patel,CQC directory (auto-downloaded),
Orthodontic Practice Borehamwood,,"2 Drayton Road, Borehamwood",WD6 2BX,Watford & Hertfordshire south (WD6),02089 534777,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr. Alan Rumbak,CQC directory (auto-downloaded),
Cornerhouse Dental Care,,"High Street, Elstree, Borehamwood",WD6 3BY,Watford & Hertfordshire south (WD6),02082 075707,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Adria Dental Limited,CQC directory (auto-downloaded),
Centennial Park Dental,,"Unit 507,  Ground Floor, Centennial Park,  Centennial Avenue,  Elstree, Borehamwood",WD6 3FG,Watford & Hertfordshire south (WD6),02080 361267,https://www.cpdent.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,CPD Healthcare Limited,CQC directory (auto-downloaded),
Leeming Dental Clinic,,"27 Leeming Road, Borehamwood",WD6 4EB,Watford & Hertfordshire south (WD6),02089 535722,https://www.leemingdentalclinic.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Darius Sair Limited,CQC directory (auto-downloaded),
Borehamwood,,"43-45, Theobald Street, Borehamwood",WD6 4RN,Watford & Hertfordshire south (WD6),0794 6456661,https://artistryinsmiles.co.uk,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,SmileWell Dental Limited,CQC directory (auto-downloaded),website unreachable
Harley House Dental Practice,,"Harley House, Brook Close, Borehamwood",WD6 5BT,Watford & Hertfordshire south (WD6),02089 533827,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Harley House Dental Practice,CQC directory (auto-downloaded),
Hartforde Dental Centre,,"107 Hartforde Road, Borehamwood",WD6 5HY,Watford & Hertfordshire south (WD6),02034 229696,https://www.hartfordedental.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Hartforde Dental Centre Limited,CQC directory (auto-downloaded),
The Dental Clinic Limited,Enamel Dental Care - The Dental Clinic Radlett,"359 Watling Street, Radlett",WD7 7LB,Watford & Hertfordshire south (WD7),01923 859678,https://www.dental-radlett.com,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,The Dental Clinic Limited,CQC directory (auto-downloaded),
Watling Street Dental Surgery,,"66 Watling Street, Radlett",WD7 7NP,Watford & Hertfordshire south (WD7),01923 855111,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr Darshan Venkateswara Boindala,CQC directory (auto-downloaded),
Paragondental,,"179 Watling Street, Radlett",WD7 7NQ,Watford & Hertfordshire south (WD7),01923 856367,https://www.paragondental.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr. Andrew Flatters,CQC directory (auto-downloaded),
Dillwyn and Caroline Griffiths Dental Surgery,,"69 Watford Road, Radlett",WD7 8LU,Watford & Hertfordshire south (WD7),01923 853307,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dillwyn and Caroline Griffiths Dental Surgery,CQC directory (auto-downloaded),
Black Lion Hill Partnership,,"The Gingerbread House, Black Lion Hill, Shenley,  Radlett",WD7 9DE,Watford & Hertfordshire south (WD7),01923 852852,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Black Lion Hill Partnership,CQC directory (auto-downloaded),
Gingerbread House Dental and Health Centre,,"The Gingerbread House, Black Lion Hill, Shenley,  Radlett",WD7 9DE,Watford & Hertfordshire south (WD7),01923 852852,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Oasis Dental Care (Central) Limited,CQC directory (auto-downloaded),
Bupa Dental Care Watford,,"97 St Albans Road, Watford",WD17 1SJ,Watford & Hertfordshire south (WD17),01923 255557,https://www.junctiondental.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 4 - ADG corporate group (lower priority),Yes,Bupa Dental Care,No,Oasis Dental Care (Central) Limited,CQC directory (auto-downloaded),
White House Dental,,"70 High Road, Bushey",WD23 1GG,Watford & Hertfordshire south (WD23),02089 509560,,Unknown,,,,Unknown PMS - manual check,Tier 4 - ADG corporate group (lower priority),Yes,gensmile,No,Gensmile Dental Care Limited,CQC directory (auto-downloaded),
Bupa Dental Care Bushey,,"138 High Street, Bushey",WD23 3DJ,Watford & Hertfordshire south (WD23),01494 727638,,Unknown,,,,Unknown PMS - manual check,Tier 4 - ADG corporate group (lower priority),Yes,Bupa Dental Care,No,Xeon Smiles UK Limited,CQC directory (auto-downloaded),
Rosebank Dental Practice,,"Shire Lane,  Chorleywood, Rickmansworth",WD3 5NH,Watford & Hertfordshire south (WD3),01923 282691,,Unknown,,,,Unknown PMS - manual check,Tier 4 - ADG corporate group (lower priority),Yes,Colosseum Dental,No,Colosseum Dental,CQC directory (auto-downloaded),
