name,phone,company,postcode,area,pms,segment,tier,adg_corporate,adg_group,bda_good_practice,website,notes
New Road Dental,01923 776270,New Road Dental,WD3 3EN,Watford & Hertfordshire south (WD3),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.newroaddental.co.uk,
Blue Cross Dental Care,01923 698220,Blue Cross Dental Care,WD17 1AA,Watford & Hertfordshire south (WD17),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.bluecrossdentalcare.co.uk,
Junction Dental Centre Ltd,0797 6303232,Junction Dental Centre Ltd,WD17 1EQ,Watford & Hertfordshire south (WD17),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Herts Dental,01923 221039,Herts Dental,WD17 1PA,Watford & Hertfordshire south (WD17),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Soliton Limited t/a Senova Dental Studios,01923 233600,Soliton Limited t/a Senova Dental Studios,WD17 2AD,Watford & Hertfordshire south (WD17),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.senovadental.com,
The247dentist Emergency Dentist – Watford,0330 1759995,The247dentist Emergency Dentist – Watford,WD17 2AD,Watford & Hertfordshire south (WD17),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Cassiobury Dental Practice,01923 223278,Cassiobury Dental Practice,WD17 3AH,Watford & Hertfordshire south (WD17),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.cassioburydental.com,
Watford Smiles - 107 Hempstead Road,01923 231861,Watford Smiles - 107 Hempstead Road,WD17 3HE,Watford & Hertfordshire south (WD17),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Watford Orthodontic Practice Limited,01923 223758,Watford Orthodontic Practice Limited,WD17 4ER,Watford & Hertfordshire south (WD17),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Novocare Dental,01923 817942,Novocare Dental,WD17 4NS,Watford & Hertfordshire south (WD17),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.novocaredental.co.uk,
Market Street Dental Practice,01923 224225,Market Street Dental Practice,WD18 0PD,Watford & Hertfordshire south (WD18),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.marketstreetdentalpractice.co.uk,
Cassio Road Dental Practice,01923 231803,Cassio Road Dental Practice,WD18 0QL,Watford & Hertfordshire south (WD18),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,https://www.cassioroaddental.co.uk,
Skin & Smiles @ Whippendell Dental,01923 226336,Skin & Smiles @ Whippendell Dental,WD18 7LU,Watford & Hertfordshire south (WD18),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Caspian Dental Clinic,01923 254979,Caspian Dental Clinic,WD19 4FR,Watford & Hertfordshire south (WD19),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Eastbury Dental,01923 255653,Eastbury Dental,WD19 4JP,Watford & Hertfordshire south (WD19),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
N Bloom & Associates - Station Square,02084 286712,N Bloom & Associates - Station Square,WD19 7DT,Watford & Hertfordshire south (WD19),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.oxheydental.com,
Bushey Dental Surgery,02089 505085,Bushey Dental Surgery,WD23 1BD,Watford & Hertfordshire south (WD23),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Bushey Heath Dental Centre,02089 502636,Bushey Heath Dental Centre,WD23 1GE,Watford & Hertfordshire south (WD23),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.busheydental.com,
Chiltern Avenue Dental Practice,02089 502664,Chiltern Avenue Dental Practice,WD23 4QB,Watford & Hertfordshire south (WD23),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Watford Dental Practice - St Albans Road,01923 225437,Watford Dental Practice - St Albans Road,WD24 5BH,Watford & Hertfordshire south (WD24),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.watford-dental.com,
Watford Orthodontic Centre,01923 884340,Watford Orthodontic Centre,WD24 5DN,Watford & Hertfordshire south (WD24),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Chrysalis Dental Practice - Watford,01923 222877,Chrysalis Dental Practice - Watford,WD24 5EP,Watford & Hertfordshire south (WD24),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.chrysalisdentalpractice.com,
M E Friedmann & Associates,01923 221996,M E Friedmann & Associates,WD24 6PJ,Watford & Hertfordshire south (WD24),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Same Day Dentist,0754 7800341,Same Day Dentist,WD24 7RT,Watford & Hertfordshire south (WD24),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.same-day-dentist.co.uk,
Watford Smile Clinic,01923 679746,Watford Smile Clinic,WD25 7NL,Watford & Hertfordshire south (WD25),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Phoenix Medical Clinic,0772 7180255,Phoenix Medical Clinic,WD25 9FF,Watford & Hertfordshire south (WD25),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Garston Lodge Dental Practice,01923 662766,Garston Lodge Dental Practice,WD25 9QL,Watford & Hertfordshire south (WD25),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
The Rickmansworth Dental Centre,01923 777450,The Rickmansworth Dental Centre,WD3 1AN,Watford & Hertfordshire south (WD3),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.thedentalcentre.org,
Agno Smile Ltd T/A Agno Dental and Aesthetics,01923 710600,Agno Smile Ltd T/A Agno Dental and Aesthetics,WD3 1EF,Watford & Hertfordshire south (WD3),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.qualidental.co.uk,website unreachable
Chartwell Dental Clinic,01923 244133,Chartwell Dental Clinic,WD3 3DB,Watford & Hertfordshire south (WD3),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.chartwell-dental.co.uk,website unreachable
Croxley Dental Clinic,01923 775135,Croxley Dental Clinic,WD3 3DX,Watford & Hertfordshire south (WD3),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.croxleydental.com,
Chorleywood Dental Practice,01923 284488,Chorleywood Dental Practice,WD3 5LH,Watford & Hertfordshire south (WD3),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.cndp.co.uk,
Rickmansworth Orthodontics,01923 721156,Rickmansworth Orthodontics,WD3 7BA,Watford & Hertfordshire south (WD3),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Berkeley Dental,01923 778359,Berkeley Dental,WD3 7DE,Watford & Hertfordshire south (WD3),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Berkeley Dental Clinic,0755 4211212,Berkeley Dental Clinic,WD3 7DE,Watford & Hertfordshire south (WD3),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Inspire Dental Care,01923 774555,Inspire Dental Care,WD3 7DJ,Watford & Hertfordshire south (WD3),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
The Red House Dental Practice,01923 265767,The Red House Dental Practice,WD4 8BH,Watford & Hertfordshire south (WD4),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.redhousedental.co.uk,
Abbots Langley Dental Practice,01923 262220,Abbots Langley Dental Practice,WD5 0AZ,Watford & Hertfordshire south (WD5),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Katherine Place Dental Practice,01923 681866,Katherine Place Dental Practice,WD5 0BT,Watford & Hertfordshire south (WD5),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Orthoclinic,02082 075800,Orthoclinic,WD6 1AH,Watford & Hertfordshire south (WD6),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
Borehamwood Dental Practice,02089 531402,Borehamwood Dental Practice,WD6 1AT,Watford & Hertfordshire south (WD6),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.borehamwoodddental.com,website unreachable
Dental Studios,02089 532646,Dental Studios,WD6 1BD,Watford & Hertfordshire south (WD6),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.dentalstudios.co.uk,
Manor Way Dental Practice,02089 533665,Manor Way Dental Practice,WD6 1QJ,Watford & Hertfordshire south (WD6),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Drayton House Dental Practice,02089 534102,Drayton House Dental Practice,WD6 2BX,Watford & Hertfordshire south (WD6),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Orthodontic Practice Borehamwood,02089 534777,Orthodontic Practice Borehamwood,WD6 2BX,Watford & Hertfordshire south (WD6),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Cornerhouse Dental Care,02082 075707,Cornerhouse Dental Care,WD6 3BY,Watford & Hertfordshire south (WD6),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Centennial Park Dental,02080 361267,Centennial Park Dental,WD6 3FG,Watford & Hertfordshire south (WD6),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.cpdent.co.uk,
Leeming Dental Clinic,02089 535722,Leeming Dental Clinic,WD6 4EB,Watford & Hertfordshire south (WD6),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.leemingdentalclinic.co.uk,
Borehamwood,0794 6456661,Borehamwood,WD6 4RN,Watford & Hertfordshire south (WD6),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://artistryinsmiles.co.uk,website unreachable
Harley House Dental Practice,02089 533827,Harley House Dental Practice,WD6 5BT,Watford & Hertfordshire south (WD6),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Hartforde Dental Centre,02034 229696,Hartforde Dental Centre,WD6 5HY,Watford & Hertfordshire south (WD6),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.hartfordedental.co.uk,
The Dental Clinic Limited,01923 859678,The Dental Clinic Limited,WD7 7LB,Watford & Hertfordshire south (WD7),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.dental-radlett.com,
Watling Street Dental Surgery,01923 855111,Watling Street Dental Surgery,WD7 7NP,Watford & Hertfordshire south (WD7),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Paragondental,01923 856367,Paragondental,WD7 7NQ,Watford & Hertfordshire south (WD7),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.paragondental.co.uk,
Dillwyn and Caroline Griffiths Dental Surgery,01923 853307,Dillwyn and Caroline Griffiths Dental Surgery,WD7 8LU,Watford & Hertfordshire south (WD7),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Black Lion Hill Partnership,01923 852852,Black Lion Hill Partnership,WD7 9DE,Watford & Hertfordshire south (WD7),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Gingerbread House Dental and Health Centre,01923 852852,Gingerbread House Dental and Health Centre,WD7 9DE,Watford & Hertfordshire south (WD7),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Bupa Dental Care Watford,01923 255557,Bupa Dental Care Watford,WD17 1SJ,Watford & Hertfordshire south (WD17),Unknown,Unknown PMS - manual check,Tier 4 - ADG corporate group (lower priority),Yes,Bupa Dental Care,No,https://www.junctiondental.co.uk,
White House Dental,02089 509560,White House Dental,WD23 1GG,Watford & Hertfordshire south (WD23),Unknown,Unknown PMS - manual check,Tier 4 - ADG corporate group (lower priority),Yes,gensmile,No,,
Bupa Dental Care Bushey,01494 727638,Bupa Dental Care Bushey,WD23 3DJ,Watford & Hertfordshire south (WD23),Unknown,Unknown PMS - manual check,Tier 4 - ADG corporate group (lower priority),Yes,Bupa Dental Care,No,,
Rosebank Dental Practice,01923 282691,Rosebank Dental Practice,WD3 5NH,Watford & Hertfordshire south (WD3),Unknown,Unknown PMS - manual check,Tier 4 - ADG corporate group (lower priority),Yes,Colosseum Dental,No,,
