practice_name,also_known_as,address,postcode,area,phone,website,nhs_private,pms_detected,pms_confidence,pms_evidence,blast_segment,wisecall_tier,adg_corporate,adg_group,bda_good_practice,provider_name,source,notes
Circ Dental,,"Unit A,  The Standish Centre, Cross Street,  Standish, Wigan",WN6 0HQ,Wigan (WN6),01257 733633,https://www.circdental.co.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Jones & Jones Dental Limited,CQC directory (auto-downloaded),
Parbold Dental Practice,,"8A The Common, Parbold",WN8 7DA,Wigan (WN8),01257 464400,https://www.parbolddental.co.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Rowley Healthcare Limited,CQC directory (auto-downloaded),
Total Orthodontics Wigan,,"2-6 King Street, Wigan",WN1 1BS,Wigan (WN1),0795 8553330,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Wigan Orthodontics Centre Ltd,CQC directory (auto-downloaded),
Market Street Dental Practice,,"28 Market Street, Wigan",WN1 1HX,Wigan (WN1),01942 243720,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,G K A (1996) Ltd,CQC directory (auto-downloaded),
Claremont Dental Surgery - Wigan,,"Mesnes Street, Wigan",WN1 1SS,Wigan (WN1),01942 242334,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Claremont Dental Surgery,CQC directory (auto-downloaded),
WDIC Ltd,,"44 Whelley, Wigan",WN1 3PQ,Wigan (WN1),01942 826366,https://www.wigandentalcentre.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,WDIC Ltd,CQC directory (auto-downloaded),
Talking Teeth Dental Practice,,"6 Scot Lane, Aspull, Wigan",WN2 1YX,Wigan (WN2),01942 833595,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr Qaisar Jaffri,CQC directory (auto-downloaded),
Talking Teeth Dental Practice,,"56 Ince Green Lane, Ince, Wigan",WN2 2AR,Wigan (WN2),01942 323058,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr Qaisar Jaffri,CQC directory (auto-downloaded),
Hindley Dental Practice,,"1-3 Ladies Lane, Hindley, Wigan",WN2 2QA,Wigan (WN2),01942 255315,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr. Shahram Mirtorabi,CQC directory (auto-downloaded),
Smile Perfection,,"The Old Police Station, 26 Castle Hill Road,  Hindley, Wigan",WN2 4BJ,Wigan (WN2),0790 0213408,https://www.smileperfection.co.uk,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Smile Perfection (North West) Ltd,CQC directory (auto-downloaded),website unreachable
Platt Bridge Dental Practice,,"152 Walthew Lane, Platt Bridge, Wigan",WN2 5AW,Wigan (WN2),01942 865115,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,G K A (1996) Ltd,CQC directory (auto-downloaded),
HMP Hindley,,"Barracks Road, Bickershaw, Wigan",WN2 5TH,Wigan (WN2),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Time for Teeth Limited,CQC directory (auto-downloaded),
Bryn Dental Practice t/a Smiles R US Limited,,"8 Downall Green Road, Ashton-in-Makerfield, Wigan",WN4 0DH,Wigan (WN4),01942 275001,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Smiles R US Limited,CQC directory (auto-downloaded),
Ashton Smile Clinic,,"16 The Gerard Centre,  Gerard Street, Ashton-in-makerfield, Wigan",WN4 9AN,Wigan (WN4),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Ashton Smile Ltd,CQC directory (auto-downloaded),
Ashton Dental and Implant Centre,,"19 Wigan Road, Ashton-in-Makerfield, Wigan",WN4 9AR,Wigan (WN4),01942 271827,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,WDIC Ltd,CQC directory (auto-downloaded),
Bryn Street Dental Clinic Limited,,"23 Bryn Street, Ashton-in-Makerfield, Wigan",WN4 9AX,Wigan (WN4),01942 727465,https://www.brynstreetdental.co.uk,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Bryn Street Dental Clinic Limited,CQC directory (auto-downloaded),website unreachable
Dental Surgery - Main Street Billinge,Saxon Dental Care,"155 Main Street, Billinge, Wigan",WN5 7PA,Wigan (WN5),01744 895538,https://www.implantsandcrowns.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr. Thomas Saxon,CQC directory (auto-downloaded),
Church Street Dental Practice,,"52 Church Street, Orrell, Wigan",WN5 8TQ,Wigan (WN5),01695 625565,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,Mr Venkatesh Ankam Srinivasa,CQC directory (auto-downloaded),
