name,phone,company,postcode,area,pms,segment,tier,adg_corporate,adg_group,bda_good_practice,website,notes
Total Orthodontics Wigan,0795 8553330,Total Orthodontics Wigan,WN1 1BS,Wigan (WN1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Market Street Dental Practice,01942 243720,Market Street Dental Practice,WN1 1HX,Wigan (WN1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Claremont Dental Surgery - Wigan,01942 242334,Claremont Dental Surgery - Wigan,WN1 1SS,Wigan (WN1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
WDIC Ltd,01942 826366,WDIC Ltd,WN1 3PQ,Wigan (WN1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.wigandentalcentre.co.uk,
Talking Teeth Dental Practice,01942 833595,Talking Teeth Dental Practice,WN2 1YX,Wigan (WN2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Talking Teeth Dental Practice,01942 323058,Talking Teeth Dental Practice,WN2 2AR,Wigan (WN2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Hindley Dental Practice,01942 255315,Hindley Dental Practice,WN2 2QA,Wigan (WN2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Smile Perfection,0790 0213408,Smile Perfection,WN2 4BJ,Wigan (WN2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.smileperfection.co.uk,website unreachable
Platt Bridge Dental Practice,01942 865115,Platt Bridge Dental Practice,WN2 5AW,Wigan (WN2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
Bryn Dental Practice t/a Smiles R US Limited,01942 275001,Bryn Dental Practice t/a Smiles R US Limited,WN4 0DH,Wigan (WN4),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Ashton Dental and Implant Centre,01942 271827,Ashton Dental and Implant Centre,WN4 9AR,Wigan (WN4),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Bryn Street Dental Clinic Limited,01942 727465,Bryn Street Dental Clinic Limited,WN4 9AX,Wigan (WN4),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.brynstreetdental.co.uk,website unreachable
Dental Surgery - Main Street Billinge,01744 895538,Dental Surgery - Main Street Billinge,WN5 7PA,Wigan (WN5),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.implantsandcrowns.co.uk,
Church Street Dental Practice,01695 625565,Church Street Dental Practice,WN5 8TQ,Wigan (WN5),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
Green and Green Dental Surgery,01942 323939,Green and Green Dental Surgery,WN5 9AL,Wigan (WN5),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Kinshuck Family Dentistry Limited,01942 214605,Kinshuck Family Dentistry Limited,WN5 9DL,Wigan (WN5),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.famdentistry.co.uk,
"Ravat & Ray Dental Care, Wigan",01942 481929,"Ravat & Ray Dental Care, Wigan",WN5 9QX,Wigan (WN5),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.ravatandray.com,
Standish Dental Practice,01257 422114,Standish Dental Practice,WN6 0JT,Wigan (WN6),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Gidlow Dental Surgery,01942 824167,Gidlow Dental Surgery,WN6 7PJ,Wigan (WN6),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Shevington Dental Practice,01257 252697,Shevington Dental Practice,WN6 8HA,Wigan (WN6),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Avenue Dental Surgery,01942 676336,Avenue Dental Surgery,WN7 1ES,Wigan (WN7),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.avenuedentalsurgery.co.uk,
Leigh Walk-In Centre,01925 635911,Leigh Walk-In Centre,WN7 1HR,Wigan (WN7),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
GreenLane Dental Practice,01942 260597,GreenLane Dental Practice,WN7 2LD,Wigan (WN7),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
The Railway Road Dental Surgery,01942 673201,The Railway Road Dental Surgery,WN7 4AU,Wigan (WN7),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Acer Aesthetics Ltd,0798 8163716,Acer Aesthetics Ltd,WN7 5SJ,Wigan (WN7),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
St Raphael's Dental Practice Limited,01695 627617,St Raphael's Dental Practice Limited,WN8 0AH,Wigan (WN8),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Towerhill Dental Surgery,01695 622410,Towerhill Dental Surgery,WN8 0DU,Wigan (WN8),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Hall Green Dental Practice,01695 622066,Hall Green Dental Practice,WN8 0PB,Wigan (WN8),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Firbeck Dental Surgery,01695 726343,Firbeck Dental Surgery,WN8 6PW,Wigan (WN8),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Ashurst Dental Surgery,01695 556329,Ashurst Dental Surgery,WN8 6UH,Wigan (WN8),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Sandy Lane Dental Practice,01695 724052,Sandy Lane Dental Practice,WN8 8LA,Wigan (WN8),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
Digmoor Dental Practice,01695 724736,Digmoor Dental Practice,WN8 9HP,Wigan (WN8),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Mydentist - Advanced Oral Health Centre - Red Rose - Wigan,01942 242632,Mydentist - Advanced Oral Health Centre - Red Rose - Wigan,WN1 1SJ,Wigan (WN1),MyDentist corporate,Unknown PMS - manual check,Tier 4 - ADG corporate group (lower priority),Yes,mydentist,No,https://www.mydentist.co.uk,
Mydentist -Advanced Oral Health Care - Red Rose - Wigan,01942 242632,Mydentist -Advanced Oral Health Care - Red Rose - Wigan,WN1 1SJ,Wigan (WN1),MyDentist corporate,Unknown PMS - manual check,Tier 4 - ADG corporate group (lower priority),Yes,mydentist,No,https://www.mydentist.co.uk,
Mydentist - Standishgate - Wigan,01942 242620,Mydentist - Standishgate - Wigan,WN1 1XP,Wigan (WN1),MyDentist corporate,Unknown PMS - manual check,Tier 4 - ADG corporate group (lower priority),Yes,mydentist,No,https://www.mydentist.co.uk,
Mydentist - Cross Street - Wigan,01942 200600,Mydentist - Cross Street - Wigan,WN2 3AT,Wigan (WN2),MyDentist corporate,Unknown PMS - manual check,Tier 4 - ADG corporate group (lower priority),Yes,mydentist,No,https://www.mydentist.co.uk,
MyDentist - Atherton Road - Hindley,01942 258888,MyDentist - Atherton Road - Hindley,WN2 3EA,Wigan (WN2),MyDentist corporate,Unknown PMS - manual check,Tier 4 - ADG corporate group (lower priority),Yes,mydentist,No,https://www.mydentist.co.uk,
Mydentist - Rainford Road - Billinge,01744 892616,Mydentist - Rainford Road - Billinge,WN5 7PF,Wigan (WN5),MyDentist corporate,Unknown PMS - manual check,Tier 4 - ADG corporate group (lower priority),Yes,mydentist,No,https://www.mydentist.co.uk,
Pemberton Dental Practice,194222815,Pemberton Dental Practice,WN5 8AG,Wigan (WN5),Unknown,Unknown PMS - manual check,Tier 4 - ADG corporate group (lower priority),Yes,Rodericks Dental,No,,
Mydentist - Moor Road - Orrell,01942 215091,Mydentist - Moor Road - Orrell,WN5 8ND,Wigan (WN5),MyDentist corporate,Unknown PMS - manual check,Tier 4 - ADG corporate group (lower priority),Yes,mydentist,No,https://www.mydentist.co.uk,
Avenue Dental Centre,01942 676336,Avenue Dental Centre,WN7 1ES,Wigan (WN7),Unknown,Unknown PMS - manual check,Tier 4 - ADG corporate group (lower priority),Yes,A&U Dental,No,,
mydentist - Spinning Gate - Leigh,01204 799799,mydentist - Spinning Gate - Leigh,WN7 4PG,Wigan (WN7),Unknown,Unknown PMS - manual check,Tier 4 - ADG corporate group (lower priority),Yes,mydentist,No,,
