practice_name,also_known_as,address,postcode,area,phone,website,nhs_private,pms_detected,pms_confidence,pms_evidence,blast_segment,wisecall_tier,adg_corporate,adg_group,bda_good_practice,provider_name,source,notes
Wolverhampton Dental,,"21 Raynor Road, Wolverhampton",WV10 9QU,Wolverhampton (WV10),01902 723400,https://www.wolverhamptondentist.co.uk,Unknown,Dentally,high,Dentally:dentr.net,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Wolverhampton Dental,CQC directory (auto-downloaded),
Perfect Pearls Dental Art Studios Ltd,,"Tyburn Road, Wolverhampton",WV1 2PU,Wolverhampton (WV1),01582 518100,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Perfect Pearls Dental Art Studios Ltd,CQC directory (auto-downloaded),
City Dental Practice,,"47-48, Dudley Street, Wolverhampton",WV1 3ER,Wolverhampton (WV1),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,City Dental Practice,CQC directory (auto-downloaded),
Parkside Dental Practice,,"7 Park Road West, Wolverhampton",WV1 4PS,Wolverhampton (WV1),01902 421291,https://www.parksidedental.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Portman Healthcare Limited,CQC directory (auto-downloaded),
The247dentist Emergency Dentist - Wolverhampton,247 Dental Limited,"2 Park Crescent, Wolverhampton",WV1 4PY,Wolverhampton (WV1),0330 1759995,https://www.the247dentist.com,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,247 Dental Limited,CQC directory (auto-downloaded),
WV1 Dental and Implant Clinic,,"2 Park Crescent, Wolverhampton",WV1 4PY,Wolverhampton (WV1),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,WV1 Dental and Implant Clinic Limited,CQC directory (auto-downloaded),
Parkdale Dental and Implant Clinic,,"82 Tettenhall Road, Wolverhampton",WV1 4TF,Wolverhampton (WV1),01902 420654,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Portman Healthcare Limited,CQC directory (auto-downloaded),
Crestview Dental,,"498 Stafford Road, Wolverhampton",WV10 6AN,Wolverhampton (WV10),01902 780300,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Crestview Dental Ltd,CQC directory (auto-downloaded),
Dental Surgery Stafford Road,,"498 Stafford Road, Wolverhampton",WV10 6AN,Wolverhampton (WV10),01902 780300,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr Rajesh Kumar Handa and Dr Renuka Handa,CQC directory (auto-downloaded),
ILYAS and ILYAS,,"9-10 Three Tuns Parade, Fordhouses, Wolverhampton",WV10 6BA,Wolverhampton (WV10),01902 780643,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,ILYAS and ILYAS,CQC directory (auto-downloaded),
HMP Featherstone,,"New Road, Featherstone, Wolverhampton",WV10 7PU,Wolverhampton (WV10),01902 703000,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Time for Teeth Limited,CQC directory (auto-downloaded),
HMP Oakwood,,"Oak Road, Featherstone, Wolverhampton",WV10 7QD,Wolverhampton (WV10),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Time for Teeth Limited,CQC directory (auto-downloaded),
Antrim House,,"88 Old Fallings Lane, Wolverhampton",WV10 8BN,Wolverhampton (WV10),01902 733369,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Antrim House Dental Partnership,CQC directory (auto-downloaded),
