practice_name,also_known_as,address,postcode,area,phone,website,nhs_private,pms_detected,pms_confidence,pms_evidence,blast_segment,wisecall_tier,adg_corporate,adg_group,bda_good_practice,provider_name,source,notes
Imperial Dental Group Limited - Worcester,,"3-5 St. Marys Street, Worcester",WR1 1HA,Worcester & Herefordshire (WR1),190522180,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Imperial Dental Group Limited,CQC directory (auto-downloaded),
St Marys Street,Worcester,"5 St. Marys Street, Worcester",WR1 1HA,Worcester & Herefordshire (WR1),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Imperial Dental Partnership,CQC directory (auto-downloaded),
Denora Worcester,,"58 Barbourne Road, Worcester",WR1 1JA,Worcester & Herefordshire (WR1),01905 619998,https://www.denora.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Denora Healthcare Ltd,CQC directory (auto-downloaded),
Epworth House Dental Surgery,,"15 Shrubbery Avenue, Worcester",WR1 1QN,Worcester & Herefordshire (WR1),190523808,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Epworth House Dental Surgery,CQC directory (auto-downloaded),
Shrubbery Dental Practice,,"7 Shrubbery Avenue, Worcester",WR1 1QN,Worcester & Herefordshire (WR1),190520136,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Shrubbery Dental Practice,CQC directory (auto-downloaded),
Trinity Gate Orthodontics,,"39 St Nicholas Street, Worcester",WR1 1UW,Worcester & Herefordshire (WR1),01905 617766,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Trinity Gate Limited,CQC directory (auto-downloaded),
Reindeer Court Dental,,"19 Reindeer Court,  Mealcheapen Street, Worcester",WR1 2DS,Worcester & Herefordshire (WR1),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Areley Kings Dental Products Ltd,CQC directory (auto-downloaded),
Lincoln House Dental Practice,,"Lincoln House, 35 High Street, Pershore",WR10 1AA,Worcester & Herefordshire (WR10),01386 552659,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Lincoln House Dental Practice Limited,CQC directory (auto-downloaded),
Pershore Smiles,,"70 High Street, Pershore",WR10 1DU,Worcester & Herefordshire (WR10),01386 719656,https://www.pershore-smiles.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Tooth Smiles Clinic Ltd,CQC directory (auto-downloaded),
Gentle Dental Care Evesham,,"44-46 Port Street, Evesham",WR11 1AW,Worcester & Herefordshire (WR11),01386 761909,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Gentle Dental Care Evesham Dental Partnership,CQC directory (auto-downloaded),
Evesham Dental Health Team,,"16 Broadway Road, Evesham",WR11 1BG,Worcester & Herefordshire (WR11),01386 422833,https://eveshamdental.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,Evesham Dental Health Partners,CQC directory (auto-downloaded),
Cool Smiles Ltd,,"Laufen House, Crab Apple Way,  Vale Park, Evesham",WR11 1GP,Worcester & Herefordshire (WR11),01386 573199,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Cool Smiles Ltd,CQC directory (auto-downloaded),
Laufen House,,"Crab Apple Way, Vale Park, Evesham",WR11 1GP,Worcester & Herefordshire (WR11),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Envisage Dental UK Limited,CQC directory (auto-downloaded),
Evesham Community Hospital,,"Waterside, Evesham",WR11 1JT,Worcester & Herefordshire (WR11),01386 502419,https://www.worcestershire.nhs.uk/your-services/community-hospitals/evesham-community-hospital.aspx,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Herefordshire and Worcestershire Health and Care NHS Trust,CQC directory (auto-downloaded),website unreachable
The Dental Practice Evesham,,"63 Port Street, Evesham",WR11 3LF,Worcester & Herefordshire (WR11),01386 446693,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,The Dental Practice Evesham Partnership,CQC directory (auto-downloaded),
Evesham Orthodontics Limited,,"Evesham Medical Centre dental services, Abbey Lane, Evesham",WR11 4BS,Worcester & Herefordshire (WR11),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Evesham Orthodontics Limited,CQC directory (auto-downloaded),
High Street Dental Practice,,"102 High Street, Evesham",WR11 4EU,Worcester & Herefordshire (WR11),138641569,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mrs Minal Patel,CQC directory (auto-downloaded),
