name,phone,company,postcode,area,pms,segment,tier,adg_corporate,adg_group,bda_good_practice,website,notes
Imperial Dental Group Limited - Worcester,190522180,Imperial Dental Group Limited - Worcester,WR1 1HA,Worcester & Herefordshire (WR1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Denora Worcester,01905 619998,Denora Worcester,WR1 1JA,Worcester & Herefordshire (WR1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.denora.co.uk,
Epworth House Dental Surgery,190523808,Epworth House Dental Surgery,WR1 1QN,Worcester & Herefordshire (WR1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Shrubbery Dental Practice,190520136,Shrubbery Dental Practice,WR1 1QN,Worcester & Herefordshire (WR1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Trinity Gate Orthodontics,01905 617766,Trinity Gate Orthodontics,WR1 1UW,Worcester & Herefordshire (WR1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Lincoln House Dental Practice,01386 552659,Lincoln House Dental Practice,WR10 1AA,Worcester & Herefordshire (WR10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Pershore Smiles,01386 719656,Pershore Smiles,WR10 1DU,Worcester & Herefordshire (WR10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.pershore-smiles.co.uk,
Gentle Dental Care Evesham,01386 761909,Gentle Dental Care Evesham,WR11 1AW,Worcester & Herefordshire (WR11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Evesham Dental Health Team,01386 422833,Evesham Dental Health Team,WR11 1BG,Worcester & Herefordshire (WR11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,https://eveshamdental.co.uk,
Cool Smiles Ltd,01386 573199,Cool Smiles Ltd,WR11 1GP,Worcester & Herefordshire (WR11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Evesham Community Hospital,01386 502419,Evesham Community Hospital,WR11 1JT,Worcester & Herefordshire (WR11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.worcestershire.nhs.uk/your-services/community-hospitals/evesham-community-hospital.aspx,website unreachable
The Dental Practice Evesham,01386 446693,The Dental Practice Evesham,WR11 3LF,Worcester & Herefordshire (WR11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
High Street Dental Practice,138641569,High Street Dental Practice,WR11 4EU,Worcester & Herefordshire (WR11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Albert Road Dental Practice Limited,01386 442207,Albert Road Dental Practice Limited,WR11 4JX,Worcester & Herefordshire (WR11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Grafton House Dental Surgery,01386 446040,Grafton House Dental Surgery,WR11 4RE,Worcester & Herefordshire (WR11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
HMP Long Lartin,01905 733887,HMP Long Lartin,WR11 8TZ,Worcester & Herefordshire (WR11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Broadway Dental Care - Cotswold Dental Limited,01386 853800,Broadway Dental Care - Cotswold Dental Limited,WR12 7DT,Worcester & Herefordshire (WR12),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.broadwaydentalcare.co.uk,
Malvern Spring Dental Practice,01684 567111,Malvern Spring Dental Practice,WR14 1AJ,Worcester & Herefordshire (WR14),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Shrawley House Dental Practice,01684 572357,Shrawley House Dental Practice,WR14 1AR,Worcester & Herefordshire (WR14),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Malvern Hills Dental Care,01684 574131,Malvern Hills Dental Care,WR14 1JB,Worcester & Herefordshire (WR14),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.malvernhillsdentalcare.co.uk,
Richmond Dental Practice,01684 561249,Richmond Dental Practice,WR14 1NE,Worcester & Herefordshire (WR14),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
202 Dental - Malvern,0797 6299107,202 Dental - Malvern,WR14 2QX,Worcester & Herefordshire (WR14),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,https://www.202dental.co.uk,
Ascent Dental Care Malvern,01684 573314,Ascent Dental Care Malvern,WR14 3LT,Worcester & Herefordshire (WR14),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Tenbury Dental Centre,01584 810514,Tenbury Dental Centre,WR15 8AA,Worcester & Herefordshire (WR15),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.tenburydentalcentre.co.uk,
Tenbury Community Hospital,01584 810643,Tenbury Community Hospital,WR15 8AP,Worcester & Herefordshire (WR15),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.worcestershire.nhs.uk/your-services/community-hospitals/tenbury-community-hospital.aspx,website unreachable
Cottage Dental Practice,01584 811311,Cottage Dental Practice,WR15 8BA,Worcester & Herefordshire (WR15),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Imperial Dental Group - Tenbury,01384 411522,Imperial Dental Group - Tenbury,WR15 8BA,Worcester & Herefordshire (WR15),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
