name,phone,company,postcode,yo_area,pms,segment,tier,adg_corporate,adg_group,bda_good_practice,website,notes
Castlegate Dental Centre,01904 653284,Castlegate Dental Centre,YO1 9RN,York city centre,Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.castlegate-dental.co.uk,Correct York site is castlegatedental.co.uk (not castlegate-dental.co.uk which is a different Gloucestershire practice)
Heslington Dental Practice,01904 904500,Heslington Dental Practice,YO10 5EA,York south/east,Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.heslingtondental.co.uk,Online booking via Dentally Portal
Blossom Dental  Care,01904 654889,Blossom Dental  Care,YO24 1AQ,York south-west,Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.blossomdentalcare.co.uk,Online booking via Dentally Portal (legacy dentr.net redirect)
Ainsty Dental Practice,01904 786196,Ainsty Dental Practice,YO26 6AR,York west/Acomb,Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.ainstydental.co.uk,
York Dental,01904 891160,York Dental,YO30 4TN,York north/Clifton,Dentally,Dentally likely,Tier 1 - Dentally integration ready,No,,No,https://yorkdentalpractice.co.uk,Portal not linked on homepage — verify on call
Stamford Bridge Dental Practice,01759 372360,Stamford Bridge Dental Practice,YO41 1BS,York east/Dunnington,Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.stamfordbridgedental.com,
James Pegg Dentistry,01904 622487,James Pegg Dentistry,YO1 6JB,York city centre,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Hopkins & Poyner Dental Surgery,01904 623582,Hopkins & Poyner Dental Surgery,YO1 7HP,York city centre,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Orthokind - York,01904 633061,Orthokind - York,YO1 7HZ,York city centre,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.orthokind.com,
Andrea Ubhi,01904 639667,Andrea Ubhi,YO1 7LG,York city centre,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.andreaubhi.co.uk,
Stonegate Dental Studio,01904 653107,Stonegate Dental Studio,YO1 8AW,York city centre,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
St Saviourgate Dental Care,01904 629239,St Saviourgate Dental Care,YO1 8NN,York city centre,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Crystal Clear Dental Spa,01904 642595,Crystal Clear Dental Spa,YO1 8QJ,York city centre,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Restore 32 Dental Practice,01904 641167,Restore 32 Dental Practice,YO10 4BQ,York south/east,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Dunnington Dental Practice,01904 489183,Dunnington Dental Practice,YO19 5QT,York south,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.richardfisherdental.co.uk,website unreachable
Nunnery Lane Dental Practice,01904 639779,Nunnery Lane Dental Practice,YO23 1AH,York west,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Bishopthorpe Dental Centre,01904 703427,Bishopthorpe Dental Centre,YO23 2QQ,York west,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,https://www.woodthorpedentalcentre.co.uk,website unreachable
Copmanthorpe Dental Centre,01904 706291,Copmanthorpe Dental Centre,YO23 3XT,York west,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,https://www.woodthorpedentalcentre.co.uk,website unreachable
Blossom Cosmetic Clinic,0781 4741402,Blossom Cosmetic Clinic,YO24 1AP,York south-west,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
The Mount Dental Practice,01904 623436,The Mount Dental Practice,YO24 1AR,York south-west,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Woodthorpe Dental Centre,01904 706795,Woodthorpe Dental Centre,YO24 2RQ,York south-west,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,https://www.woodthorpedentalcentre.co.uk,website unreachable
Acomb Dental Practice,01904 794021,Acomb Dental Practice,YO24 3BZ,York south-west,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
Acorn Dental Practice,01904 789876,Acorn Dental Practice,YO24 4LZ,York south-west,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.acorndental.co.uk,
Lilac House Specialist Dental Practice,01904 520000,Lilac House Specialist Dental Practice,YO24 4LZ,York south-west,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
The Beeches Dental Practice,01904 798315,The Beeches Dental Practice,YO24 4LZ,York south-west,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Alpha Windmill (York) Limited,01904 789152,Alpha Windmill (York) Limited,YO26 5PA,York west/Acomb,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.alphadental.com,
Manor House Dental Practice,01904 797434,Manor House Dental Practice,YO26 5RU,York west/Acomb,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,https://www.manorhousedentalpractice.co.uk,
Perfect Smile Clinic - York,01904 786969,Perfect Smile Clinic - York,YO26 6AR,York west/Acomb,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Poppleton Dental Practice,01904 781987,Poppleton Dental Practice,YO26 6DD,York west/Acomb,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.poppletondentalpractice.co.uk,
Jorvik Dental Practice,01904 340640,Jorvik Dental Practice,YO26 6GA,York west/Acomb,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.jorvikdental.co.uk,
PortmanDentex York,01904 623687,PortmanDentex York,YO30 5XY,York north/Clifton,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.freshsmiles.co.uk,
Clifton Dental Practice Limited,01904 659023,Clifton Dental Practice Limited,YO30 6AW,York north/Clifton,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.cliftondentalpractice.co.uk,
York Orthodontics,01904 671772,York Orthodontics,YO30 7BH,York north/Clifton,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.yorkorthodontics.co.uk,
Clock House Dental,01904 422918,Clock House Dental,YO31 1AN,York east/Heworth,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
Yorkshire Dental Suite York,01904 211251,Yorkshire Dental Suite York,YO31 8SB,York east/Heworth,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Huntington Dental,01904 632295,Huntington Dental,YO31 9HU,York east/Heworth,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
The Dental Hub York,01904 632295,The Dental Hub York,YO31 9HU,York east/Heworth,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Wortley House Dental Practice,01904 763458,Wortley House Dental Practice,YO32 2HX,York north/Haxby,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.carholmedentalgroup.co.uk,
Strensall Dental Practice,01904 490060,Strensall Dental Practice,YO32 5AA,York north/Haxby,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.richardfisherdental.co.uk,website unreachable
